
### chatbot
metric                  c4          c8         c16         c32
--------------------------------------------------------------
ISL                  511.1       473.8       418.8       366.4
OSL                  217.1       219.9       226.8       235.1
TTFT ms              252.7       283.6       356.5       510.4
ITL ms                36.0        56.2        79.2       117.0
ReqLat ms          7,934.2    12,524.5    18,274.2    27,463.9
Out tok/s            108.6       134.1       188.3       238.5
Out tok/s/user        28.1        17.9        12.7         8.7
Req/s                  0.5         0.6         0.8         1.0
Requests             160.0       160.0       160.0       160.0
prefix-hit           16.6%       13.8%       11.0%        3.2%

### rag
metric                  c4          c8         c16         c32
--------------------------------------------------------------
ISL                6,326.8     6,326.8     6,326.8     6,326.8
OSL                    2.9         3.0         3.2         3.7
TTFT ms            3,591.8     5,463.7    10,700.4    28,552.2
ITL ms               457.0     1,072.9     2,122.1     2,670.6
ReqLat ms          4,467.4     7,736.3    14,713.5    34,636.1
Out tok/s              2.4         2.7         3.1         3.2
Out tok/s/user         7.8         2.4         0.7         7.6
Req/s                  0.8         0.9         0.9         0.8
Requests             160.0       160.0       160.0       160.0
prefix-hit            8.6%       13.1%       13.0%       13.8%

### toolagent
metric                  c4          c8         c16
--------------------------------------------------
ISL               10,154.2    10,154.2    10,154.2
OSL                  186.7       179.6       189.5
TTFT ms            2,326.9     3,214.7     4,584.9
ITL ms                57.1       106.5       260.5
ReqLat ms         14,607.7    25,036.8    46,226.7
Out tok/s             50.4        55.9        63.4
Out tok/s/user        22.0        13.9         6.8
Req/s                  0.3         0.3         0.3
Requests             160.0       160.0       160.0
prefix-hit           20.6%       21.3%       21.3%

### agent
metric                  c4          c8         c16
--------------------------------------------------
ISL                3,154.4     1,762.3     3,402.6
OSL                  601.1       234.0       505.7
TTFT ms              589.3       668.1       918.5
ITL ms                36.3        56.7        81.4
ReqLat ms         22,621.8    13,919.7    41,758.3
Out tok/s            104.9        96.0       181.5
Out tok/s/user        27.6        17.7        12.4
Req/s                  0.2         0.4         0.4
Requests              54.0        25.0       121.0
prefix-hit           53.7%       52.6%       58.7%

### coding
metric                  c4          c8         c16
--------------------------------------------------
ISL               19,848.5    24,239.1    23,614.4
OSL                4,081.6     2,518.1     2,413.0
TTFT ms            5,330.3     9,312.2    11,899.6
ITL ms                40.9        67.6       107.0
ReqLat ms        172,805.6   176,241.8   267,961.7
Out tok/s             87.3        94.1       128.2
Out tok/s/user        24.5        14.9         9.4
Req/s                  0.0         0.0         0.1
Requests              10.0        18.0        31.0
prefix-hit           45.5%       61.5%       67.8%

