Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),80.69,41.91,129.50,7746.18,67.72,70.96,74.09,76.98,78.49,80.90,86.55,98.08,128.13,11.42
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,544.41,40.00,1526.00,52263.00,43.80,99.00,122.00,227.25,538.50,752.50,991.50,1258.50,1472.80,353.10
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.06,0.00,0.63,5.72,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.43,0.58,0.15
HTTP Connection Overhead (ms),0.06,0.00,0.63,5.72,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.43,0.58,0.15
HTTP Connection Reused (ratio),0.86,0.00,1.00,83.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.34
HTTP Data Received (KB),130.74,9.88,365.22,12550.99,10.81,24.14,29.72,54.87,129.23,180.86,237.82,301.93,352.41,84.45
HTTP Data Sent (KB),15.04,1.60,45.12,1444.22,1.60,2.90,3.74,6.25,11.92,21.89,29.96,34.17,41.66,10.52
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),6737.75,408.05,19174.63,646823.62,659.77,1257.40,1483.72,2749.15,6486.40,9041.06,12062.04,15883.53,18635.43,4375.35
HTTP Receiving (ms),6508.09,333.05,19030.97,624776.40,361.27,1128.40,1361.61,2597.99,6257.83,8805.69,11559.86,15746.42,18481.99,4342.53
HTTP Sending (ms),0.21,0.10,0.96,20.03,0.10,0.10,0.10,0.12,0.13,0.16,0.60,0.69,0.90,0.20
HTTP Total Time (ms),6737.81,408.05,19174.63,646829.34,659.77,1257.40,1483.72,2749.15,6486.62,9041.06,12062.20,15883.53,18635.43,4375.38
HTTP Waiting (TTFB) (ms),229.45,74.83,686.71,22027.19,81.30,89.93,111.32,140.90,177.33,235.41,396.30,671.20,685.95,151.41
Input Sequence Length (tokens),3761.31,394.00,12554.00,361086.00,394.95,748.25,1000.00,1552.50,2900.50,5447.75,7113.00,8710.75,11667.65,2708.35
Inter Chunk Latency (ms),11.99,0.00,218.63,623666.58,3.00,6.31,7.78,8.64,9.08,9.48,9.94,10.73,117.99,17.04
Inter Token Latency (ms),11.85,7.49,13.31,1137.34,7.61,8.51,10.55,11.76,12.25,12.56,12.80,12.95,13.27,1.25
OSL Mismatch Diff % (%),-73.46,-98.10,-25.49,-7051.81,-97.91,-95.21,-94.09,-88.95,-73.75,-63.31,-51.61,-38.55,-28.09,17.25
Output Sequence Length (tokens),543.61,39.00,1526.00,52187.00,42.80,98.00,121.00,226.25,537.50,751.50,991.00,1258.50,1472.80,353.28
Output Token Count (tokens),543.61,39.00,1526.00,52187.00,42.80,98.00,121.00,226.25,537.50,751.50,991.00,1258.50,1472.80,353.28
Output Token Throughput Per User (tokens/sec/user),85.66,75.15,133.52,8223.06,75.34,77.24,78.11,79.64,81.66,85.05,94.80,117.53,131.46,11.98
Prefill Throughput Per User (tokens/sec/user),21547.42,712.16,95805.03,2068552.70,1204.56,1888.41,2621.82,8600.88,15166.36,27583.00,47365.76,57120.49,82363.22,18377.78
Request Latency (ms),6726.66,399.38,19164.49,645759.75,650.72,1236.68,1474.68,2740.12,6478.63,9035.11,12053.18,15873.07,18625.45,4376.04
Time to First Output Token (ms),230.14,75.04,693.93,22093.17,81.45,90.09,111.55,141.11,177.79,235.62,396.73,672.05,687.62,152.24
Time to First Token (ms),230.14,75.04,693.93,22093.17,81.45,90.09,111.55,141.11,177.79,235.62,396.73,672.05,687.62,152.24
Time to Second Token (ms),24.91,5.51,218.63,2390.93,5.78,6.04,6.46,7.15,7.80,9.11,72.99,157.26,160.44,45.71

Metric,Value
Benchmark Duration (sec),44.52
OSL Mismatch Count,96.00
Output Token Throughput (tokens/sec),1172.15
Request Count,96.00
Request Throughput (requests/sec),2.16
Total Input Sequence Length (tokens),361086.00
Total Output Sequence Length (tokens),52187.00
Total Output Tokens (tokens),52187.00
Total Token Throughput (tokens/sec),9282.32


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
