Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),133.01,76.73,196.04,12768.75,79.07,95.72,108.87,120.81,129.90,147.82,165.04,172.43,187.51,22.65
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,443.54,57.00,2047.00,42580.00,60.80,66.00,78.50,116.25,272.00,594.75,1153.50,1384.00,1990.00,454.90
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.27,0.00,1.87,26.23,0.00,0.00,0.00,0.00,0.00,0.39,1.46,1.62,1.87,0.53
HTTP Connection Overhead (ms),0.42,0.00,3.27,39.91,0.00,0.00,0.00,0.00,0.00,0.39,2.48,2.76,3.12,0.90
HTTP Connection Reused (ratio),0.71,0.00,1.00,68.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.45
HTTP Data Received (KB),106.55,14.13,489.91,10229.08,14.99,16.24,19.24,28.30,65.66,142.60,275.95,331.67,475.66,108.77
HTTP Data Sent (KB),11.98,1.59,42.11,1150.54,1.60,2.61,2.94,4.73,8.19,19.20,25.17,33.26,41.15,9.83
HTTP DNS Lookup (ms),0.14,0.00,1.41,13.68,0.00,0.00,0.00,0.00,0.00,0.00,1.01,1.15,1.27,0.38
HTTP Duration (excl. conn) (ms),3308.91,385.04,15607.38,317655.20,436.18,511.76,594.16,920.83,2074.28,4164.48,8367.03,10673.97,12909.59,3292.99
HTTP Receiving (ms),3144.32,275.24,15189.64,301854.68,316.27,393.75,459.27,798.73,1943.45,4074.93,8124.40,10450.70,12670.59,3260.74
HTTP Sending (ms),0.45,0.11,2.29,42.97,0.11,0.12,0.12,0.13,0.16,0.53,1.75,1.94,2.23,0.59
HTTP Total Time (ms),3309.32,385.04,15607.38,317695.11,438.58,511.76,594.40,921.88,2074.43,4164.48,8368.59,10674.58,12910.02,3293.09
HTTP Waiting (TTFB) (ms),164.14,66.79,417.57,15757.56,70.77,75.88,85.71,111.53,138.83,198.41,275.64,283.44,402.22,72.89
Input Sequence Length (tokens),3048.72,393.00,10967.00,292677.00,393.95,572.00,734.50,1038.75,2329.50,4999.00,6021.50,8051.25,10004.65,2449.59
Inter Chunk Latency (ms),7.12,0.00,215.99,300912.79,3.85,4.39,5.24,5.68,6.20,7.25,7.53,7.74,18.83,8.15
Inter Token Latency (ms),6.98,4.29,10.07,669.90,4.29,5.07,5.43,6.15,7.11,7.77,8.22,8.88,9.88,1.22
OSL Mismatch Diff % (%),-78.39,-97.27,0.00,-7525.15,-97.08,-96.83,-96.22,-94.37,-86.74,-71.01,-43.73,-32.46,-2.88,22.22
Output Sequence Length (tokens),442.64,56.00,2048.00,42493.00,59.80,65.00,77.50,115.25,271.50,593.75,1152.50,1383.25,1989.10,455.03
Output Token Count (tokens),442.64,56.00,2048.00,42493.00,59.80,65.00,77.50,115.25,271.50,593.75,1152.50,1383.25,1989.10,455.03
Output Token Throughput Per User (tokens/sec/user),148.14,99.35,232.99,14221.39,101.21,112.68,121.68,128.73,140.56,162.68,184.09,197.56,232.97,28.56
Prefill Throughput Per User (tokens/sec/user),18275.82,3259.29,58647.03,1754478.66,3282.00,4530.64,4956.32,8388.87,14301.38,24617.71,38183.69,44842.94,55795.30,12664.62
Request Latency (ms),3299.87,380.29,15601.14,316787.06,431.44,506.96,587.60,915.76,2067.68,4157.36,8359.23,10667.72,12904.14,3294.61
Time to First Output Token (ms),165.36,68.75,417.85,15874.27,71.08,76.23,86.16,113.53,140.02,198.97,275.82,283.93,402.43,73.22
Time to First Token (ms),165.36,68.75,417.85,15874.27,71.08,76.23,86.16,113.53,140.02,198.97,275.82,283.93,402.43,73.22
Time to Second Token (ms),8.37,1.20,104.21,803.48,1.48,1.93,2.49,3.74,4.95,6.45,12.82,19.73,85.55,15.13

Metric,Value
Benchmark Duration (sec),94.97
OSL Mismatch Count,95.00
Output Token Throughput (tokens/sec),447.42
Request Count,96.00
Request Throughput (requests/sec),1.01
Total Input Sequence Length (tokens),292677.00
Total Output Sequence Length (tokens),42493.00
Total Output Tokens (tokens),42493.00
Total Token Throughput (tokens/sec),3529.08


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
