Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),48.44,17.76,117.26,4649.80,23.13,27.39,29.04,38.22,49.68,53.90,63.36,72.60,115.57,17.02
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,428.96,51.00,1774.00,41180.00,76.65,90.75,112.50,179.75,315.00,528.25,1013.50,1190.25,1575.45,358.70
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.11,0.00,2.64,10.69,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.51,0.89,0.32
HTTP Connection Overhead (ms),0.13,0.00,4.26,12.30,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.51,0.97,0.46
HTTP Connection Reused (ratio),0.81,0.00,1.00,78.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.39
HTTP Data Received (KB),102.94,12.58,424.20,9882.09,18.73,22.10,27.26,43.40,75.75,126.82,242.67,284.72,376.76,85.71
HTTP Data Sent (KB),13.17,1.75,46.57,1264.05,1.93,2.92,3.34,5.51,9.95,18.09,28.43,35.40,41.98,10.21
HTTP DNS Lookup (ms),0.02,0.00,1.62,1.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.16
HTTP Duration (excl. conn) (ms),8437.83,1810.45,29238.90,810032.02,1854.52,2789.78,3323.96,4176.31,6425.21,10647.96,15523.12,19550.39,27987.65,5740.00
HTTP Receiving (ms),7796.04,1489.54,26880.28,748419.99,1621.26,2299.43,2478.05,3584.21,6160.04,9737.38,14873.62,19311.03,25626.01,5505.22
HTTP Sending (ms),0.26,0.09,3.02,25.16,0.10,0.10,0.11,0.12,0.14,0.23,0.60,0.69,1.04,0.34
HTTP Total Time (ms),8437.96,1810.45,29239.21,810044.32,1854.52,2789.78,3323.96,4176.31,6425.21,10647.96,15523.34,19550.39,27988.00,5740.07
HTTP Waiting (TTFB) (ms),641.53,92.99,2361.33,61586.87,96.02,104.24,125.30,166.92,256.69,966.97,1673.74,2236.17,2358.39,673.93
Input Sequence Length (tokens),3041.42,393.00,10855.00,291976.00,393.95,664.25,708.50,1284.75,2355.00,4149.50,6616.50,8175.50,9749.20,2376.05
Inter Chunk Latency (ms),18.22,0.00,217.56,748312.20,2.54,5.67,8.24,10.58,11.48,12.06,13.07,82.32,139.34,27.78
Inter Token Latency (ms),20.20,8.16,33.66,1939.48,8.36,13.41,14.99,17.87,19.03,23.92,25.16,26.77,30.33,4.58
OSL Mismatch Diff % (%),-4.47,-92.39,0.65,-429.58,-77.79,-43.89,-1.17,0.00,0.00,0.00,0.00,0.00,0.03,16.91
Output Sequence Length (tokens),428.85,50.00,1772.00,41170.00,76.60,90.75,112.50,179.75,315.00,528.25,1013.50,1190.00,1575.35,358.62
Output Token Count (tokens),428.85,50.00,1772.00,41170.00,76.60,90.75,112.50,179.75,315.00,528.25,1013.50,1190.00,1575.35,358.62
Output Token Throughput Per User (tokens/sec/user),52.69,29.71,122.48,5058.38,32.99,37.37,39.74,41.81,52.54,55.96,66.73,74.58,119.65,15.55
Prefill Throughput Per User (tokens/sec/user),8817.35,304.89,43399.99,846465.94,363.95,1251.28,2051.65,2956.36,6978.27,10686.21,19860.04,24197.82,42921.30,8174.90
Request Latency (ms),8436.78,1810.50,29232.11,809930.75,1854.57,2781.01,3324.04,4176.39,6425.28,10648.04,15523.18,19547.97,27987.36,5739.36
Time to First Output Token (ms),641.86,93.21,2361.84,61618.55,96.19,104.46,125.50,167.09,256.89,967.29,1674.54,2236.80,2361.06,674.15
Time to First Token (ms),641.86,93.21,2361.84,61618.55,96.19,104.46,125.50,167.09,256.89,967.29,1674.54,2236.80,2361.06,674.15
Time to Second Token (ms),60.75,2.11,217.56,5831.72,2.45,3.21,6.06,9.99,10.92,128.59,207.35,213.31,217.53,77.65

Metric,Value
Benchmark Duration (sec),30.86
OSL Mismatch Count,9.00
Output Token Throughput (tokens/sec),1334.16
Request Count,96.00
Request Throughput (requests/sec),3.11
Total Input Sequence Length (tokens),291976.00
Total Output Sequence Length (tokens),41170.00
Total Output Tokens (tokens),41170.00
Total Token Throughput (tokens/sec),10795.94


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
