Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),135.71,46.60,209.30,13028.44,94.78,103.27,110.49,122.78,134.11,148.30,158.24,169.83,192.37,22.67
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,404.73,14.00,1854.00,38854.00,74.80,91.75,119.00,179.75,317.00,512.00,799.50,1140.75,1421.75,329.35
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.40,0.00,1.44,38.64,0.00,0.30,0.32,0.34,0.39,0.45,0.51,0.55,0.72,0.15
HTTP Connection Overhead (ms),0.41,0.00,2.46,39.66,0.00,0.30,0.32,0.34,0.39,0.45,0.51,0.55,0.77,0.23
HTTP Connection Reused (ratio),0.03,0.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.17
HTTP Data Received (KB),97.14,3.69,441.97,9325.36,18.33,22.33,28.85,43.37,76.12,122.88,191.43,273.24,340.45,78.66
HTTP Data Sent (KB),13.17,1.75,46.57,1264.05,1.93,2.92,3.34,5.51,9.95,18.09,28.43,35.40,41.98,10.21
HTTP DNS Lookup (ms),0.01,0.00,1.02,1.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.10
HTTP Duration (excl. conn) (ms),3018.26,286.21,14574.11,289752.68,526.34,678.04,845.41,1405.67,2397.46,3498.83,5870.98,7312.06,11368.69,2500.60
HTTP Receiving (ms),2829.18,88.36,14303.73,271600.85,367.46,548.87,691.13,1189.28,2198.95,3266.04,5578.90,7034.33,11105.98,2472.34
HTTP Sending (ms),0.57,0.14,1.71,54.90,0.17,0.42,0.45,0.49,0.54,0.64,0.74,0.75,0.94,0.17
HTTP Total Time (ms),3018.67,286.59,14574.53,289792.34,526.84,678.47,845.82,1406.03,2397.91,3499.22,5871.36,7312.43,11369.08,2500.60
HTTP Waiting (TTFB) (ms),188.51,71.15,428.12,18096.93,74.63,83.92,103.88,134.37,184.69,236.52,271.38,311.27,373.05,71.07
Input Sequence Length (tokens),3041.42,393.00,10855.00,291976.00,393.95,664.25,708.50,1284.75,2355.00,4149.50,6616.50,8175.50,9749.20,2376.05
Inter Chunk Latency (ms),7.01,0.00,220.02,271513.57,3.73,4.35,5.16,5.47,5.78,6.90,7.20,7.40,61.43,9.85
Inter Token Latency (ms),6.82,4.28,9.66,654.28,4.29,5.02,5.42,5.93,6.80,7.60,8.19,8.48,9.66,1.15
OSL Mismatch Diff % (%),-6.74,-94.61,0.29,-647.35,-85.71,-58.75,-19.81,0.00,0.00,0.00,0.00,0.00,0.25,19.90
Output Sequence Length (tokens),404.59,13.00,1854.00,38841.00,74.75,91.75,119.00,179.75,316.50,512.75,799.50,1140.75,1413.20,329.03
Output Token Count (tokens),404.59,13.00,1854.00,38841.00,74.75,91.75,119.00,179.75,316.50,512.75,799.50,1140.75,1413.20,329.03
Output Token Throughput Per User (tokens/sec/user),151.18,103.50,233.45,14513.57,103.53,117.97,122.09,131.61,147.01,168.51,184.45,199.09,232.92,27.11
Prefill Throughput Per User (tokens/sec/user),15395.25,3808.04,54958.99,1477944.14,4395.82,5020.93,5467.80,8139.00,12640.38,19752.36,28406.36,35226.49,48861.90,10026.55
Request Latency (ms),3017.42,278.96,14574.17,289672.74,526.04,678.10,845.49,1405.74,2397.55,3498.89,5871.05,7312.12,11361.60,2500.26
Time to First Output Token (ms),189.16,71.83,428.76,18159.18,75.17,84.61,104.51,135.01,185.87,237.05,272.05,311.83,373.67,71.05
Time to First Token (ms),189.16,71.83,428.76,18159.18,75.17,84.61,104.51,135.01,185.87,237.05,272.05,311.83,373.67,71.05
Time to Second Token (ms),9.29,1.28,125.43,891.87,1.40,2.21,2.30,3.37,4.50,5.44,6.35,57.93,109.12,20.56

Metric,Value
Benchmark Duration (sec),99.72
OSL Mismatch Count,12.00
Output Token Throughput (tokens/sec),389.50
Request Count,96.00
Request Throughput (requests/sec),0.96
Total Input Sequence Length (tokens),291976.00
Total Output Sequence Length (tokens),38841.00
Total Output Tokens (tokens),38841.00
Total Token Throughput (tokens/sec),3317.46


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
