Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),51.66,4.86,110.38,4958.92,23.03,35.81,40.34,45.68,48.33,53.09,71.25,80.52,95.25,14.42
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,210.43,2.00,740.00,20201.00,3.90,9.25,24.50,67.75,171.00,295.75,424.00,600.00,730.50,174.92
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.10,0.00,2.69,9.99,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.45,0.75,0.31
HTTP Connection Overhead (ms),0.12,0.00,4.14,11.44,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.45,0.82,0.44
HTTP Connection Reused (ratio),0.81,0.00,1.00,78.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.39
HTTP Data Received (KB),50.77,0.83,177.16,4873.66,1.28,2.57,6.23,16.65,41.37,71.30,101.92,143.77,175.53,41.88
HTTP Data Sent (KB),1.18,0.17,4.98,113.07,0.18,0.19,0.21,0.27,0.82,1.83,2.61,3.21,3.89,1.06
HTTP DNS Lookup (ms),0.02,0.00,1.44,1.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.15
HTTP Duration (excl. conn) (ms),3827.18,136.78,12554.94,367409.39,138.05,267.89,570.12,1488.94,2980.68,5444.21,7773.31,9097.17,11908.96,2944.88
HTTP Receiving (ms),3658.48,1.74,12291.43,351213.83,32.26,118.44,408.84,1226.63,2794.27,5281.01,7591.55,8966.68,11646.58,2920.54
HTTP Sending (ms),0.25,0.08,3.05,24.22,0.09,0.09,0.10,0.11,0.13,0.26,0.57,0.62,0.92,0.34
HTTP Total Time (ms),3827.30,136.78,12554.94,367420.83,138.05,267.89,570.12,1488.94,2980.68,5444.21,7773.75,9097.17,11909.28,2944.93
HTTP Waiting (TTFB) (ms),168.45,37.16,283.34,16171.34,38.38,41.00,80.43,103.10,149.16,261.90,263.13,263.47,272.60,78.92
Input Sequence Length (tokens),218.22,4.00,1018.00,20949.00,6.85,7.75,11.50,24.00,143.50,342.75,550.00,653.50,855.55,228.66
Inter Chunk Latency (ms),17.52,0.32,187.30,351059.59,2.06,2.85,6.65,10.84,11.65,12.29,13.34,87.83,137.06,25.19
Inter Token Latency (ms),17.92,8.76,25.89,1702.26,10.01,10.99,12.07,16.08,19.15,20.24,20.92,21.46,22.69,3.41
OSL Mismatch Diff % (%),-9.52,-99.10,0.00,-914.34,-97.48,-84.26,-47.38,0.00,0.00,0.00,0.00,0.00,0.00,25.51
Output Sequence Length (tokens),210.28,1.00,740.00,20187.00,2.90,9.00,24.50,67.75,171.00,295.75,424.00,600.00,730.50,175.03
Output Token Count (tokens),210.28,1.00,740.00,20187.00,2.90,9.00,24.50,67.75,171.00,295.75,424.00,600.00,730.50,175.03
Output Token Throughput Per User (tokens/sec/user),58.52,38.62,114.11,5559.38,44.12,46.60,47.80,49.40,52.21,62.18,82.86,91.00,100.04,14.64
Prefill Throughput Per User (tokens/sec/user),1595.92,15.24,8706.39,153208.56,29.57,47.50,58.84,145.29,1050.16,2856.33,3870.12,4178.42,5881.10,1683.41
Request Latency (ms),3825.64,125.08,12555.03,367261.28,126.05,267.51,570.18,1489.02,2980.73,5444.27,7773.36,9097.23,11909.01,2946.26
Time to First Output Token (ms),168.77,37.37,283.52,16201.69,38.84,41.18,80.60,103.27,149.36,262.51,263.55,263.84,272.85,79.06
Time to First Token (ms),168.77,37.37,283.52,16201.69,38.84,41.18,80.60,103.27,149.36,262.51,263.55,263.84,272.85,79.06
Time to Second Token (ms),8.70,1.59,12.49,826.33,2.10,4.05,4.62,4.73,10.87,11.49,12.03,12.18,12.37,3.49

Metric,Value
Benchmark Duration (sec),14.27
OSL Mismatch Count,14.00
Output Token Throughput (tokens/sec),1414.34
Request Count,96.00
Request Throughput (requests/sec),6.73
Total Input Sequence Length (tokens),20949.00
Total Output Sequence Length (tokens),20187.00
Total Output Tokens (tokens),20187.00
Total Token Throughput (tokens/sec),2882.06


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
