Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),172.71,79.22,229.44,16580.57,94.60,126.27,135.05,157.62,170.63,197.03,213.96,217.63,223.71,30.34
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,217.73,10.00,740.00,20902.00,17.60,31.00,56.50,104.50,189.50,313.75,427.50,481.00,655.45,149.08
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.29,0.00,1.69,28.22,0.00,0.00,0.00,0.00,0.00,0.44,1.42,1.61,1.66,0.50
HTTP Connection Overhead (ms),0.42,0.00,2.87,40.38,0.00,0.00,0.00,0.00,0.00,0.44,2.40,2.75,2.85,0.84
HTTP Connection Reused (ratio),0.62,0.00,1.00,60.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.48
HTTP Data Received (KB),52.52,2.77,176.76,5041.64,4.59,7.78,13.92,25.44,45.76,75.71,102.71,115.30,157.42,35.68
HTTP Data Sent (KB),2.71,0.19,8.19,259.96,0.19,0.20,0.24,0.75,2.07,4.20,6.15,7.00,7.93,2.28
HTTP DNS Lookup (ms),0.13,0.00,1.20,12.16,0.00,0.00,0.00,0.00,0.00,0.00,0.99,1.12,1.18,0.35
HTTP Duration (excl. conn) (ms),1213.78,126.17,3718.56,116522.63,147.08,226.07,390.22,596.85,1046.70,1648.38,2343.11,2580.92,3311.00,768.24
HTTP Receiving (ms),1116.69,47.42,3687.13,107202.03,102.91,133.73,273.31,507.36,927.47,1525.36,2260.53,2484.33,3282.88,767.78
HTTP Sending (ms),0.47,0.10,2.02,45.43,0.11,0.12,0.12,0.14,0.17,0.60,1.67,1.92,1.98,0.55
HTTP Total Time (ms),1214.20,126.17,3719.05,116563.01,147.40,226.07,391.57,596.96,1047.12,1648.49,2343.11,2580.92,3311.47,768.21
HTTP Waiting (TTFB) (ms),96.62,22.73,217.51,9275.18,23.77,25.17,26.64,70.22,96.36,128.51,150.69,186.86,215.33,49.06
Input Sequence Length (tokens),581.45,8.00,1875.00,55819.00,8.00,9.75,17.50,112.00,465.00,894.75,1452.50,1576.75,1808.50,534.12
Inter Chunk Latency (ms),5.16,0.00,135.68,107196.99,3.25,4.09,4.18,4.30,5.13,5.40,5.67,5.81,6.63,4.76
Inter Token Latency (ms),5.18,4.25,6.81,497.40,4.27,4.28,4.28,4.66,5.30,5.64,5.89,6.08,6.66,0.63
OSL Mismatch Diff % (%),-0.03,-3.11,0.00,-3.11,-0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32
Output Sequence Length (tokens),217.83,10.00,740.00,20912.00,17.60,31.00,56.50,104.50,189.00,314.50,427.50,481.00,655.45,149.19
Output Token Count (tokens),217.83,10.00,740.00,20912.00,17.60,31.00,56.50,104.50,189.00,314.50,427.50,481.00,655.45,149.19
Output Token Throughput Per User (tokens/sec/user),195.89,146.78,235.47,18805.10,150.04,164.52,169.81,177.17,188.80,214.39,233.49,233.70,234.42,24.04
Prefill Throughput Per User (tokens/sec/user),5120.81,205.41,19515.23,491597.69,287.67,341.95,601.78,1528.59,4207.56,6825.68,12361.54,15110.43,19188.43,4553.48
Request Latency (ms),1213.81,126.23,3718.63,116525.76,147.14,226.14,390.33,596.91,1046.76,1648.44,2343.18,2580.99,3311.08,768.26
Time to First Output Token (ms),97.17,24.42,217.68,9328.77,24.66,25.90,28.25,70.48,96.58,128.75,151.13,187.50,215.54,48.77
Time to First Token (ms),97.17,24.42,217.68,9328.77,24.66,25.90,28.25,70.48,96.58,128.75,151.13,187.50,215.54,48.77
Time to Second Token (ms),4.06,0.89,5.61,389.79,1.55,2.61,3.06,3.29,4.37,4.77,5.03,5.28,5.59,0.92

Metric,Value
Benchmark Duration (sec),118.90
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),175.88
Request Count,96.00
Request Throughput (requests/sec),0.81
Total Input Sequence Length (tokens),55819.00
Total Output Sequence Length (tokens),20912.00
Total Output Tokens (tokens),20912.00
Total Token Throughput (tokens/sec),645.34


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
