Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),156.08,42.01,188.31,14983.27,86.08,112.72,128.50,146.67,163.70,171.06,178.03,180.44,183.77,23.70
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,218.94,10.00,729.00,21018.00,17.60,51.00,60.00,112.00,194.50,319.75,417.50,487.00,590.30,142.53
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),52.77,2.76,174.81,5066.01,4.56,12.60,14.75,27.16,46.87,76.92,100.32,116.97,141.56,34.11
HTTP Data Sent (KB),2.80,0.19,8.29,268.43,0.19,0.21,0.23,0.80,2.34,4.30,6.31,6.87,8.06,2.27
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1347.55,182.21,4249.48,129364.56,229.62,334.85,427.28,704.46,1256.71,1794.13,2464.14,2744.26,3381.95,799.63
HTTP Receiving (ms),1234.62,46.65,4221.09,118523.53,87.37,263.73,310.92,612.39,1116.44,1692.29,2327.91,2697.40,3354.06,803.24
HTTP Sending (ms),0.12,0.07,0.22,11.61,0.09,0.09,0.10,0.10,0.11,0.13,0.16,0.17,0.22,0.03
HTTP Total Time (ms),1347.55,182.21,4249.48,129364.56,229.62,334.85,427.28,704.46,1256.71,1794.13,2464.14,2744.26,3381.95,799.63
HTTP Waiting (TTFB) (ms),112.81,26.18,317.36,10829.42,26.48,27.76,28.26,88.13,114.56,147.35,188.79,200.95,260.69,58.94
Input Sequence Length (tokens),620.07,8.00,1875.00,59527.00,8.00,9.75,17.50,152.25,512.00,987.00,1452.50,1576.75,1808.50,534.16
Inter Chunk Latency (ms),5.67,0.00,145.47,118460.82,3.65,4.91,5.04,5.17,5.27,5.37,5.50,5.59,7.11,6.22
Inter Token Latency (ms),5.68,5.18,9.49,545.26,5.20,5.25,5.26,5.28,5.61,5.79,6.30,6.66,7.41,0.58
OSL Mismatch Diff % (%),-4.21,-78.95,1.85,-403.99,-73.34,-37.08,-2.71,0.00,0.00,0.00,0.00,0.00,0.80,14.49
Output Sequence Length (tokens),218.92,10.00,728.00,21016.00,17.60,51.00,59.50,112.00,194.50,319.50,417.50,486.25,590.25,142.45
Output Token Count (tokens),218.92,10.00,728.00,21016.00,17.60,51.00,59.50,112.00,194.50,319.50,417.50,486.25,590.25,142.45
Output Token Throughput Per User (tokens/sec/user),177.50,105.33,192.96,17039.82,135.36,150.14,158.86,172.69,178.37,189.30,190.10,190.66,192.45,14.39
Prefill Throughput Per User (tokens/sec/user),4456.81,201.22,12718.07,427853.74,271.75,365.08,533.54,1714.72,4274.50,6338.26,8974.46,9571.49,11169.97,3033.34
Request Latency (ms),1346.95,182.27,4243.99,129307.54,229.67,329.24,427.35,703.04,1256.77,1794.18,2464.20,2744.32,3381.72,799.43
Time to First Output Token (ms),112.99,26.33,317.55,10846.72,26.66,27.92,28.43,88.33,114.72,147.56,189.00,201.13,260.85,58.95
Time to First Token (ms),112.99,26.33,317.55,10846.72,26.66,27.92,28.43,88.33,114.72,147.56,189.00,201.13,260.85,58.95
Time to Second Token (ms),6.90,1.48,119.13,661.96,3.02,3.89,4.22,4.37,4.61,4.79,4.96,5.11,116.28,16.16

Metric,Value
Benchmark Duration (sec),64.85
OSL Mismatch Count,9.00
Output Token Throughput (tokens/sec),324.08
Request Count,96.00
Request Throughput (requests/sec),1.48
Total Input Sequence Length (tokens),59527.00
Total Output Sequence Length (tokens),21016.00
Total Output Tokens (tokens),21016.00
Total Token Throughput (tokens/sec),1242.01


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
