Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),163.66,59.36,225.90,15710.90,78.19,112.67,126.90,143.25,167.07,182.13,198.96,208.36,220.31,30.65
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,217.41,10.00,651.00,20871.00,17.60,45.25,56.50,91.00,193.50,319.75,434.00,486.25,638.65,146.17
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.40,0.29,1.73,38.87,0.30,0.30,0.32,0.34,0.37,0.42,0.52,0.56,0.81,0.16
HTTP Connection Overhead (ms),0.42,0.29,2.96,40.10,0.30,0.30,0.32,0.34,0.37,0.42,0.52,0.56,0.87,0.27
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),52.40,2.75,155.91,5030.62,4.58,11.20,13.89,22.16,46.69,76.96,104.22,116.75,153.69,34.98
HTTP Data Sent (KB),2.80,0.19,8.29,268.43,0.19,0.21,0.23,0.80,2.34,4.30,6.31,6.87,8.06,2.27
HTTP DNS Lookup (ms),0.01,0.00,1.22,1.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.12
HTTP Duration (excl. conn) (ms),1295.25,141.28,4085.26,124343.56,167.06,310.71,389.18,630.98,1162.71,1780.99,2385.19,2777.40,3366.19,823.48
HTTP Receiving (ms),1187.08,37.41,3980.55,113959.26,70.27,208.64,286.48,536.23,1051.57,1665.82,2299.34,2673.32,3333.52,820.76
HTTP Sending (ms),0.57,0.41,2.15,55.15,0.42,0.44,0.46,0.48,0.52,0.61,0.74,0.79,1.07,0.20
HTTP Total Time (ms),1295.66,141.65,4085.67,124383.66,167.40,311.16,389.63,631.31,1163.19,1781.47,2385.55,2777.83,3366.55,823.51
HTTP Waiting (TTFB) (ms),107.60,22.80,254.34,10329.15,23.26,25.69,28.71,71.06,104.53,138.72,183.83,218.13,247.69,55.86
Input Sequence Length (tokens),620.07,8.00,1875.00,59527.00,8.00,9.75,17.50,152.25,512.00,987.00,1452.50,1576.75,1808.50,534.16
Inter Chunk Latency (ms),5.49,0.00,136.05,113925.70,3.09,4.11,4.21,4.35,5.29,5.55,5.76,5.93,7.66,5.86
Inter Token Latency (ms),5.46,4.16,8.81,524.20,4.23,4.27,4.27,4.86,5.42,5.90,6.49,7.04,7.39,0.85
OSL Mismatch Diff % (%),-4.22,-89.13,0.30,-405.25,-88.93,-20.04,0.00,0.00,0.00,0.00,0.00,0.00,0.02,17.97
Output Sequence Length (tokens),217.47,10.00,651.00,20877.00,17.60,44.50,56.50,91.00,194.50,319.75,434.00,487.00,641.50,146.37
Output Token Count (tokens),217.47,10.00,651.00,20877.00,17.60,44.50,56.50,91.00,194.50,319.75,434.00,487.00,641.50,146.37
Output Token Throughput Per User (tokens/sec/user),187.32,113.55,240.65,17982.32,135.46,142.08,154.02,169.47,184.41,205.80,233.92,234.36,236.35,27.64
Prefill Throughput Per User (tokens/sec/user),4851.06,72.83,11906.01,465701.76,237.08,301.81,531.51,2017.43,4630.52,7527.02,9716.41,10849.95,11658.01,3410.18
Request Latency (ms),1294.97,141.34,4085.33,124317.33,167.11,310.82,389.25,631.05,1162.79,1781.08,2385.24,2777.47,3366.25,823.70
Time to First Output Token (ms),108.25,23.42,254.95,10391.63,23.82,26.25,29.27,71.68,105.24,139.31,184.47,218.64,248.24,55.88
Time to First Token (ms),108.25,23.42,254.95,10391.63,23.82,26.25,29.27,71.68,105.24,139.31,184.47,218.64,248.24,55.88
Time to Second Token (ms),5.86,1.10,91.84,562.27,1.22,2.82,3.01,3.53,4.56,4.87,5.23,5.40,61.87,10.65

Metric,Value
Benchmark Duration (sec),95.06
OSL Mismatch Count,5.00
Output Token Throughput (tokens/sec),219.61
Request Count,96.00
Request Throughput (requests/sec),1.01
Total Input Sequence Length (tokens),59527.00
Total Output Sequence Length (tokens),20877.00
Total Output Tokens (tokens),20877.00
Total Token Throughput (tokens/sec),845.78


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
