Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),30.68,0.62,68.26,2945.33,0.63,1.71,6.09,15.71,32.96,41.50,52.05,57.60,61.30,16.42
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,718.69,8.00,2048.00,68994.00,8.95,10.00,41.50,68.00,299.50,1443.75,2048.00,2048.00,2048.00,783.34
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,0.57,2.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.43,0.10
HTTP Connection Overhead (ms),0.03,0.00,0.57,2.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.43,0.10
HTTP Connection Reused (ratio),0.94,0.00,1.00,90.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.24
HTTP Data Received (KB),172.45,2.27,492.16,16555.42,2.50,2.74,10.28,16.66,72.18,347.05,490.23,491.09,491.36,187.56
HTTP Data Sent (KB),112.81,47.92,297.35,10829.83,47.98,48.30,48.98,64.70,102.78,142.29,203.39,215.66,270.71,58.00
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),19414.90,321.81,57073.99,1863830.38,1055.80,1569.22,3306.51,5968.11,11973.73,33399.29,49454.78,52564.69,54533.03,17316.56
HTTP Receiving (ms),14585.87,64.03,51579.45,1400243.98,72.74,217.90,518.20,1014.26,6686.19,27729.69,43616.24,48817.25,51314.62,16429.03
HTTP Sending (ms),0.16,0.10,0.85,15.39,0.10,0.10,0.10,0.11,0.13,0.15,0.20,0.49,0.70,0.12
HTTP Total Time (ms),19414.92,321.81,57073.99,1863832.79,1055.80,1569.22,3306.51,5968.11,11973.73,33399.29,49454.78,52564.69,54533.43,17316.57
HTTP Waiting (TTFB) (ms),4828.86,142.49,14602.62,463571.01,248.39,538.16,671.29,1815.85,4210.26,7062.21,10506.95,11777.90,13430.76,3612.10
Input Sequence Length (tokens),29195.68,12649.00,78432.00,2802785.00,12765.85,12798.00,12922.50,16770.50,26629.50,35757.00,51644.50,58399.50,77444.95,15140.65
Inter Chunk Latency (ms),20.32,0.00,654.53,1398578.79,5.04,7.97,9.42,9.80,10.13,10.45,10.81,11.55,347.13,56.47
Inter Token Latency (ms),22.74,7.43,116.07,2183.39,7.73,9.32,9.76,13.79,18.46,24.68,36.23,53.70,100.71,17.18
OSL Mismatch Diff % (%),-64.94,-99.61,0.00,-6234.62,-99.61,-99.56,-98.02,-96.73,-85.42,-29.55,0.00,0.00,0.00,38.27
Output Sequence Length (tokens),717.95,8.00,2048.00,68923.00,8.00,9.00,40.50,67.00,298.50,1442.75,2048.00,2048.00,2048.00,783.73
Output Token Count (tokens),717.95,8.00,2048.00,68923.00,8.00,9.00,40.50,67.00,298.50,1442.75,2048.00,2048.00,2048.00,783.73
Output Token Throughput Per User (tokens/sec/user),59.35,8.62,134.53,5697.78,9.94,18.62,27.61,40.52,54.16,72.52,102.42,107.29,129.39,28.43
Prefill Throughput Per User (tokens/sec/user),13755.61,1239.64,166017.73,1320538.76,1405.25,1958.37,2444.95,3607.62,6858.68,18327.86,21643.93,45874.89,88710.21,21227.44
Request Latency (ms),19397.62,311.94,57074.05,1862171.98,1045.53,1564.38,3206.86,5957.39,11963.92,33388.37,49454.84,52564.75,54533.13,17324.36
Time to First Output Token (ms),4829.10,142.66,14602.86,463593.19,248.57,538.34,671.46,1816.04,4210.44,7062.43,10507.15,11778.12,13430.92,3612.08
Time to First Token (ms),4829.10,142.66,14602.86,463593.19,248.57,538.34,671.46,1816.04,4210.44,7062.43,10507.15,11778.12,13430.92,3612.08
Time to Second Token (ms),62.13,0.17,376.82,5964.16,0.28,0.33,0.45,1.26,4.23,21.72,265.94,326.59,355.47,111.48

Metric,Value
Benchmark Duration (sec),238.96
OSL Mismatch Count,79.00
Output Token Throughput (tokens/sec),288.43
Request Count,96.00
Request Throughput (requests/sec),0.40
Total Input Sequence Length (tokens),2802785.00
Total Output Sequence Length (tokens),68923.00
Total Output Tokens (tokens),68923.00
Total Token Throughput (tokens/sec),12017.69


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
