Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),16.94,0.66,75.60,1626.37,0.69,1.14,1.27,2.46,12.30,25.29,35.76,51.05,71.42,16.80
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,643.85,21.00,2048.00,61810.00,24.80,36.75,55.00,81.25,169.00,1063.50,2048.00,2048.00,2048.00,800.85
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.41,0.00,1.86,39.25,0.00,0.00,0.00,0.00,0.36,0.45,1.46,1.59,1.84,0.48
HTTP Connection Overhead (ms),0.54,0.00,3.18,51.60,0.00,0.00,0.00,0.00,0.36,0.45,2.48,2.69,3.11,0.82
HTTP Connection Reused (ratio),0.34,0.00,1.00,33.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),154.57,5.39,495.21,14838.83,6.28,9.15,13.53,19.86,40.83,255.38,490.50,491.67,492.41,191.86
HTTP Data Sent (KB),73.33,46.98,207.82,7039.30,47.03,47.44,47.95,48.60,50.29,92.49,116.33,181.32,206.98,41.17
HTTP DNS Lookup (ms),0.13,0.00,1.32,12.35,0.00,0.00,0.00,0.00,0.00,0.00,1.02,1.10,1.27,0.36
HTTP Duration (excl. conn) (ms),45556.58,615.39,101453.76,4373431.26,812.84,2183.48,4508.11,16975.03,52377.16,65938.78,82344.91,94679.37,101422.47,29301.80
HTTP Receiving (ms),14935.93,182.51,59795.68,1433848.96,284.81,513.51,743.22,1454.22,4174.60,18768.15,50091.17,54215.52,59623.84,19017.97
HTTP Sending (ms),0.59,0.11,2.24,56.58,0.11,0.13,0.14,0.19,0.51,0.65,1.73,1.89,2.19,0.52
HTTP Total Time (ms),45557.11,615.39,101454.14,4373482.86,812.84,2183.48,4509.63,16975.37,52377.33,65939.11,82345.18,94679.62,101422.89,29301.55
HTTP Waiting (TTFB) (ms),30620.06,325.02,66898.18,2939525.72,354.77,598.42,956.67,5251.86,26894.28,52775.75,63079.78,64143.73,65775.12,24267.39
Input Sequence Length (tokens),19256.39,12409.00,56624.00,1848613.00,12481.20,12595.25,12653.50,12878.00,13265.00,23839.00,30706.50,48280.00,56390.30,10889.14
Inter Chunk Latency (ms),23.24,0.26,6484.65,1432426.79,5.00,6.34,8.07,11.14,11.98,12.57,13.16,85.75,320.52,60.68
Inter Token Latency (ms),24.34,6.29,93.19,2336.50,7.55,10.09,11.43,13.23,23.66,29.15,40.50,46.58,66.92,13.27
OSL Mismatch Diff % (%),-68.60,-99.02,0.00,-6585.69,-98.84,-98.25,-97.36,-96.08,-91.80,-48.12,0.00,0.00,0.00,39.12
Output Sequence Length (tokens),643.05,20.00,2048.00,61733.00,23.80,35.75,54.00,80.25,168.00,1062.50,2048.00,2048.00,2048.00,801.22
Output Token Count (tokens),643.05,20.00,2048.00,61733.00,23.80,35.75,54.00,80.25,168.00,1062.50,2048.00,2048.00,2048.00,801.22
Output Token Throughput Per User (tokens/sec/user),53.16,10.73,158.91,5103.25,15.03,21.47,24.71,34.31,42.28,75.62,87.52,99.33,132.66,27.85
Prefill Throughput Per User (tokens/sec/user),5974.71,188.61,58375.13,573572.47,194.66,202.81,210.77,256.60,614.72,5197.50,15082.66,33534.50,53538.67,11879.91
Request Latency (ms),45541.85,608.44,101453.82,4372017.75,804.32,2173.20,4499.20,16961.97,52364.76,65926.49,82341.38,94679.44,101422.53,29306.18
Time to First Output Token (ms),30620.74,325.26,66898.74,2939590.96,355.07,599.46,957.78,5252.91,26894.82,52775.97,63080.23,64144.23,65775.68,24267.14
Time to First Token (ms),30620.74,325.26,66898.74,2939590.96,355.07,599.46,957.78,5252.91,26894.82,52775.97,63080.23,64144.23,65775.68,24267.14
Time to Second Token (ms),79.47,0.73,457.93,7629.48,1.55,2.67,4.02,7.55,9.73,134.31,242.61,304.90,357.84,106.84

Metric,Value
Benchmark Duration (sec),160.02
OSL Mismatch Count,75.00
Output Token Throughput (tokens/sec),385.77
Request Count,96.00
Request Throughput (requests/sec),0.60
Total Input Sequence Length (tokens),1848613.00
Total Output Sequence Length (tokens),61733.00
Total Output Tokens (tokens),61733.00
Total Token Throughput (tokens/sec),11937.82


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
