Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),77.71,13.90,142.35,7460.27,15.20,40.76,44.23,54.73,78.99,97.82,111.18,116.11,135.76,27.22
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,385.48,36.00,2048.00,37006.00,50.25,62.50,74.00,96.00,220.00,568.50,978.50,1162.50,1991.95,418.43
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),92.54,9.00,489.12,8883.96,12.45,15.34,18.10,23.33,52.98,136.27,234.20,278.42,476.14,99.98
HTTP Data Sent (KB),127.92,54.20,325.06,12280.40,54.25,54.61,55.53,81.63,123.60,151.19,220.12,239.49,302.84,59.99
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),4607.94,731.95,21090.00,442361.98,757.17,895.96,1066.33,1568.15,3211.06,5867.72,9882.45,11996.47,19679.78,4121.85
HTTP Receiving (ms),3821.57,357.81,20472.12,366870.78,393.51,471.41,569.10,977.24,2447.97,5247.00,8987.65,11165.68,19012.31,4055.95
HTTP Sending (ms),0.13,0.10,0.19,12.42,0.10,0.10,0.10,0.11,0.13,0.14,0.17,0.18,0.18,0.02
HTTP Total Time (ms),4607.94,731.95,21090.00,442361.98,757.17,895.96,1066.33,1568.15,3211.06,5867.72,9882.45,11996.47,19679.78,4121.85
HTTP Waiting (TTFB) (ms),786.24,178.07,3322.76,75478.78,184.12,215.26,327.96,385.62,594.03,827.60,1603.76,2181.56,3212.13,658.00
Input Sequence Length (tokens),29869.05,12621.00,76122.00,2867429.00,12640.00,12781.00,12981.00,19036.25,28825.00,35186.50,51481.50,55833.50,70652.85,14038.04
Inter Chunk Latency (ms),9.93,0.00,670.18,366651.77,2.68,6.08,6.27,6.49,6.72,7.06,7.54,8.02,169.50,26.34
Inter Token Latency (ms),10.51,6.28,39.05,1009.25,6.32,6.44,6.52,7.63,9.58,12.53,15.05,17.16,21.77,4.43
OSL Mismatch Diff % (%),-7.62,-93.85,0.45,-731.37,-92.57,-67.96,-25.65,0.00,0.00,0.00,0.00,0.00,0.15,22.69
Output Sequence Length (tokens),385.80,36.00,2047.00,37037.00,50.25,62.50,74.00,96.00,220.50,569.25,978.50,1164.00,1994.75,418.65
Output Token Count (tokens),385.80,36.00,2047.00,37037.00,50.25,62.50,74.00,96.00,220.50,569.25,978.50,1164.00,1994.75,418.65
Output Token Throughput Per User (tokens/sec/user),106.78,25.61,159.34,10250.56,46.81,58.30,66.48,79.83,104.43,130.98,153.45,155.37,158.13,32.19
Prefill Throughput Per User (tokens/sec/user),54028.49,5535.53,174456.83,5186735.06,6840.24,16341.13,18713.71,23732.80,43885.39,67600.01,100711.67,136397.70,170308.62,36355.66
Request Latency (ms),4605.73,732.01,20956.74,442149.68,757.23,890.56,1066.38,1568.22,3211.14,5867.78,9882.51,11996.52,19673.18,4116.42
Time to First Output Token (ms),786.44,178.26,3322.96,75497.91,184.32,215.44,328.16,385.79,594.21,827.76,1603.99,2181.73,3212.33,658.00
Time to First Token (ms),786.44,178.26,3322.96,75497.91,184.32,215.44,328.16,385.79,594.21,827.76,1603.99,2181.73,3212.33,658.00
Time to Second Token (ms),30.60,0.08,509.75,2937.16,0.08,0.11,0.15,0.20,0.30,1.86,83.57,275.52,422.39,94.53

Metric,Value
Benchmark Duration (sec),111.40
OSL Mismatch Count,11.00
Output Token Throughput (tokens/sec),332.46
Request Count,96.00
Request Throughput (requests/sec),0.86
Total Input Sequence Length (tokens),2867429.00
Total Output Sequence Length (tokens),37037.00
Total Output Tokens (tokens),37037.00
Total Token Throughput (tokens/sec),26071.87


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
