Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),66.11,4.76,164.38,6346.65,15.91,21.21,24.30,37.91,63.05,89.09,113.34,133.12,148.34,34.83
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,410.56,3.00,2048.00,39414.00,34.35,60.50,73.50,96.00,217.50,442.25,1071.00,1602.25,2048.00,488.25
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.37,0.00,1.54,35.65,0.00,0.00,0.29,0.34,0.38,0.42,0.46,0.53,0.79,0.17
HTTP Connection Overhead (ms),0.38,0.00,2.64,36.75,0.00,0.00,0.29,0.34,0.38,0.42,0.46,0.53,0.84,0.26
HTTP Connection Reused (ratio),0.08,0.00,1.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.28
HTTP Data Received (KB),98.55,1.07,489.74,9460.57,8.61,14.86,17.96,23.35,52.55,106.05,256.68,383.33,489.47,116.67
HTTP Data Sent (KB),127.92,54.20,325.06,12280.40,54.25,54.61,55.53,81.63,123.60,151.19,220.12,239.49,302.84,59.99
HTTP DNS Lookup (ms),0.01,0.00,1.10,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.11
HTTP Duration (excl. conn) (ms),6424.20,424.48,31662.31,616722.91,556.46,935.69,1236.18,1974.02,3822.18,8706.02,16217.93,20334.89,25116.22,6352.97
HTTP Receiving (ms),5565.67,4.16,31003.72,534304.60,278.71,531.93,781.52,1272.12,2860.51,7428.00,14848.91,19788.50,23062.00,6222.50
HTTP Sending (ms),0.53,0.13,1.86,50.96,0.13,0.15,0.42,0.47,0.53,0.58,0.67,0.71,1.08,0.20
HTTP Total Time (ms),6424.58,424.94,31662.69,616759.66,556.83,936.06,1236.39,1974.45,3822.51,8706.39,16218.18,20335.38,25116.64,6352.97
HTTP Waiting (TTFB) (ms),857.99,134.51,3835.73,82367.35,178.71,217.14,312.07,429.84,617.12,1007.51,1613.66,2422.57,3224.91,673.97
Input Sequence Length (tokens),29869.05,12621.00,76122.00,2867429.00,12640.00,12781.00,12981.00,19036.25,28825.00,35186.50,51481.50,55833.50,70652.85,14038.04
Inter Chunk Latency (ms),13.59,0.00,639.31,534209.33,4.27,4.82,5.84,6.58,8.19,9.27,11.66,13.65,204.38,38.90
Inter Token Latency (ms),14.87,0.20,44.17,1427.34,4.42,5.85,6.31,9.34,12.22,18.20,27.67,30.15,41.87,8.55
OSL Mismatch Diff % (%),-7.35,-99.81,0.28,-706.07,-87.37,-73.14,-6.08,0.00,0.00,0.00,0.00,0.00,0.18,22.74
Output Sequence Length (tokens),410.90,2.00,2048.00,39446.00,34.30,60.50,73.50,96.00,220.00,442.25,1072.00,1603.75,2048.00,488.22
Output Token Count (tokens),410.90,2.00,2048.00,39446.00,34.30,60.50,73.50,96.00,220.00,442.25,1072.00,1603.75,2048.00,488.22
Output Token Throughput Per User (tokens/sec/user),137.58,22.64,4880.93,13207.73,23.89,33.17,36.14,54.99,81.85,107.08,158.55,171.21,448.55,488.73
Prefill Throughput Per User (tokens/sec/user),51891.47,5232.64,230187.58,4981580.91,9240.17,13373.26,15548.58,22613.92,39245.36,68141.23,103293.47,138417.09,175771.43,40561.73
Request Latency (ms),6423.28,420.60,31662.39,616634.86,556.34,935.75,1236.25,1974.09,3822.23,8706.08,16217.98,20334.96,25116.31,6352.80
Time to First Output Token (ms),858.60,135.10,3836.17,82425.52,179.30,217.78,312.91,430.18,617.83,1008.08,1614.30,2423.02,3225.47,673.94
Time to First Token (ms),858.60,135.10,3836.17,82425.52,179.30,217.78,312.91,430.18,617.83,1008.08,1614.30,2423.02,3225.47,673.94
Time to Second Token (ms),60.23,0.00,421.68,5781.63,0.10,0.12,0.15,0.32,1.70,56.64,240.84,311.64,379.85,106.56

Metric,Value
Benchmark Duration (sec),129.05
OSL Mismatch Count,11.00
Output Token Throughput (tokens/sec),305.65
Request Count,96.00
Request Throughput (requests/sec),0.74
Total Input Sequence Length (tokens),2867429.00
Total Output Sequence Length (tokens),39446.00
Total Output Tokens (tokens),39446.00
Total Token Throughput (tokens/sec),22524.36


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
