Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),5.59,0.78,43.04,536.27,0.86,1.05,1.47,1.97,3.28,5.32,11.60,16.55,38.09,7.45
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,5.50,2.00,121.00,528.00,2.00,2.00,2.00,2.00,2.00,4.00,7.50,19.50,33.60,13.10
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),1.67,0.83,29.30,160.28,0.83,0.83,0.83,0.83,0.83,1.31,2.15,5.03,8.43,3.14
HTTP Data Sent (KB),30.03,11.74,103.02,2883.00,11.84,13.66,15.61,19.62,24.59,34.31,51.57,67.43,88.85,17.48
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),611.81,220.51,3810.14,58733.68,238.89,257.97,302.44,412.21,505.13,674.53,947.36,1148.05,2123.08,433.63
HTTP Receiving (ms),100.04,0.41,3353.25,9603.70,0.54,0.93,1.34,2.77,4.16,19.25,200.60,441.85,1204.72,372.30
HTTP Sending (ms),0.12,0.08,0.21,11.48,0.09,0.10,0.10,0.11,0.12,0.13,0.15,0.16,0.17,0.02
HTTP Total Time (ms),611.81,220.51,3810.14,58733.68,238.89,257.97,302.44,412.21,505.13,674.53,947.36,1148.05,2123.08,433.63
HTTP Waiting (TTFB) (ms),511.65,217.59,1277.11,49118.49,234.61,253.61,298.61,404.26,466.46,545.64,820.92,1082.02,1168.48,212.92
Input Sequence Length (tokens),6752.54,2378.00,23682.00,648244.00,2691.50,3043.75,3280.00,4306.75,5680.50,7661.25,11863.50,15738.75,22920.10,4114.20
Inter Chunk Latency (ms),24.44,0.42,304.62,8211.24,0.73,2.10,3.18,4.19,5.12,5.61,113.32,153.45,197.13,50.88
Inter Token Latency (ms),18.29,0.42,156.61,676.87,0.51,1.07,1.82,3.62,4.51,28.14,48.46,58.26,121.51,28.76
OSL Mismatch Diff % (%),-99.78,-99.95,-94.14,-9578.91,-99.95,-99.95,-99.95,-99.95,-99.95,-99.85,-99.68,-99.10,-98.41,0.64
Output Sequence Length (tokens),4.50,1.00,120.00,432.00,1.00,1.00,1.00,1.00,1.00,3.00,6.50,18.50,32.60,13.10
Output Token Count (tokens),4.50,1.00,120.00,432.00,1.00,1.00,1.00,1.00,1.00,3.00,6.50,18.50,32.60,13.10
Output Token Throughput Per User (tokens/sec/user),296.28,6.39,2400.99,10962.35,10.18,17.17,20.96,35.54,221.86,276.49,550.00,979.47,2068.88,444.93
Prefill Throughput Per User (tokens/sec/user),13258.50,4039.21,37786.88,1272815.79,4584.04,6310.33,8075.74,10095.27,12760.06,15552.63,18436.28,21332.15,25680.20,5004.44
Request Latency (ms),597.37,217.81,3805.71,57347.79,234.76,253.79,299.75,409.26,494.76,642.14,944.26,1125.24,1995.47,426.64
Time to First Output Token (ms),511.84,217.81,1277.28,49136.55,234.76,253.79,298.81,404.44,466.64,545.84,821.09,1082.24,1168.65,212.92
Time to First Token (ms),511.84,217.81,1277.28,49136.55,234.76,253.79,298.81,404.44,466.64,545.84,821.09,1082.24,1168.65,212.92
Time to Second Token (ms),27.41,0.42,304.62,1014.26,0.51,0.89,1.12,1.88,2.97,4.34,112.66,126.97,252.69,61.93

Metric,Value
Benchmark Duration (sec),29.55
OSL Mismatch Count,96.00
Output Token Throughput (tokens/sec),14.62
Request Count,96.00
Request Throughput (requests/sec),3.25
Total Input Sequence Length (tokens),648244.00
Total Output Sequence Length (tokens),432.00
Total Output Tokens (tokens),432.00
Total Token Throughput (tokens/sec),21954.57


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
