Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),8.28,0.68,127.07,794.40,0.96,1.11,1.66,2.38,3.59,6.59,14.51,33.21,64.83,16.24
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,4.83,2.00,88.00,464.00,2.00,2.00,2.00,2.00,2.00,3.25,6.00,18.00,30.05,9.90
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.42,0.30,2.01,40.11,0.30,0.32,0.34,0.36,0.38,0.43,0.51,0.54,0.73,0.18
HTTP Connection Overhead (ms),0.43,0.30,3.46,41.56,0.30,0.32,0.34,0.36,0.38,0.43,0.51,0.54,0.80,0.32
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),1.51,0.83,21.44,145.02,0.83,0.83,0.83,0.83,0.83,1.14,1.79,4.69,7.54,2.37
HTTP Data Sent (KB),30.03,11.74,103.02,2883.00,11.84,13.66,15.61,19.62,24.59,34.31,51.57,67.43,88.85,17.48
HTTP DNS Lookup (ms),0.02,0.00,1.45,1.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.15
HTTP Duration (excl. conn) (ms),474.71,87.68,1598.99,45572.26,192.35,220.52,240.83,282.93,402.87,547.72,812.10,1116.26,1369.66,269.68
HTTP Receiving (ms),36.00,0.31,375.73,3456.36,0.37,0.84,1.35,2.18,3.45,24.90,117.69,184.61,240.11,65.18
HTTP Sending (ms),0.59,0.42,2.35,56.20,0.43,0.46,0.47,0.51,0.55,0.62,0.70,0.75,0.91,0.20
HTTP Total Time (ms),475.14,88.12,1599.34,45613.82,192.68,220.95,241.23,283.33,403.31,548.07,812.46,1116.66,1370.05,269.67
HTTP Waiting (TTFB) (ms),438.12,85.80,1463.53,42059.70,189.50,214.86,237.62,274.97,362.43,510.78,746.63,961.03,1336.62,240.14
Input Sequence Length (tokens),6752.54,2378.00,23682.00,648244.00,2691.50,3043.75,3280.00,4306.75,5680.50,7661.25,11863.50,15738.75,22920.10,4114.20
Inter Chunk Latency (ms),5.12,0.10,101.91,1391.88,0.27,2.17,3.06,4.24,4.36,4.46,4.65,5.30,49.84,9.04
Inter Token Latency (ms),8.37,0.10,101.72,267.88,0.10,1.16,2.21,3.31,4.06,4.37,7.52,28.25,86.65,18.90
OSL Mismatch Diff % (%),-99.81,-99.95,-95.75,-9582.03,-99.95,-99.95,-99.95,-99.95,-99.95,-99.89,-99.76,-99.17,-98.58,0.48
Output Sequence Length (tokens),3.83,1.00,87.00,368.00,1.00,1.00,1.00,1.00,1.00,2.25,5.00,17.00,29.05,9.90
Output Token Count (tokens),3.83,1.00,87.00,368.00,1.00,1.00,1.00,1.00,1.00,2.25,5.00,17.00,29.05,9.90
Output Token Throughput Per User (tokens/sec/user),834.77,9.83,10238.14,26712.63,12.62,77.92,134.28,228.77,246.04,302.06,453.42,4222.77,9785.40,2249.19
Prefill Throughput Per User (tokens/sec/user),16556.72,2712.49,53717.18,1589445.03,4334.95,5949.98,8450.40,13092.43,16262.46,20199.20,23315.66,25519.75,32943.58,6822.47
Request Latency (ms),453.28,86.60,1464.12,43515.19,190.06,217.27,238.27,280.61,399.85,527.37,806.69,961.67,1358.33,244.83
Time to First Output Token (ms),438.78,86.60,1464.12,42123.32,190.06,215.57,238.27,275.73,363.98,511.34,747.29,961.67,1337.25,240.13
Time to First Token (ms),438.78,86.60,1464.12,42123.32,190.06,215.57,238.27,275.73,363.98,511.34,747.29,961.67,1337.25,240.13
Time to Second Token (ms),10.59,0.10,101.91,338.87,0.10,0.14,0.70,1.41,2.25,3.03,14.17,78.60,101.85,25.69

Metric,Value
Benchmark Duration (sec),94.66
OSL Mismatch Count,96.00
Output Token Throughput (tokens/sec),3.89
Request Count,96.00
Request Throughput (requests/sec),1.01
Total Input Sequence Length (tokens),648244.00
Total Output Sequence Length (tokens),368.00
Total Output Tokens (tokens),368.00
Total Token Throughput (tokens/sec),6851.96


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
