Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),8.79,0.07,33.84,843.39,0.18,0.23,0.42,1.56,4.73,16.87,18.44,22.21,25.72,8.08
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,200.14,1.00,929.00,19213.00,2.90,3.00,3.00,20.00,52.00,361.25,541.00,587.50,852.05,228.12
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.18,0.00,2.08,17.43,0.00,0.00,0.00,0.00,0.00,0.37,0.54,0.79,1.44,0.35
HTTP Connection Overhead (ms),0.20,0.00,3.46,18.81,0.00,0.00,0.00,0.00,0.00,0.37,0.54,0.79,1.51,0.44
HTTP Connection Reused (ratio),0.71,0.00,1.00,68.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.45
HTTP Data Received (KB),48.23,0.60,222.31,4629.62,1.05,1.08,1.08,5.18,12.81,86.72,129.57,140.86,203.83,54.52
HTTP Data Sent (KB),40.41,4.05,374.20,3879.65,4.08,4.74,8.93,14.43,27.88,41.90,85.05,111.63,205.27,47.74
HTTP DNS Lookup (ms),0.01,0.00,1.38,1.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.14
HTTP Duration (excl. conn) (ms),17131.27,5311.84,46435.27,1644602.14,5945.24,6042.12,6891.12,9141.63,15154.38,21217.30,31169.44,37028.00,44567.32,9568.72
HTTP Receiving (ms),8158.84,0.00,45086.87,783248.21,11.35,23.40,26.27,1004.84,3854.59,13272.88,22800.87,27635.76,38821.07,9592.83
HTTP Sending (ms),0.34,0.09,2.34,32.98,0.09,0.11,0.11,0.12,0.17,0.51,0.81,1.00,1.71,0.38
HTTP Total Time (ms),17131.47,5312.21,46435.27,1644620.95,5945.91,6042.12,6891.12,9141.82,15154.38,21217.57,31169.44,37028.10,44567.66,9568.70
HTTP Waiting (TTFB) (ms),8972.09,496.63,18297.61,861320.95,1305.43,1860.93,2834.06,5810.27,9082.10,12390.58,14115.73,16327.39,17298.88,4180.42
Input Sequence Length (tokens),9426.46,898.00,87169.00,904940.00,898.00,1062.75,2025.00,3372.00,6522.50,9800.00,19835.00,26205.25,47984.35,11143.80
Inter Chunk Latency (ms),40.97,0.51,687.61,783064.52,4.50,8.25,9.42,11.14,12.94,13.99,144.29,244.52,366.93,80.97
Inter Token Latency (ms),59.49,5.97,273.69,5651.08,9.68,11.99,12.60,24.88,43.56,58.95,146.45,176.62,224.28,53.89
OSL Mismatch Diff % (%),-2.15,-74.52,0.49,-206.32,-57.21,-0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.23,10.79
Output Sequence Length (tokens),200.05,1.00,929.00,19205.00,2.90,3.00,3.00,20.00,52.00,361.25,541.00,587.50,847.30,227.98
Output Token Count (tokens),200.05,1.00,929.00,19205.00,2.90,3.00,3.00,20.00,52.00,361.25,541.00,587.50,847.30,227.98
Output Token Throughput Per User (tokens/sec/user),32.59,3.65,167.42,3096.25,4.47,5.67,6.84,16.97,22.96,40.28,79.39,83.42,104.80,27.89
Prefill Throughput Per User (tokens/sec/user),1503.97,89.84,15206.58,144380.87,99.92,113.64,236.34,435.51,728.13,1410.68,3386.52,4837.46,13798.16,2280.93
Request Latency (ms),17129.43,5311.89,46435.36,1644425.62,5945.31,6042.21,6891.18,9141.69,15148.57,21217.35,31169.52,37028.05,44567.38,9566.47
Time to First Output Token (ms),8972.51,496.94,18300.11,861361.10,1305.77,1861.28,2835.31,5811.02,9082.31,12390.79,14115.92,16327.60,17299.16,4180.32
Time to First Token (ms),8972.51,496.94,18300.11,861361.10,1305.77,1861.28,2835.31,5811.02,9082.31,12390.79,14115.92,16327.60,17299.16,4180.32
Time to Second Token (ms),125.88,0.51,327.89,11958.46,0.58,4.60,7.72,11.34,127.96,253.82,284.52,293.25,327.73,111.53

Metric,Value
Benchmark Duration (sec),55.75
OSL Mismatch Count,4.00
Output Token Throughput (tokens/sec),344.48
Request Count,96.00
Request Throughput (requests/sec),1.72
Total Input Sequence Length (tokens),904940.00
Total Output Sequence Length (tokens),19205.00
Total Output Tokens (tokens),19205.00
Total Token Throughput (tokens/sec),16576.43


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
