Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),68.67,1.04,199.10,6592.43,1.16,3.36,8.71,21.00,66.02,101.00,139.93,163.75,194.46,50.73
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,197.22,1.00,927.00,18933.00,2.90,3.00,3.00,20.00,51.50,356.50,529.00,587.00,851.95,225.87
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.39,0.00,1.50,37.90,0.00,0.29,0.31,0.34,0.38,0.43,0.49,0.52,0.61,0.14
HTTP Connection Overhead (ms),0.41,0.00,2.58,38.97,0.00,0.29,0.31,0.34,0.38,0.43,0.49,0.52,0.67,0.24
HTTP Connection Reused (ratio),0.02,0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.14
HTTP Data Received (KB),47.56,0.60,222.47,4565.58,1.05,1.08,1.08,5.18,12.72,85.66,126.82,140.72,204.00,54.03
HTTP Data Sent (KB),40.41,4.05,374.20,3879.65,4.08,4.74,8.93,14.43,27.88,41.90,85.05,111.63,205.27,47.74
HTTP DNS Lookup (ms),0.01,0.00,1.07,1.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.11
HTTP Duration (excl. conn) (ms),2725.21,128.34,12656.71,261620.63,133.78,168.57,191.19,347.07,2026.21,4156.25,6233.97,8325.26,10506.56,2712.32
HTTP Receiving (ms),1782.52,0.00,11386.21,171121.80,2.28,6.58,9.74,130.87,846.28,3176.47,4434.42,5871.47,8766.31,2200.29
HTTP Sending (ms),0.56,0.14,1.80,53.76,0.17,0.43,0.45,0.49,0.54,0.61,0.69,0.72,0.84,0.16
HTTP Total Time (ms),2725.62,128.69,12657.24,261659.60,134.16,168.92,191.54,347.16,2026.58,4156.63,6234.41,8326.25,10507.02,2712.39
HTTP Waiting (TTFB) (ms),942.14,75.24,6413.36,90445.07,78.55,106.06,120.57,185.00,437.62,1226.51,2351.94,3166.58,5629.46,1236.69
Input Sequence Length (tokens),9426.46,898.00,87169.00,904940.00,898.00,1062.75,2025.00,3372.00,6522.50,9800.00,19835.00,26205.25,47984.35,11143.80
Inter Chunk Latency (ms),9.08,0.00,669.03,171090.31,3.48,4.29,4.42,5.32,5.79,7.30,8.02,8.37,138.35,26.37
Inter Token Latency (ms),12.67,1.20,253.62,1203.24,2.18,3.99,4.43,5.36,6.85,11.20,17.08,41.20,61.69,26.54
OSL Mismatch Diff % (%),-1.95,-90.49,0.24,-187.22,-64.31,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.01,11.54
Output Sequence Length (tokens),197.32,1.00,929.00,18943.00,2.90,3.00,3.00,20.00,51.50,356.50,529.00,587.00,852.05,226.03
Output Token Count (tokens),197.32,1.00,929.00,18943.00,2.90,3.00,3.00,20.00,51.50,356.50,529.00,587.00,852.05,226.03
Output Token Throughput Per User (tokens/sec/user),151.18,3.94,834.38,14361.71,19.25,24.28,58.56,89.34,145.94,186.40,225.57,253.45,469.09,102.12
Prefill Throughput Per User (tokens/sec/user),18733.31,387.96,52843.70,1798397.40,608.28,1912.01,2903.79,8280.87,15988.80,24284.29,40591.95,45888.02,52219.69,13559.13
Request Latency (ms),2724.96,128.40,12656.81,261596.42,133.85,168.63,191.25,347.13,2026.28,4156.31,6234.05,8322.91,10506.63,2712.06
Time to First Output Token (ms),942.77,75.85,6415.33,90506.11,79.00,106.58,121.15,185.57,438.24,1227.08,2352.55,3167.23,5630.23,1236.78
Time to First Token (ms),942.77,75.85,6415.33,90506.11,79.00,106.58,121.15,185.57,438.24,1227.08,2352.55,3167.23,5630.23,1236.78
Time to Second Token (ms),47.63,0.09,441.71,4524.40,0.10,0.22,0.29,1.90,3.56,7.98,188.83,255.78,319.83,91.31

Metric,Value
Benchmark Duration (sec),94.65
OSL Mismatch Count,3.00
Output Token Throughput (tokens/sec),200.14
Request Count,96.00
Request Throughput (requests/sec),1.01
Total Input Sequence Length (tokens),904940.00
Total Output Sequence Length (tokens),18943.00
Total Output Tokens (tokens),18943.00
Total Token Throughput (tokens/sec),9760.98


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
