Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),2.27,0.01,13.74,727.64,0.02,0.02,0.03,0.13,0.59,3.86,6.45,8.82,11.40,2.95
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,191.95,1.00,928.00,61425.00,3.00,3.00,3.00,17.00,33.00,378.00,542.50,603.05,783.88,228.10
HTTP Chunks Sent,1.00,1.00,1.00,320.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.42,0.00,2.85,132.97,0.00,0.00,0.00,0.29,0.35,0.44,0.68,1.45,1.99,0.40
HTTP Connection Overhead (ms),0.48,0.00,4.35,154.49,0.00,0.00,0.00,0.29,0.35,0.44,0.68,2.49,3.35,0.66
HTTP Connection Reused (ratio),0.16,0.00,1.00,52.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.37
HTTP Data Received (KB),46.58,0.60,223.96,14905.67,1.08,1.08,1.08,4.45,8.32,91.35,130.93,145.40,188.89,54.92
HTTP Data Sent (KB),39.78,3.87,517.25,12731.03,4.00,4.71,9.11,13.71,27.79,36.56,78.38,115.74,282.33,52.22
HTTP DNS Lookup (ms),0.07,0.00,1.62,21.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,1.40,0.29
HTTP Duration (excl. conn) (ms),94434.40,21177.76,159506.88,30219008.65,25056.48,34864.47,43651.22,63220.55,85655.72,133259.76,144822.48,153003.63,157670.80,40091.01
HTTP Receiving (ms),7938.86,0.00,40294.35,2540435.75,13.47,22.89,29.96,501.92,2545.45,15374.39,22564.91,24985.75,31494.67,9234.60
HTTP Sending (ms),0.60,0.11,3.32,192.71,0.14,0.16,0.19,0.44,0.53,0.63,0.87,1.79,2.25,0.44
HTTP Total Time (ms),94434.88,21180.83,159507.16,30219163.15,25056.89,34865.06,43651.60,63220.92,85656.12,133260.04,144822.80,153003.90,157670.86,40090.74
HTTP Waiting (TTFB) (ms),86494.94,20190.16,144644.19,27678380.19,20905.07,22300.80,35439.70,51644.07,77744.11,126379.05,141213.75,142340.31,144238.69,40143.57
Input Sequence Length (tokens),9283.32,893.00,120633.00,2970662.00,898.00,1082.15,2123.50,3215.25,6513.00,8505.75,18154.80,26901.20,65902.57,12188.21
Inter Chunk Latency (ms),41.57,0.28,3092.34,2540434.01,4.44,8.40,9.90,10.94,12.50,14.12,131.56,218.62,363.62,79.87
Inter Token Latency (ms),59.13,5.96,337.20,18804.35,9.49,11.24,12.50,32.09,43.36,67.90,111.59,162.19,300.28,54.93
OSL Mismatch Diff % (%),-0.01,-0.50,0.21,-1.90,-0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
Output Sequence Length (tokens),192.00,1.00,929.00,61441.00,3.00,3.00,3.00,17.00,33.00,377.75,542.60,602.10,784.69,228.17
Output Token Throughput Per User (tokens/sec/user),31.05,2.97,167.88,9873.37,3.33,6.17,8.96,14.73,23.06,31.16,80.02,88.95,105.43,26.88
Prefill Throughput Per User (tokens/sec/user),147.29,6.20,2023.39,47131.42,6.81,14.05,22.24,45.24,77.63,146.73,335.77,486.59,1117.35,220.68
Reasoning Token Count (tokens),192.00,1.00,929.00,61441.00,3.00,3.00,3.00,17.00,33.00,377.75,542.60,602.10,784.69,228.17
Request Latency (ms),94434.48,21177.90,159506.93,30219034.07,25056.55,34864.58,43651.32,63220.62,85655.80,133259.81,144822.55,153003.68,157670.87,40091.00
Time to First Token (ms),86495.63,20192.41,144644.79,27678600.06,20907.15,22301.79,35440.14,51644.75,77744.61,126379.80,141214.00,142340.88,144239.31,40143.34
Time to Second Token (ms),102.07,0.41,646.31,32458.62,0.62,1.71,7.19,10.51,48.27,166.87,282.78,305.74,374.74,113.34

Metric,Value
Benchmark Duration (sec),210.50
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),291.88
Request Count,320.00
Request Throughput (requests/sec),1.52
Total Input Sequence Length (tokens),2970662.00
Total Output Sequence Length (tokens),61441.00
Total Reasoning Tokens (tokens),61441.00
Total Token Throughput (tokens/sec),14404.47


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
