Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),5.82,2.18,8.58,116.35,2.29,2.73,3.14,4.86,6.46,6.72,7.32,8.12,8.49,1.70
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,245.00,83.00,461.00,4900.00,89.27,114.35,121.40,140.25,156.50,360.25,445.10,446.75,458.15,132.03
HTTP Chunks Sent,1.00,1.00,1.00,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.71,0.00,14.20,14.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.71,11.51,3.10
HTTP Connection Overhead (ms),0.78,0.00,15.50,15.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,12.56,3.38
HTTP Connection Reused (ratio),0.95,0.00,1.00,19.00,0.19,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.22
HTTP Data Received (KB),76.20,26.07,143.73,1523.92,27.86,35.01,36.64,43.45,49.29,112.56,138.72,139.40,142.86,41.35
HTTP Data Sent (KB),7.00,2.12,13.46,139.98,2.27,2.87,3.66,4.88,6.38,8.62,10.85,11.70,13.11,2.99
HTTP DNS Lookup (ms),0.06,0.00,1.30,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,1.05,0.28
HTTP Duration (excl. conn) (ms),43823.22,13789.17,119362.96,876464.35,14164.75,15667.06,19431.62,21357.88,39992.58,60389.14,73340.46,79106.79,111311.73,25779.97
HTTP Receiving (ms),17228.41,5402.47,33068.35,344568.11,5784.75,7313.86,8132.94,9622.56,10976.94,25197.57,32009.15,32097.96,32874.27,9815.04
HTTP Sending (ms),0.84,0.08,14.47,16.86,0.08,0.08,0.08,0.12,0.13,0.14,0.15,0.90,11.75,3.13
HTTP Total Time (ms),43823.99,13789.17,119362.96,876479.85,14164.75,15667.06,19431.62,21357.88,39992.58,60389.14,73342.01,79121.52,111314.67,25780.97
HTTP Waiting (TTFB) (ms),26593.97,7552.98,86294.49,531879.37,7711.36,8344.89,11077.22,11549.36,22278.79,31711.38,54479.46,62951.80,81625.95,19729.87
Input Sequence Length (tokens),1661.30,491.00,3054.00,33226.00,527.10,671.50,825.90,1080.50,1587.00,2073.75,2850.90,2988.45,3040.89,738.56
Inter Chunk Latency (ms),73.15,0.00,234.09,344545.48,19.82,61.47,65.79,69.08,72.53,76.12,82.07,85.95,128.75,14.49
Inter Token Latency (ms),71.83,66.53,76.12,1436.66,66.81,67.93,68.35,70.18,72.08,73.44,74.89,75.71,76.04,2.59
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),238.30,80.00,452.00,4766.00,85.70,108.50,113.60,134.75,153.50,352.50,436.00,436.80,448.96,130.39
Output Token Count (tokens),238.30,80.00,452.00,4766.00,85.70,108.50,113.60,134.75,153.50,352.50,436.00,436.80,448.96,130.39
Output Token Throughput Per User (tokens/sec/user),13.94,13.14,15.03,278.79,13.15,13.21,13.35,13.62,13.87,14.25,14.63,14.72,14.97,0.51
Prefill Throughput Per User (tokens/sec/user),94.34,19.53,268.36,1886.74,19.59,19.86,20.00,39.05,84.85,115.26,172.68,246.22,263.94,68.18
Request Latency (ms),43822.14,13789.11,119361.88,876442.88,14164.44,15665.76,19429.99,21355.49,39991.84,60388.96,73338.99,79105.26,111310.56,25779.99
Time to First Output Token (ms),26594.87,7553.17,86294.69,531897.40,7711.55,8345.07,11077.39,11549.50,22279.00,31711.56,54492.60,62951.99,81626.15,19730.87
Time to First Token (ms),26594.87,7553.17,86294.69,531897.40,7711.55,8345.07,11077.39,11549.50,22279.00,31711.56,54492.60,62951.99,81626.15,19730.87
Time to Second Token (ms),33.84,0.12,71.26,676.74,0.39,1.43,6.16,7.43,35.57,57.89,63.08,67.69,70.54,26.91
Usage Completion Tokens (tokens),238.30,80.00,452.00,4766.00,85.70,108.50,113.60,134.75,153.50,352.50,436.00,436.80,448.96,130.39
Usage Prompt Cache Read Tokens (tokens),1161.20,30.00,2836.00,23224.00,32.47,42.35,43.00,379.00,1160.50,1736.75,2235.50,2449.35,2758.67,849.00
Usage Prompt Tokens (tokens),1661.30,491.00,3054.00,33226.00,527.10,671.50,825.90,1080.50,1587.00,2073.75,2850.90,2988.45,3040.89,738.56
Usage Total Tokens (tokens),1899.60,754.00,3407.00,37992.00,761.03,789.15,908.90,1352.50,1798.50,2413.00,3018.60,3359.50,3397.50,803.13

Metric,Value
Benchmark Duration (sec),876.51
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),5.44
Overall Usage Prompt Cache Read % (%),69.90
Request Count,20.00
Request Throughput (requests/sec),0.02
Total Input Sequence Length (tokens),33226.00
Total Output Sequence Length (tokens),4766.00
Total Output Tokens (tokens),4766.00
Total Token Throughput (tokens/sec),43.34
Total Usage Completion Tokens (tokens),4766.00
Total Usage Prompt Cache Read Tokens (tokens),23224.00
Total Usage Prompt Tokens (tokens),33226.00
Total Usage Total Tokens (tokens),37992.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
