Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),9.78,6.71,14.78,195.55,6.73,6.80,7.11,7.91,8.66,12.38,13.81,14.05,14.63,2.65
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,305.25,74.00,645.00,6105.00,96.23,185.15,191.90,251.75,297.00,336.50,432.70,474.95,610.99,114.32
HTTP Chunks Sent,1.00,1.00,1.00,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.99,0.00,19.82,19.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,16.05,4.32
HTTP Connection Overhead (ms),1.06,0.00,21.22,21.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.06,17.19,4.62
HTTP Connection Reused (ratio),0.95,0.00,1.00,19.00,0.19,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.22
HTTP Data Received (KB),95.29,23.88,203.89,1905.75,30.59,57.43,60.45,78.33,92.04,105.28,136.12,147.68,192.65,36.07
HTTP Data Sent (KB),3.14,0.28,8.80,62.82,0.28,0.32,0.32,0.48,2.50,4.82,7.13,7.70,8.58,2.68
HTTP DNS Lookup (ms),0.07,0.00,1.40,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,1.14,0.31
HTTP Duration (excl. conn) (ms),31875.84,6019.79,45749.68,637516.71,7426.12,13051.47,17115.83,28222.96,34583.18,38416.45,43200.22,45415.22,45682.79,10433.34
HTTP Receiving (ms),20431.50,4867.08,42956.67,408630.03,6280.92,11936.27,12591.07,16839.37,19567.68,22515.71,28768.74,31735.72,40712.48,7677.76
HTTP Sending (ms),1.12,0.08,20.07,22.39,0.08,0.08,0.09,0.10,0.13,0.14,0.16,1.17,16.29,4.35
HTTP Total Time (ms),31876.90,6019.79,45749.68,637537.93,7426.12,13051.47,17115.83,28222.96,34583.18,38416.45,43200.22,45415.22,45682.79,10432.05
HTTP Waiting (TTFB) (ms),11443.21,528.75,23980.05,228864.29,639.78,1083.93,1148.64,3255.67,13706.19,16524.68,17134.93,17537.34,22691.51,6823.41
Input Sequence Length (tokens),608.80,40.00,1665.00,12176.00,42.09,50.45,51.90,94.00,462.00,1026.75,1346.00,1456.00,1623.20,514.59
Inter Chunk Latency (ms),68.68,0.00,187.12,408616.31,20.79,59.21,63.38,65.69,67.99,71.30,77.30,80.84,113.23,10.46
Inter Token Latency (ms),68.72,65.88,71.97,1374.49,66.07,66.84,66.94,67.32,68.45,69.75,71.46,71.49,71.88,1.73
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),298.50,73.00,641.00,5970.00,94.28,179.40,188.60,244.75,288.00,329.50,427.20,465.25,605.85,113.87
Output Token Count (tokens),298.50,73.00,641.00,5970.00,94.28,179.40,188.60,244.75,288.00,329.50,427.20,465.25,605.85,113.87
Output Token Throughput Per User (tokens/sec/user),14.56,13.89,15.18,291.20,13.91,13.99,13.99,14.34,14.61,14.85,14.94,14.96,15.14,0.36
Prefill Throughput Per User (tokens/sec/user),50.70,22.06,118.62,1014.07,22.18,22.69,24.06,29.44,44.02,63.95,84.16,97.90,114.48,26.31
Request Latency (ms),31875.21,6019.84,45749.76,637504.11,7426.12,13051.22,17115.32,28221.02,34582.14,38416.02,43200.22,45414.89,45682.79,10433.27
Time to First Output Token (ms),11444.39,528.93,23980.27,228887.80,639.96,1084.06,1148.81,3255.86,13706.37,16524.87,17135.06,17537.52,22691.72,6822.04
Time to First Token (ms),11444.39,528.93,23980.27,228887.80,639.96,1084.06,1148.81,3255.86,13706.37,16524.87,17135.06,17537.52,22691.72,6822.04
Time to Second Token (ms),41.98,5.90,64.67,839.53,6.05,6.64,7.24,8.35,53.72,59.77,64.00,64.62,64.66,23.43
Usage Completion Tokens (tokens),298.50,73.00,641.00,5970.00,94.28,179.40,188.60,244.75,288.00,329.50,427.20,465.25,605.85,113.87
Usage Prompt Cache Read Tokens (tokens),388.60,30.00,1346.00,7772.00,30.00,30.00,30.00,30.00,159.50,708.00,1048.80,1224.40,1321.68,433.74
Usage Prompt Tokens (tokens),608.80,40.00,1665.00,12176.00,42.09,50.45,51.90,94.00,462.00,1026.75,1346.00,1456.00,1623.20,514.59
Usage Total Tokens (tokens),907.30,125.00,1930.00,18146.00,146.09,230.45,292.70,514.25,791.50,1339.00,1651.20,1692.50,1882.50,516.48

Metric,Value
Benchmark Duration (sec),637.56
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),9.36
Overall Usage Prompt Cache Read % (%),63.83
Request Count,20.00
Request Throughput (requests/sec),0.03
Total Input Sequence Length (tokens),12176.00
Total Output Sequence Length (tokens),5970.00
Total Output Tokens (tokens),5970.00
Total Token Throughput (tokens/sec),28.46
Total Usage Completion Tokens (tokens),5970.00
Total Usage Prompt Cache Read Tokens (tokens),7772.00
Total Usage Prompt Tokens (tokens),12176.00
Total Usage Total Tokens (tokens),18146.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
