Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),10.01,6.81,14.96,200.29,6.84,6.96,7.19,8.09,8.78,13.08,14.26,14.39,14.85,2.78
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,302.35,73.00,648.00,6047.00,94.85,182.25,190.70,247.25,293.00,334.75,432.50,473.20,613.04,115.52
HTTP Chunks Sent,1.00,1.00,1.00,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.70,0.00,14.03,14.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,11.37,3.06
HTTP Connection Overhead (ms),0.80,0.00,16.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,12.96,3.49
HTTP Connection Reused (ratio),0.95,0.00,1.00,19.00,0.19,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.22
HTTP Data Received (KB),95.29,23.88,203.89,1905.75,30.59,57.43,60.45,78.33,92.04,105.28,136.12,147.68,192.65,36.07
HTTP Data Sent (KB),3.14,0.28,8.80,62.82,0.28,0.32,0.32,0.48,2.50,4.82,7.13,7.70,8.58,2.68
HTTP DNS Lookup (ms),0.10,0.00,1.97,1.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,1.60,0.43
HTTP Duration (excl. conn) (ms),31273.38,5635.18,44994.47,625467.61,7012.72,12522.87,16869.22,27727.70,34016.44,38000.42,42271.42,44350.52,44865.68,10318.57
HTTP Receiving (ms),20077.13,4511.72,42250.27,401542.58,5898.66,11446.45,12514.91,16316.92,19331.75,22417.44,28351.93,30802.25,39960.67,7573.08
HTTP Sending (ms),0.84,0.08,14.42,16.80,0.08,0.09,0.11,0.12,0.13,0.13,0.15,0.88,11.71,3.11
HTTP Total Time (ms),31274.18,5635.18,44994.47,625483.61,7012.72,12522.87,16869.22,27727.70,34016.44,38000.42,42271.42,44350.52,44865.68,10317.55
HTTP Waiting (TTFB) (ms),11195.41,531.12,23530.44,223908.23,634.24,1046.69,1118.39,3180.21,13396.63,16225.10,16808.50,17148.16,22253.99,6689.80
Input Sequence Length (tokens),608.80,40.00,1665.00,12176.00,42.09,50.45,51.90,94.00,462.00,1026.75,1346.00,1456.00,1623.20,514.59
Inter Chunk Latency (ms),67.48,4.54,130.51,401529.43,26.19,61.14,62.99,64.65,66.51,69.46,75.14,78.96,112.11,9.56
Inter Token Latency (ms),67.39,62.66,71.65,1347.70,62.95,64.11,64.21,66.28,67.23,68.61,70.09,70.83,71.48,2.26
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),298.50,73.00,641.00,5970.00,94.28,179.40,188.60,244.75,288.00,329.50,427.20,465.25,605.85,113.87
Output Token Count (tokens),298.50,73.00,641.00,5970.00,94.28,179.40,188.60,244.75,288.00,329.50,427.20,465.25,605.85,113.87
Output Token Throughput Per User (tokens/sec/user),14.86,13.96,15.96,297.14,13.99,14.12,14.27,14.58,14.87,15.09,15.57,15.60,15.89,0.50
Prefill Throughput Per User (tokens/sec/user),51.82,22.43,121.88,1036.41,22.61,23.35,24.58,30.05,44.96,65.15,86.10,100.18,117.54,26.85
Request Latency (ms),31272.78,5635.24,44994.28,625455.67,7012.71,12522.58,16869.25,27727.30,34015.90,38000.30,42269.40,44349.91,44865.41,10318.36
Time to First Output Token (ms),11196.31,531.30,23530.65,223926.24,634.41,1046.86,1118.57,3180.39,13396.80,16225.29,16808.69,17148.33,22254.19,6688.81
Time to First Token (ms),11196.31,531.30,23530.65,223926.24,634.41,1046.86,1118.57,3180.39,13396.80,16225.29,16808.69,17148.33,22254.19,6688.81
Time to Second Token (ms),60.31,53.42,103.41,1206.20,53.54,54.02,54.09,55.40,56.67,62.13,66.10,69.21,96.57,10.63
Usage Completion Tokens (tokens),298.50,73.00,641.00,5970.00,94.28,179.40,188.60,244.75,288.00,329.50,427.20,465.25,605.85,113.87
Usage Prompt Cache Read Tokens (tokens),388.60,30.00,1346.00,7772.00,30.00,30.00,30.00,30.00,159.50,708.00,1048.80,1224.40,1321.68,433.74
Usage Prompt Tokens (tokens),608.80,40.00,1665.00,12176.00,42.09,50.45,51.90,94.00,462.00,1026.75,1346.00,1456.00,1623.20,514.59
Usage Total Tokens (tokens),907.30,125.00,1930.00,18146.00,146.09,230.45,292.70,514.25,791.50,1339.00,1651.20,1692.50,1882.50,516.48

Metric,Value
Benchmark Duration (sec),625.51
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),9.54
Overall Usage Prompt Cache Read % (%),63.83
Request Count,20.00
Request Throughput (requests/sec),0.03
Total Input Sequence Length (tokens),12176.00
Total Output Sequence Length (tokens),5970.00
Total Output Tokens (tokens),5970.00
Total Token Throughput (tokens/sec),29.01
Total Usage Completion Tokens (tokens),5970.00
Total Usage Prompt Cache Read Tokens (tokens),7772.00
Total Usage Prompt Tokens (tokens),12176.00
Total Usage Total Tokens (tokens),18146.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
