Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),156.75,120.97,172.87,15047.53,128.42,138.71,142.35,153.90,159.17,163.09,166.41,168.28,170.05,9.63
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,481.12,62.00,1780.00,46188.00,62.95,78.75,109.00,217.50,330.00,746.75,1023.50,1150.50,1507.35,372.81
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),115.56,15.28,425.99,11093.95,15.35,19.36,26.56,52.58,79.64,178.94,244.92,275.45,360.65,89.13
HTTP Data Sent (KB),12.24,1.59,37.96,1175.01,1.60,2.60,3.11,5.41,8.57,16.92,27.88,32.90,37.65,9.66
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),2997.32,445.44,11027.13,287742.54,456.36,533.83,762.97,1359.67,2023.61,4694.27,6213.65,7083.72,9195.97,2258.92
HTTP Receiving (ms),2872.49,348.67,10819.50,275759.48,358.94,449.90,626.24,1276.44,1901.55,4574.72,6089.68,6969.14,9039.32,2245.09
HTTP Sending (ms),0.13,0.10,0.17,12.36,0.10,0.11,0.12,0.12,0.13,0.13,0.14,0.15,0.17,0.01
HTTP Total Time (ms),2997.32,445.44,11027.13,287742.54,456.36,533.83,762.97,1359.67,2023.61,4694.27,6213.65,7083.72,9195.97,2258.92
HTTP Waiting (TTFB) (ms),124.69,77.66,241.40,11970.70,78.81,79.65,82.03,85.77,109.27,158.84,168.90,174.55,238.94,41.49
Input Sequence Length (tokens),3106.36,393.00,9381.00,298211.00,393.95,574.25,744.00,1324.75,2433.50,4367.75,6933.50,8378.75,9348.70,2400.93
Inter Chunk Latency (ms),5.99,0.69,89.47,275082.55,4.67,5.34,5.50,5.67,5.80,5.93,6.08,6.25,7.14,3.52
Inter Token Latency (ms),5.96,5.70,6.72,572.07,5.71,5.73,5.75,5.79,5.91,6.06,6.24,6.41,6.54,0.22
OSL Mismatch Diff % (%),-76.56,-97.02,-13.13,-7349.56,-96.98,-96.20,-94.73,-89.43,-83.94,-63.59,-50.10,-43.90,-26.45,18.20
Output Sequence Length (tokens),480.09,61.00,1779.00,46089.00,61.95,77.75,108.00,216.50,329.00,745.75,1022.00,1149.00,1506.35,372.76
Output Token Count (tokens),480.09,61.00,1779.00,46089.00,61.95,77.75,108.00,216.50,329.00,745.75,1022.00,1149.00,1506.35,372.76
Output Token Throughput Per User (tokens/sec/user),168.03,148.80,175.40,16130.54,152.85,156.00,160.34,164.96,169.22,172.67,174.04,174.62,175.02,5.89
Prefill Throughput Per User (tokens/sec/user),24320.30,4737.03,87662.42,2334748.67,4746.85,7027.16,7658.97,10011.91,20187.23,32807.35,45813.05,57559.62,87656.20,17306.49
Request Latency (ms),2990.55,439.39,11020.72,287093.26,450.09,527.77,757.39,1353.70,2017.61,4687.79,6207.61,7077.55,9189.82,2259.26
Time to First Output Token (ms),125.11,77.87,241.61,12010.71,79.00,79.89,82.29,85.99,113.17,159.05,169.10,174.75,239.19,41.36
Time to First Token (ms),125.11,77.87,241.61,12010.71,79.00,79.89,82.29,85.99,113.17,159.05,169.10,174.75,239.19,41.36
Time to Second Token (ms),5.27,0.69,16.11,505.95,1.28,2.10,2.70,3.91,4.51,4.95,10.11,14.43,15.99,3.42

Metric,Value
Benchmark Duration (sec),144.34
OSL Mismatch Count,96.00
Output Token Throughput (tokens/sec),319.30
Request Count,96.00
Request Throughput (requests/sec),0.67
Total Input Sequence Length (tokens),298211.00
Total Output Sequence Length (tokens),46089.00
Total Output Tokens (tokens),46089.00
Total Token Throughput (tokens/sec),2385.30


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
