Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),121.17,88.09,174.20,11631.92,93.42,96.59,103.09,113.30,120.12,128.19,137.62,148.43,162.03,14.93
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,492.83,45.00,2047.00,47312.00,70.65,80.00,104.00,198.50,392.00,666.25,950.00,1280.75,1630.90,385.44
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.85,0.00,3.39,81.13,0.00,0.00,0.00,0.00,0.00,2.42,2.93,3.00,3.17,1.25
HTTP Connection Overhead (ms),1.34,0.00,5.64,128.83,0.00,0.00,0.00,0.00,0.00,4.08,4.81,4.96,5.26,2.08
HTTP Connection Reused (ratio),0.64,0.00,1.00,61.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.48
HTTP Data Received (KB),118.34,11.09,489.64,11360.62,17.29,19.63,25.37,47.87,94.34,159.92,227.58,306.60,390.60,92.16
HTTP Data Sent (KB),12.32,1.59,41.50,1182.57,1.60,2.62,2.95,4.78,8.74,20.42,25.28,29.99,38.07,9.41
HTTP DNS Lookup (ms),0.50,0.00,2.25,47.71,0.00,0.00,0.00,0.00,0.00,1.65,1.91,1.98,2.19,0.84
HTTP Duration (excl. conn) (ms),3958.36,457.79,16513.35,380002.45,625.96,717.31,941.10,1749.30,3155.25,5373.31,7422.91,9721.19,12678.14,2949.99
HTTP Receiving (ms),3828.06,352.80,16429.33,367493.88,515.28,567.51,808.67,1652.30,3039.79,5260.60,7257.86,9554.69,12560.62,2939.77
HTTP Sending (ms),1.10,0.12,3.92,105.37,0.13,0.14,0.15,0.15,0.21,2.85,3.39,3.45,3.69,1.37
HTTP Total Time (ms),3959.70,457.79,16517.29,380131.29,626.83,717.91,941.55,1749.56,3157.85,5373.31,7423.33,9722.95,12682.83,2950.26
HTTP Waiting (TTFB) (ms),129.20,77.33,234.37,12403.20,78.92,80.28,81.30,88.13,119.53,162.41,176.82,209.86,233.53,43.63
Input Sequence Length (tokens),3115.03,393.00,10223.00,299043.00,393.95,626.00,765.50,1114.25,2374.00,5120.75,6213.50,7652.50,9361.35,2337.00
Inter Chunk Latency (ms),7.79,0.95,96.80,366729.52,4.76,5.45,5.78,6.44,7.35,7.95,8.24,8.58,29.80,6.33
Inter Token Latency (ms),7.91,5.58,9.75,758.94,5.75,6.31,6.96,7.52,7.99,8.34,9.01,9.30,9.67,0.84
OSL Mismatch Diff % (%),-75.98,-97.85,0.00,-7293.99,-96.60,-96.14,-94.97,-90.36,-80.91,-67.52,-53.66,-37.55,-20.46,18.82
Output Sequence Length (tokens),491.95,44.00,2048.00,47227.00,69.65,79.00,103.00,197.50,391.00,665.25,949.00,1279.00,1629.05,385.51
Output Token Count (tokens),491.95,44.00,2048.00,47227.00,69.65,79.00,103.00,197.50,391.00,665.25,949.00,1279.00,1629.05,385.51
Output Token Throughput Per User (tokens/sec/user),128.05,102.59,179.15,12293.15,103.44,107.54,110.95,119.84,125.12,133.03,143.73,158.52,173.82,14.83
Prefill Throughput Per User (tokens/sec/user),23973.12,4448.13,93032.82,2301419.08,4619.34,5998.91,7596.59,10153.87,18140.21,31745.66,53312.60,56191.88,65906.75,17832.80
Request Latency (ms),3950.92,449.25,16513.52,379287.89,619.36,710.26,933.44,1743.52,3146.98,5367.51,7416.39,9712.63,12671.61,2950.48
Time to First Output Token (ms),130.82,80.58,237.95,12558.37,81.03,82.44,83.64,89.25,122.15,162.94,177.13,211.61,234.00,43.19
Time to First Token (ms),130.82,80.58,237.95,12558.37,81.03,82.44,83.64,89.25,122.15,162.94,177.13,211.61,234.00,43.19
Time to Second Token (ms),8.22,0.95,69.45,788.90,1.16,2.27,3.15,4.30,5.96,6.97,8.42,21.06,68.04,11.46

Metric,Value
Benchmark Duration (sec),97.92
OSL Mismatch Count,95.00
Output Token Throughput (tokens/sec),482.32
Request Count,96.00
Request Throughput (requests/sec),0.98
Total Input Sequence Length (tokens),299043.00
Total Output Sequence Length (tokens),47227.00
Total Output Tokens (tokens),47227.00
Total Token Throughput (tokens/sec),3536.41


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
