Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),99.54,69.45,125.55,9556.25,73.26,80.35,84.82,92.93,101.22,107.13,111.52,116.05,123.79,11.01
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,347.93,73.00,1426.00,33401.00,75.85,82.75,97.00,143.75,265.50,413.50,721.50,1019.75,1236.95,285.10
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),83.89,18.11,341.13,8053.49,18.70,20.55,23.96,35.06,64.05,99.87,173.30,244.55,296.21,68.16
HTTP Data Sent (KB),11.58,1.63,38.43,1111.94,1.64,2.83,3.29,4.98,8.80,15.14,26.42,31.76,36.77,8.96
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),3386.56,820.83,13420.86,325109.38,825.66,923.26,1104.86,1552.53,2641.91,3967.11,6689.31,9556.18,11918.12,2632.22
HTTP Receiving (ms),3244.18,674.27,13304.65,311441.73,691.65,831.49,1020.62,1450.86,2456.04,3825.96,6473.70,9390.57,11833.94,2621.72
HTTP Sending (ms),0.15,0.10,0.29,14.08,0.10,0.11,0.11,0.12,0.13,0.17,0.19,0.20,0.28,0.04
HTTP Total Time (ms),3386.56,820.83,13420.86,325109.38,825.66,923.26,1104.86,1552.53,2641.91,3967.11,6689.31,9556.18,11918.12,2632.22
HTTP Waiting (TTFB) (ms),142.22,81.50,349.41,13653.57,81.64,82.27,82.49,84.11,148.73,158.71,220.34,340.36,349.08,68.03
Input Sequence Length (tokens),2977.44,405.00,10106.00,285834.00,405.95,666.75,802.00,1241.25,2281.00,4025.75,6453.00,7833.00,8958.40,2249.49
Inter Chunk Latency (ms),9.38,2.15,142.47,311028.20,3.36,6.76,7.40,7.65,7.85,8.02,8.26,8.75,67.80,9.82
Inter Token Latency (ms),9.58,7.57,13.57,919.75,7.66,8.20,8.42,8.95,9.36,10.07,10.98,11.54,12.16,1.06
OSL Mismatch Diff % (%),-10.27,-91.00,0.00,-986.37,-79.93,-48.25,-36.91,-10.95,0.00,0.00,0.00,0.00,0.00,19.52
Output Sequence Length (tokens),347.93,73.00,1426.00,33401.00,75.85,82.75,97.00,143.75,265.50,413.50,721.50,1019.75,1236.95,285.10
Output Token Count (tokens),347.93,73.00,1426.00,33401.00,75.85,82.75,97.00,143.75,265.50,413.50,721.50,1019.75,1236.95,285.10
Output Token Throughput Per User (tokens/sec/user),105.57,73.68,132.03,10134.55,82.27,86.69,91.10,99.34,106.87,111.75,118.75,121.88,130.62,10.95
Prefill Throughput Per User (tokens/sec/user),22796.30,1978.48,89274.18,2188445.17,3231.07,4887.89,6817.73,9439.50,18502.34,32186.69,46799.23,54116.38,73897.60,17004.91
Request Latency (ms),3382.47,812.14,13420.91,324717.58,825.32,915.76,1104.94,1544.40,2641.97,3961.31,6689.37,9556.24,11918.18,2632.68
Time to First Output Token (ms),142.60,81.73,349.80,13689.38,81.88,82.52,82.71,84.29,148.94,158.92,220.52,340.62,349.50,67.93
Time to First Token (ms),142.60,81.73,349.80,13689.38,81.88,82.52,82.71,84.29,148.94,158.92,220.52,340.62,349.50,67.93
Time to Second Token (ms),11.34,2.29,111.05,1088.94,2.30,3.49,4.83,5.89,6.58,7.08,20.63,34.36,110.97,18.60
Usage Completion Tokens (tokens),347.93,73.00,1426.00,33401.00,75.85,82.75,97.00,143.75,265.50,413.50,721.50,1019.75,1236.95,285.10
Usage Prompt Tokens (tokens),2977.44,405.00,10106.00,285834.00,405.95,666.75,802.00,1241.25,2281.00,4025.75,6453.00,7833.00,8958.40,2249.49
Usage Total Tokens (tokens),3325.36,482.00,10961.00,319235.00,523.80,758.00,979.00,1563.50,2612.00,4456.75,6784.00,8432.00,9974.90,2388.14

Metric,Value
Benchmark Duration (sec),41.69
OSL Mismatch Count,31.00
Output Token Throughput (tokens/sec),801.11
Request Count,96.00
Request Throughput (requests/sec),2.30
Total Input Sequence Length (tokens),285834.00
Total Output Sequence Length (tokens),33401.00
Total Output Tokens (tokens),33401.00
Total Token Throughput (tokens/sec),7656.74
Total Usage Completion Tokens (tokens),33401.00
Total Usage Prompt Tokens (tokens),285834.00
Total Usage Total Tokens (tokens),319235.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
