Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),127.43,69.37,171.75,12233.57,71.17,103.25,113.12,121.00,129.32,135.62,141.62,145.15,149.01,14.31
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,207.12,10.00,740.00,19884.00,17.60,31.00,47.50,85.00,167.00,304.75,434.00,488.25,655.45,154.33
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),49.95,2.75,176.99,4795.64,4.58,7.80,11.74,20.72,40.46,73.42,104.37,117.12,157.63,36.92
HTTP Data Sent (KB),2.41,0.19,8.18,231.72,0.19,0.20,0.23,0.44,1.62,3.71,5.89,6.80,7.48,2.20
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1570.83,140.26,5561.69,150800.01,210.48,284.15,376.87,655.95,1240.18,2236.08,3181.50,3535.34,4780.58,1121.32
HTTP Receiving (ms),1490.94,58.78,5528.75,143129.92,127.18,198.41,319.90,573.27,1158.83,2190.44,3103.48,3448.03,4750.75,1123.93
HTTP Sending (ms),0.13,0.09,0.16,12.23,0.10,0.10,0.11,0.12,0.13,0.13,0.15,0.15,0.16,0.01
HTTP Total Time (ms),1570.83,140.26,5561.69,150800.01,210.48,284.15,376.87,655.95,1240.18,2236.08,3181.50,3535.34,4780.58,1121.32
HTTP Waiting (TTFB) (ms),79.77,29.55,168.91,7657.86,30.05,31.78,32.73,79.90,82.28,85.13,99.31,151.34,161.35,31.83
Input Sequence Length (tokens),515.94,8.00,1875.00,49530.00,8.00,10.50,15.50,62.75,333.50,784.00,1398.50,1538.00,1735.35,517.93
Inter Chunk Latency (ms),7.24,1.60,73.92,143109.32,2.85,5.75,6.14,6.37,6.53,6.67,6.83,6.98,68.21,6.93
Inter Token Latency (ms),7.21,5.66,10.16,691.87,6.13,6.47,6.51,6.76,7.18,7.54,7.82,8.09,8.59,0.60
OSL Mismatch Diff % (%),-0.61,-27.66,0.00,-58.37,-19.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.55
Output Sequence Length (tokens),207.07,10.00,740.00,19879.00,17.60,31.00,47.50,85.00,167.00,304.75,434.00,488.25,655.45,154.34
Output Token Count (tokens),207.07,10.00,740.00,19879.00,17.60,31.00,47.50,85.00,167.00,304.75,434.00,488.25,655.45,154.34
Output Token Throughput Per User (tokens/sec/user),139.67,98.47,176.64,13408.52,116.52,123.61,127.94,132.67,139.26,148.01,153.56,154.63,163.18,11.15
Prefill Throughput Per User (tokens/sec/user),5755.94,80.35,22053.21,552570.14,82.25,276.85,452.84,1169.12,3889.38,8319.13,16707.05,18632.67,20907.34,5737.44
Request Latency (ms),1570.69,140.31,5561.75,150785.78,210.53,284.20,376.92,656.01,1236.89,2236.14,3181.56,3535.41,4780.64,1121.49
Time to First Output Token (ms),79.96,29.74,169.09,7676.47,30.26,32.01,32.93,80.09,82.46,85.33,99.54,151.52,161.56,31.83
Time to First Token (ms),79.96,29.74,169.09,7676.47,30.26,32.01,32.93,80.09,82.46,85.33,99.54,151.52,161.56,31.83
Time to Second Token (ms),5.70,1.77,6.77,547.21,2.45,5.10,5.25,5.54,5.84,6.03,6.26,6.48,6.70,0.76

Metric,Value
Benchmark Duration (sec),39.44
OSL Mismatch Count,3.00
Output Token Throughput (tokens/sec),504.04
Request Count,96.00
Request Throughput (requests/sec),2.43
Total Input Sequence Length (tokens),49530.00
Total Output Sequence Length (tokens),19879.00
Total Output Tokens (tokens),19879.00
Total Token Throughput (tokens/sec),1759.88


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
