Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),151.80,74.80,184.25,14572.34,92.30,115.96,133.68,141.81,154.72,166.14,172.60,174.14,179.94,19.15
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,217.90,10.00,740.00,20918.00,17.60,31.00,56.50,104.50,192.00,314.50,427.50,481.00,655.45,149.18
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.89,0.00,3.26,85.78,0.00,0.00,0.00,0.00,0.00,2.68,3.07,3.15,3.25,1.31
HTTP Connection Overhead (ms),1.43,0.00,5.50,137.56,0.00,0.00,0.00,0.00,0.00,4.42,5.14,5.26,5.46,2.19
HTTP Connection Reused (ratio),0.64,0.00,1.00,61.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.48
HTTP Data Received (KB),52.54,2.78,177.30,5044.29,4.58,7.82,13.90,25.44,46.36,75.81,102.60,115.32,157.39,35.71
HTTP Data Sent (KB),2.71,0.19,8.20,260.57,0.19,0.20,0.24,0.74,2.08,4.12,6.32,7.11,8.02,2.31
HTTP DNS Lookup (ms),0.54,0.00,2.24,51.77,0.00,0.00,0.00,0.00,0.00,1.76,2.07,2.11,2.21,0.89
HTTP Duration (excl. conn) (ms),1394.20,133.62,4297.90,133843.47,163.16,250.10,388.21,667.68,1258.05,1843.00,2700.71,3217.25,3915.70,915.62
HTTP Receiving (ms),1314.47,50.42,4264.72,126189.36,94.13,165.33,311.38,612.07,1173.78,1768.27,2620.00,3132.85,3881.99,919.02
HTTP Sending (ms),1.14,0.10,3.76,109.47,0.11,0.14,0.14,0.15,0.21,3.07,3.49,3.56,3.75,1.42
HTTP Total Time (ms),1395.64,133.62,4302.75,133981.02,167.19,250.10,390.68,671.32,1258.05,1845.78,2700.71,3217.25,3920.83,915.91
HTTP Waiting (TTFB) (ms),78.59,23.13,212.02,7544.63,27.02,28.96,30.51,73.86,79.49,83.08,130.07,149.12,174.68,34.89
Input Sequence Length (tokens),581.43,8.00,1875.00,55817.00,8.00,9.75,17.50,111.50,465.00,896.25,1452.50,1576.75,1808.50,534.19
Inter Chunk Latency (ms),6.07,1.55,74.16,126174.96,4.37,5.08,5.22,5.40,5.70,6.37,6.63,6.88,8.07,3.67
Inter Token Latency (ms),6.02,5.30,8.38,578.03,5.33,5.33,5.35,5.67,5.91,6.36,6.69,7.08,7.30,0.55
OSL Mismatch Diff % (%),-0.03,-2.86,0.00,-2.86,-0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29
Output Sequence Length (tokens),217.88,10.00,740.00,20916.00,17.60,31.00,56.50,104.50,192.00,314.50,427.50,481.00,655.45,149.20
Output Token Count (tokens),217.88,10.00,740.00,20916.00,17.60,31.00,56.50,104.50,192.00,314.50,427.50,481.00,655.45,149.20
Output Token Throughput Per User (tokens/sec/user),167.37,119.34,188.83,16067.99,137.10,141.17,149.52,157.25,169.11,176.51,186.99,187.46,187.70,14.22
Prefill Throughput Per User (tokens/sec/user),6513.68,220.30,21622.58,625313.32,221.28,322.87,455.73,1365.96,5113.29,9304.55,17468.07,19072.07,21580.46,5946.64
Request Latency (ms),1394.17,133.70,4298.08,133840.48,163.32,250.17,388.32,667.83,1258.11,1843.13,2700.98,3217.32,3915.87,915.77
Time to First Output Token (ms),79.85,26.93,212.25,7665.52,30.56,32.56,33.97,74.16,79.91,84.14,130.39,149.61,174.90,34.05
Time to First Token (ms),79.85,26.93,212.25,7665.52,30.56,32.56,33.97,74.16,79.91,84.14,130.39,149.61,174.90,34.05
Time to Second Token (ms),5.13,1.55,20.58,492.58,1.66,3.79,4.13,4.57,4.90,5.50,6.09,6.43,8.88,1.88

Metric,Value
Benchmark Duration (sec),119.06
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),175.68
Request Count,96.00
Request Throughput (requests/sec),0.81
Total Input Sequence Length (tokens),55817.00
Total Output Sequence Length (tokens),20916.00
Total Output Tokens (tokens),20916.00
Total Token Throughput (tokens/sec),644.51


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
