Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),55.99,22.02,96.34,5375.26,27.38,46.87,48.23,50.19,53.19,55.83,67.18,90.11,95.83,12.43
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,233.85,10.00,740.00,22450.00,17.60,51.00,65.50,118.00,206.50,323.50,440.50,491.00,655.45,153.17
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.48,0.00,3.58,46.32,0.00,0.00,0.00,0.00,0.00,0.00,2.89,3.23,3.54,1.10
HTTP Connection Overhead (ms),0.81,0.00,6.03,78.09,0.00,0.00,0.00,0.00,0.00,0.00,4.88,5.36,6.01,1.85
HTTP Connection Reused (ratio),0.83,0.00,1.00,80.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.37
HTTP Data Received (KB),56.60,3.00,177.46,5433.55,4.81,12.79,16.32,28.95,50.09,78.03,106.32,118.21,157.56,36.66
HTTP Data Sent (KB),3.05,0.22,8.87,292.66,0.23,0.24,0.28,0.91,2.57,4.78,6.68,7.38,8.78,2.44
HTTP DNS Lookup (ms),0.33,0.00,2.50,31.77,0.00,0.00,0.00,0.00,0.00,0.00,1.96,2.12,2.47,0.75
HTTP Duration (excl. conn) (ms),4088.99,361.45,11790.42,392543.37,457.59,1012.91,1287.99,2180.18,3899.84,5198.56,7866.59,8760.29,9465.15,2469.00
HTTP Receiving (ms),3841.04,154.31,11163.06,368739.60,277.38,802.70,1117.39,2013.00,3480.14,4938.55,7556.91,8591.62,9380.80,2452.01
HTTP Sending (ms),0.69,0.10,4.09,66.32,0.11,0.12,0.13,0.13,0.17,0.23,3.31,3.69,3.96,1.20
HTTP Total Time (ms),4089.81,361.45,11795.73,392621.46,457.59,1012.91,1287.99,2180.18,3902.50,5199.85,7866.59,8760.29,9470.56,2469.48
HTTP Waiting (TTFB) (ms),247.27,40.33,624.67,23737.45,41.08,42.23,80.09,81.76,97.05,533.24,623.17,623.79,624.45,220.38
Input Sequence Length (tokens),654.05,20.00,1947.00,62789.00,20.00,21.75,29.50,174.25,544.00,1034.00,1514.50,1661.25,1890.00,552.52
Inter Chunk Latency (ms),16.51,2.19,230.39,368724.84,3.11,3.60,7.91,12.22,13.22,13.61,14.83,67.78,71.79,15.85
Inter Token Latency (ms),16.77,10.20,20.12,1609.93,10.30,10.97,14.27,16.30,17.42,18.09,18.63,18.88,20.03,2.20
OSL Mismatch Diff % (%),-0.06,-6.05,0.00,-6.05,-0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.61
Output Sequence Length (tokens),233.85,10.00,740.00,22450.00,17.60,51.00,65.50,118.00,206.50,323.50,440.50,491.00,655.45,153.17
Output Token Count (tokens),233.85,10.00,740.00,22450.00,17.60,51.00,65.50,118.00,206.50,323.50,440.50,491.00,655.45,153.17
Output Token Throughput Per User (tokens/sec/user),61.00,49.71,98.01,5856.37,49.92,52.96,53.68,55.29,57.40,61.34,70.08,91.25,97.10,10.67
Prefill Throughput Per User (tokens/sec/user),4173.47,35.06,21157.57,400653.48,37.27,204.67,373.60,703.18,2646.53,6479.55,9585.01,10917.60,20706.67,4439.07
Request Latency (ms),4088.94,361.52,11790.63,392538.33,457.67,1012.98,1288.06,2180.25,3899.98,5195.20,7866.66,8760.35,9465.33,2468.93
Time to First Output Token (ms),248.06,40.58,628.27,23813.49,41.35,42.47,80.34,81.98,97.25,535.20,627.13,627.48,627.77,221.27
Time to First Token (ms),248.06,40.58,628.27,23813.49,41.35,42.47,80.34,81.98,97.25,535.20,627.13,627.48,627.77,221.27
Time to Second Token (ms),31.49,2.32,230.38,3023.20,2.36,6.47,7.71,12.36,12.73,13.53,91.63,91.74,145.57,39.87
Usage Completion Tokens (tokens),233.85,10.00,740.00,22450.00,17.60,51.00,65.50,118.00,206.50,323.50,440.50,491.00,655.45,153.17
Usage Prompt Tokens (tokens),654.05,20.00,1947.00,62789.00,20.00,21.75,29.50,174.25,544.00,1034.00,1514.50,1661.25,1890.00,552.52
Usage Total Tokens (tokens),887.91,64.00,2278.00,85239.00,88.70,149.00,195.50,494.75,781.50,1241.50,1705.50,1930.75,2168.75,557.23

Metric,Value
Benchmark Duration (sec),15.07
OSL Mismatch Count,1.00
Output Token Throughput (tokens/sec),1489.65
Request Count,96.00
Request Throughput (requests/sec),6.37
Total Input Sequence Length (tokens),62789.00
Total Output Sequence Length (tokens),22450.00
Total Output Tokens (tokens),22450.00
Total Token Throughput (tokens/sec),5655.98
Total Usage Completion Tokens (tokens),22450.00
Total Usage Prompt Tokens (tokens),62789.00
Total Usage Total Tokens (tokens),85239.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
