Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),62.90,22.30,104.78,6038.72,22.43,28.24,35.36,47.39,66.81,76.01,85.33,90.32,104.75,19.07
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,731.45,17.00,2048.00,70219.00,17.95,30.00,41.50,75.00,201.00,1945.00,2046.00,2048.00,2048.00,842.05
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,0.88,2.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.85,0.15
HTTP Connection Overhead (ms),0.03,0.00,0.88,2.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.85,0.15
HTTP Connection Reused (ratio),0.96,0.00,1.00,92.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.20
HTTP Data Received (KB),175.63,4.42,492.46,16860.53,4.65,7.51,10.29,18.33,48.43,465.28,490.62,490.84,492.26,201.80
HTTP Data Sent (KB),108.49,47.92,269.15,10415.41,47.98,48.30,48.98,64.24,97.69,130.33,196.14,211.62,264.99,54.44
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),10051.38,347.37,32032.83,964932.88,450.43,714.60,913.13,1610.81,3597.47,21592.86,28382.67,29748.10,30463.12,10863.51
HTTP Receiving (ms),9427.12,151.41,30037.87,905003.93,170.88,365.46,569.24,1069.06,2750.37,21038.29,27979.06,29027.52,29857.58,10778.26
HTTP Sending (ms),0.19,0.11,1.12,17.78,0.11,0.12,0.12,0.13,0.15,0.18,0.20,0.24,1.11,0.17
HTTP Total Time (ms),10051.41,347.37,32033.45,964935.73,450.43,714.60,913.13,1610.81,3597.47,21592.86,28382.67,29748.10,30463.15,10863.52
HTTP Waiting (TTFB) (ms),624.07,123.97,3042.12,59911.17,131.44,169.76,196.08,264.20,398.01,580.35,1155.94,2692.51,3038.63,700.18
Input Sequence Length (tokens),27997.20,12649.00,77409.00,2687731.00,12765.85,12798.00,12922.50,16718.00,25715.50,33340.75,49555.00,55212.75,70651.65,14122.04
Inter Chunk Latency (ms),12.90,0.00,858.69,903816.14,5.61,8.31,9.22,9.92,10.32,10.62,10.92,11.34,103.93,25.88
Inter Token Latency (ms),13.58,8.33,32.44,1303.62,9.08,9.40,9.93,10.72,12.82,15.03,18.93,20.38,25.57,3.89
OSL Mismatch Diff % (%),-64.26,-99.22,0.00,-6169.34,-99.13,-98.57,-98.02,-96.35,-90.23,-5.02,0.00,0.00,0.00,41.19
Output Sequence Length (tokens),731.88,16.00,2048.00,70260.00,17.90,29.25,40.50,74.75,200.00,1945.25,2048.00,2048.00,2048.00,843.53
Output Token Count (tokens),731.88,16.00,2048.00,70260.00,17.90,29.25,40.50,74.75,200.00,1945.25,2048.00,2048.00,2048.00,843.53
Output Token Throughput Per User (tokens/sec/user),78.51,30.83,120.02,7537.35,39.23,49.06,52.84,66.54,78.03,93.32,100.75,106.37,110.23,18.15
Prefill Throughput Per User (tokens/sec/user),76913.37,4203.06,212775.52,7383683.70,4208.04,4939.85,26334.28,40265.41,69670.00,105145.98,142965.85,184321.44,210996.64,49645.43
Request Latency (ms),10039.09,337.09,32032.91,963752.30,439.31,703.58,901.74,1599.52,3585.43,21592.95,28382.74,29748.17,30463.18,10867.52
Time to First Output Token (ms),624.33,124.22,3043.31,59936.16,131.72,169.98,196.32,264.41,398.19,580.59,1156.15,2693.39,3038.98,700.30
Time to First Token (ms),624.33,124.22,3043.31,59936.16,131.72,169.98,196.32,264.41,398.19,580.59,1156.15,2693.39,3038.98,700.30
Time to Second Token (ms),25.62,0.00,858.69,2459.69,0.05,0.37,0.51,0.55,0.68,3.89,6.81,73.33,466.47,110.80

Metric,Value
Benchmark Duration (sec),127.05
OSL Mismatch Count,73.00
Output Token Throughput (tokens/sec),553.00
Request Count,96.00
Request Throughput (requests/sec),0.76
Total Input Sequence Length (tokens),2687731.00
Total Output Sequence Length (tokens),70260.00
Total Output Tokens (tokens),70260.00
Total Token Throughput (tokens/sec),21707.69


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
