Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),52.59,5.16,122.54,5048.91,6.47,15.27,28.15,35.05,52.46,63.07,86.06,98.92,112.96,24.24
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,544.46,9.00,2048.00,52268.00,9.95,10.00,31.00,62.00,123.00,773.75,2048.00,2048.00,2048.00,741.43
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.86,0.00,3.54,82.33,0.00,0.00,0.00,0.00,0.00,2.30,3.07,3.27,3.46,1.30
HTTP Connection Overhead (ms),1.40,0.00,5.93,133.93,0.00,0.00,0.00,0.00,0.00,3.93,5.13,5.53,5.78,2.19
HTTP Connection Reused (ratio),0.66,0.00,1.00,63.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),130.81,2.51,492.03,12558.05,2.73,2.74,7.80,15.18,29.81,185.65,490.33,491.07,491.52,177.62
HTTP Data Sent (KB),101.70,47.71,270.52,9763.08,47.91,48.22,48.47,50.71,92.19,129.69,187.29,208.67,264.85,55.02
HTTP DNS Lookup (ms),0.54,0.00,2.39,51.59,0.00,0.00,0.00,0.00,0.00,1.63,2.04,2.27,2.35,0.89
HTTP Duration (excl. conn) (ms),8944.69,317.94,39421.33,858689.94,345.50,583.04,917.60,1407.48,3366.69,13309.02,26106.19,35827.05,39366.64,11263.95
HTTP Receiving (ms),8335.72,72.51,38854.34,800229.38,81.68,267.31,429.92,789.01,2399.60,11915.02,25193.24,35108.98,38439.63,11224.34
HTTP Sending (ms),1.10,0.13,3.99,105.41,0.13,0.13,0.14,0.14,0.20,2.74,3.53,3.71,3.99,1.43
HTTP Total Time (ms),8946.08,317.94,39421.33,858823.87,345.50,583.04,917.60,1412.11,3366.69,13312.08,26106.19,35827.05,39370.90,11264.02
HTTP Waiting (TTFB) (ms),607.87,131.83,2794.08,58355.15,145.08,193.88,229.83,330.51,486.84,693.73,1074.13,1389.30,2457.78,463.27
Input Sequence Length (tokens),26441.81,12624.00,77373.00,2538414.00,12647.75,12787.00,12816.00,13408.25,23346.50,33625.00,49434.50,55690.75,70998.50,14580.91
Inter Chunk Latency (ms),15.33,0.00,1033.09,799265.92,5.46,6.28,7.29,8.94,10.62,13.53,15.29,17.14,175.56,33.10
Inter Token Latency (ms),17.23,6.01,70.44,1654.42,6.11,8.00,8.79,11.09,15.08,19.27,26.15,29.49,62.55,10.02
OSL Mismatch Diff % (%),-73.43,-99.61,0.00,-7049.02,-99.56,-99.56,-98.49,-97.02,-94.02,-62.24,0.00,0.00,0.00,36.24
Output Sequence Length (tokens),544.21,8.00,2048.00,52244.00,8.95,9.00,31.00,61.00,122.50,773.25,2048.00,2048.00,2048.00,742.23
Output Token Count (tokens),544.21,8.00,2048.00,52244.00,8.95,9.00,31.00,61.00,122.50,773.25,2048.00,2048.00,2048.00,742.23
Output Token Throughput Per User (tokens/sec/user),71.85,14.20,166.44,6897.84,16.00,33.92,38.24,51.92,66.31,90.15,113.80,125.17,163.56,30.60
Prefill Throughput Per User (tokens/sec/user),61446.62,7010.41,265455.89,5898875.07,12292.90,13833.14,18343.02,27029.41,47936.84,80209.24,128833.05,145523.45,196643.84,47487.98
Request Latency (ms),8934.77,307.49,39421.39,857737.68,332.76,573.02,904.93,1393.84,3354.63,13292.84,26093.84,35827.12,39366.81,11267.25
Time to First Output Token (ms),609.08,132.06,2794.31,58471.77,145.32,194.11,230.08,330.82,487.52,696.34,1075.80,1389.51,2457.99,463.36
Time to First Token (ms),609.08,132.06,2794.31,58471.77,145.32,194.11,230.08,330.82,487.52,696.34,1075.80,1389.51,2457.99,463.36
Time to Second Token (ms),49.47,0.00,433.77,4749.47,0.00,0.00,0.03,0.74,6.57,44.67,213.76,244.38,293.72,88.85

Metric,Value
Benchmark Duration (sec),112.67
OSL Mismatch Count,80.00
Output Token Throughput (tokens/sec),463.69
Request Count,96.00
Request Throughput (requests/sec),0.85
Total Input Sequence Length (tokens),2538414.00
Total Output Sequence Length (tokens),52244.00
Total Output Tokens (tokens),52244.00
Total Token Throughput (tokens/sec),22993.19


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
