Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),92.03,19.48,155.99,8834.54,25.45,41.50,47.49,65.99,87.18,119.35,143.13,149.33,155.82,35.11
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,389.14,16.00,2046.00,37357.00,16.00,16.75,37.50,47.00,75.50,170.25,2031.50,2043.25,2045.05,685.31
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),94.01,4.64,492.74,9024.93,4.64,4.83,9.56,12.01,18.91,41.37,487.94,490.42,492.10,164.35
HTTP Data Sent (KB),114.71,47.69,268.18,11012.45,47.73,48.34,49.25,71.61,107.90,140.54,199.07,213.31,262.63,54.11
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),3168.94,216.31,18675.49,304218.69,272.01,396.47,527.63,670.42,1038.60,1864.66,13392.71,15278.18,16077.40,4832.75
HTTP Receiving (ms),2743.03,94.12,18407.33,263330.62,94.56,103.36,229.92,305.56,506.44,1373.52,12905.58,14087.60,15806.26,4830.70
HTTP Sending (ms),0.12,0.09,0.19,11.38,0.09,0.09,0.09,0.10,0.11,0.13,0.16,0.18,0.18,0.03
HTTP Total Time (ms),3168.94,216.31,18675.49,304218.69,272.01,396.47,527.63,670.42,1038.60,1864.66,13392.71,15278.18,16077.40,4832.75
HTTP Waiting (TTFB) (ms),425.80,121.17,1580.81,40876.69,122.05,132.85,179.01,257.96,342.12,472.10,644.48,1041.46,1524.03,284.36
Input Sequence Length (tokens),29645.64,12632.00,76884.00,2845981.00,12651.95,12793.00,12992.50,18938.00,27835.00,36269.00,51127.00,55375.50,70402.15,14129.93
Inter Chunk Latency (ms),7.05,0.00,669.23,263009.14,4.20,5.74,5.94,6.14,6.35,6.54,6.79,6.97,8.40,12.14
Inter Token Latency (ms),6.96,5.31,13.30,667.86,5.45,5.65,5.85,6.14,6.31,7.24,9.20,10.44,12.89,1.62
OSL Mismatch Diff % (%),-15.61,-98.73,0.00,-1498.62,-98.08,-93.53,-72.94,-14.80,0.00,0.00,0.00,0.00,0.00,29.87
Output Sequence Length (tokens),391.19,17.00,2048.00,37554.00,17.00,17.75,40.00,48.00,77.00,173.00,2043.50,2048.00,2048.00,687.03
Output Token Count (tokens),391.19,17.00,2048.00,37554.00,17.00,17.75,40.00,48.00,77.00,173.00,2043.50,2048.00,2048.00,687.03
Output Token Throughput Per User (tokens/sec/user),149.42,75.19,188.38,14343.89,77.57,95.79,108.74,138.21,158.55,162.94,170.99,177.04,183.41,25.01
Prefill Throughput Per User (tokens/sec/user),89383.62,20343.99,237663.14,8580827.40,25613.38,27880.45,28311.96,50989.90,77767.86,118321.55,151939.91,207702.23,234452.93,53760.17
Request Latency (ms),3165.66,209.61,18675.55,303903.17,271.72,391.50,527.69,670.47,1038.65,1862.80,13392.78,15278.24,16077.45,4833.40
Time to First Output Token (ms),425.98,121.41,1580.99,40894.03,122.20,133.00,179.16,258.14,342.29,472.29,644.65,1041.63,1524.23,284.36
Time to First Token (ms),425.98,121.41,1580.99,40894.03,122.20,133.00,179.16,258.14,342.29,472.29,644.65,1041.63,1524.23,284.36
Time to Second Token (ms),1.07,0.00,24.04,102.75,0.00,0.00,0.00,0.00,0.42,0.60,2.16,2.51,16.31,3.16
Usage Completion Tokens (tokens),391.19,17.00,2048.00,37554.00,17.00,17.75,40.00,48.00,77.00,173.00,2043.50,2048.00,2048.00,687.03
Usage Prompt Tokens (tokens),29645.64,12632.00,76884.00,2845981.00,12651.95,12793.00,12992.50,18938.00,27835.00,36269.00,51127.00,55375.50,70402.15,14129.93
Usage Total Tokens (tokens),30036.82,12707.00,76924.00,2883535.00,12741.20,12873.00,13048.50,19066.25,27975.50,36651.50,51193.00,55959.50,70446.90,14332.18

Metric,Value
Benchmark Duration (sec),152.40
OSL Mismatch Count,30.00
Output Token Throughput (tokens/sec),246.41
Request Count,96.00
Request Throughput (requests/sec),0.63
Total Input Sequence Length (tokens),2845981.00
Total Output Sequence Length (tokens),37554.00
Total Output Tokens (tokens),37554.00
Total Token Throughput (tokens/sec),18920.25
Total Usage Completion Tokens (tokens),37554.00
Total Usage Prompt Tokens (tokens),2845981.00
Total Usage Total Tokens (tokens),2883535.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
