Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),1.10,0.32,10.88,105.95,0.35,0.38,0.42,0.48,0.62,1.03,1.75,2.35,8.36,1.56
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,4.81,2.00,53.00,462.00,2.00,2.00,2.00,2.00,2.00,4.00,7.00,19.00,35.90,7.72
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),1.51,0.83,13.14,144.63,0.83,0.83,0.83,0.83,0.83,1.31,2.03,4.92,8.99,1.86
HTTP Data Sent (KB),30.03,11.74,103.02,2883.00,11.84,13.66,15.61,19.62,24.59,34.31,51.57,67.43,88.85,17.48
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),3033.29,1095.45,15650.54,291195.75,1353.98,1653.13,1738.38,2162.83,2516.16,3146.84,4573.57,5369.50,14065.06,2048.89
HTTP Receiving (ms),1104.79,7.45,13698.01,106059.99,20.31,142.72,191.02,258.40,501.28,1027.88,2346.62,3534.60,12019.20,2008.15
HTTP Sending (ms),0.16,0.11,0.25,14.88,0.12,0.12,0.12,0.13,0.14,0.18,0.19,0.21,0.25,0.03
HTTP Total Time (ms),3033.29,1095.45,15650.54,291195.75,1353.98,1653.13,1738.38,2162.83,2516.16,3146.84,4573.57,5369.50,14065.06,2048.89
HTTP Waiting (TTFB) (ms),1928.34,1057.36,3145.40,185120.88,1057.79,1241.01,1382.48,1657.29,1947.00,2196.23,2505.88,2839.77,3145.28,451.21
Input Sequence Length (tokens),6752.54,2378.00,23682.00,648244.00,2691.50,3043.75,3280.00,4306.75,5680.50,7661.25,11863.50,15738.75,22920.10,4114.20
Inter Chunk Latency (ms),262.98,3.66,859.11,71005.51,5.40,5.54,6.25,7.16,235.11,479.71,617.05,779.74,859.07,252.62
Inter Token Latency (ms),374.80,7.13,859.08,12368.36,7.78,11.75,35.54,283.63,378.91,508.39,582.34,752.28,835.87,211.18
OSL Mismatch Diff % (%),-99.81,-99.95,-97.46,-9582.13,-99.95,-99.95,-99.95,-99.95,-99.95,-99.85,-99.71,-99.12,-98.30,0.38
Output Sequence Length (tokens),3.81,1.00,52.00,366.00,1.00,1.00,1.00,1.00,1.00,3.00,6.00,18.00,34.90,7.72
Output Token Count (tokens),3.81,1.00,52.00,366.00,1.00,1.00,1.00,1.00,1.00,3.00,6.00,18.00,34.90,7.72
Output Token Throughput Per User (tokens/sec/user),13.62,1.16,140.27,449.47,1.20,1.33,1.72,1.97,2.64,3.53,30.36,88.20,130.34,31.46
Prefill Throughput Per User (tokens/sec/user),3580.44,1180.09,11228.25,343721.81,1219.06,1460.54,1639.01,2195.03,3164.12,4296.81,6115.72,7722.77,10198.15,1972.73
Request Latency (ms),2668.22,1057.56,15636.97,256148.81,1058.03,1241.22,1440.75,1855.37,2111.99,2696.94,4245.70,5144.02,13478.17,2067.21
Time to First Output Token (ms),1928.58,1057.56,3145.69,185143.30,1058.03,1241.22,1382.71,1657.50,1947.25,2196.50,2506.14,2840.04,3145.63,451.22
Time to First Token (ms),1928.58,1057.56,3145.69,185143.30,1058.03,1241.22,1382.71,1657.50,1947.25,2196.50,2506.14,2840.04,3145.63,451.22
Time to Second Token (ms),410.78,7.40,859.08,13555.72,9.34,13.56,235.05,305.43,390.41,556.69,669.49,858.99,859.07,215.01

Metric,Value
Benchmark Duration (sec),18.57
OSL Mismatch Count,96.00
Output Token Throughput (tokens/sec),19.71
Request Count,96.00
Request Throughput (requests/sec),5.17
Total Input Sequence Length (tokens),648244.00
Total Output Sequence Length (tokens),366.00
Total Output Tokens (tokens),366.00
Total Token Throughput (tokens/sec),34929.10


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
