Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),8.50,1.15,64.40,815.74,1.24,1.50,2.34,3.85,5.47,9.59,16.69,21.60,54.18,9.48
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,3.48,2.00,18.00,334.00,2.00,2.00,2.00,2.00,2.00,3.00,6.00,9.75,18.00,3.46
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.13,0.45,3.22,108.18,0.50,0.55,0.63,0.74,0.81,0.91,2.88,3.02,3.08,0.79
HTTP Connection Overhead (ms),1.45,0.45,5.31,139.03,0.50,0.55,0.63,0.74,0.81,0.91,4.80,4.96,5.18,1.51
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),1.19,0.83,4.91,114.50,0.83,0.83,0.83,0.83,0.83,1.30,1.79,2.69,4.69,0.84
HTTP Data Sent (KB),30.03,11.74,103.02,2883.00,11.84,13.66,15.61,19.62,24.59,34.31,51.57,67.43,88.85,17.48
HTTP DNS Lookup (ms),0.32,0.00,2.11,30.85,0.00,0.00,0.00,0.00,0.00,0.00,1.92,2.00,2.09,0.72
HTTP Duration (excl. conn) (ms),328.12,82.97,964.29,31499.43,91.54,151.27,154.57,188.32,248.83,412.38,614.02,818.34,932.70,202.61
HTTP Receiving (ms),30.54,0.53,318.11,2931.81,0.57,0.84,2.29,3.31,3.91,18.92,103.43,157.79,246.97,59.12
HTTP Sending (ms),1.38,0.60,3.69,132.16,0.67,0.76,0.85,0.93,1.02,1.16,3.32,3.47,3.53,0.88
HTTP Total Time (ms),329.57,83.65,965.10,31638.46,92.32,152.25,156.10,190.19,249.71,414.25,614.57,818.91,933.27,202.34
HTTP Waiting (TTFB) (ms),296.20,78.41,869.02,28435.46,87.11,144.80,149.40,172.88,232.36,344.30,594.19,719.75,815.39,175.19
Input Sequence Length (tokens),6752.54,2378.00,23682.00,648244.00,2691.50,3043.75,3280.00,4306.75,5680.50,7661.25,11863.50,15738.75,22920.10,4114.20
Inter Chunk Latency (ms),10.21,0.00,194.05,1480.38,0.00,2.35,3.10,4.66,5.45,5.68,6.43,33.07,168.71,24.86
Inter Token Latency (ms),15.73,1.98,194.05,503.46,2.11,2.88,3.38,3.80,4.72,5.30,29.15,64.40,163.26,36.40
OSL Mismatch Diff % (%),-99.88,-99.95,-99.12,-9588.23,-99.95,-99.95,-99.95,-99.95,-99.95,-99.85,-99.76,-99.57,-99.17,0.17
Output Sequence Length (tokens),2.51,1.00,18.00,241.00,1.00,1.00,1.00,1.00,1.00,3.00,5.00,8.75,17.05,3.50
Output Token Count (tokens),2.51,1.00,18.00,241.00,1.00,1.00,1.00,1.00,1.00,3.00,5.00,8.75,17.05,3.50
Output Token Throughput Per User (tokens/sec/user),208.37,5.15,504.56,6667.95,6.83,18.65,34.35,188.63,211.68,263.48,295.93,355.55,477.37,105.59
Prefill Throughput Per User (tokens/sec/user),24009.83,3699.59,57877.27,2304943.57,6016.97,12480.11,15001.19,20953.52,25483.84,27554.69,28805.49,29578.52,43166.67,6864.63
Request Latency (ms),313.11,79.32,918.24,30058.12,88.14,147.19,151.07,185.02,244.60,392.21,613.50,720.68,872.57,182.85
Time to First Output Token (ms),297.68,79.32,870.17,28577.74,88.14,147.19,150.40,174.00,233.65,345.36,595.03,720.68,816.39,175.03
Time to First Token (ms),297.68,79.32,870.17,28577.74,88.14,147.19,150.40,174.00,233.65,345.36,595.03,720.68,816.39,175.03
Time to Second Token (ms),19.78,0.00,194.05,632.80,0.00,0.00,1.40,2.63,3.36,3.62,82.67,127.24,185.78,46.99

Metric,Value
Benchmark Duration (sec),118.23
OSL Mismatch Count,96.00
Output Token Throughput (tokens/sec),2.04
Request Count,96.00
Request Throughput (requests/sec),0.81
Total Input Sequence Length (tokens),648244.00
Total Output Sequence Length (tokens),241.00
Total Output Tokens (tokens),241.00
Total Token Throughput (tokens/sec),5485.11


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
