Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),30.70,0.52,84.78,2946.99,2.05,2.75,3.68,19.13,31.85,40.48,55.21,62.52,69.92,17.65
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,187.12,1.00,929.00,17964.00,2.90,3.00,3.00,20.00,52.00,355.00,502.50,584.75,754.20,212.78
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,0.66,1.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.10
HTTP Connection Overhead (ms),0.02,0.00,0.66,1.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.10
HTTP Connection Reused (ratio),0.97,0.00,1.00,93.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.17
HTTP Data Received (KB),45.13,0.60,222.26,4332.20,1.05,1.08,1.08,5.18,12.83,85.35,120.54,140.24,180.54,50.87
HTTP Data Sent (KB),40.41,4.05,374.20,3879.65,4.08,4.74,8.93,14.43,27.88,41.90,85.05,111.63,205.27,47.74
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),6349.01,112.81,35071.56,609504.84,114.71,183.91,270.49,634.27,5486.09,9440.96,16851.05,18660.28,24180.08,6857.47
HTTP Receiving (ms),5306.88,0.00,27686.70,509460.96,17.16,19.91,21.50,369.97,2601.28,8523.60,14376.02,16647.81,23444.95,6144.89
HTTP Sending (ms),0.16,0.09,0.92,15.81,0.09,0.10,0.10,0.12,0.13,0.17,0.20,0.25,0.78,0.12
HTTP Total Time (ms),6349.03,112.81,35072.11,609506.59,114.71,183.91,270.49,634.27,5486.09,9441.13,16851.05,18660.28,24180.11,6857.50
HTTP Waiting (TTFB) (ms),1041.96,84.19,7384.08,100028.08,87.83,95.42,114.62,164.92,357.19,1009.26,2868.32,4595.66,7268.98,1597.92
Input Sequence Length (tokens),9426.46,898.00,87169.00,904940.00,898.00,1062.75,2025.00,3372.00,6522.50,9800.00,19835.00,26205.25,47984.35,11143.80
Inter Chunk Latency (ms),28.51,0.52,1498.21,509245.59,3.08,7.16,8.68,10.55,11.32,12.14,50.44,73.16,429.66,86.86
Inter Token Latency (ms),50.42,9.03,1346.13,4790.02,9.14,10.12,10.73,14.17,24.10,30.18,63.09,192.83,341.78,142.69
OSL Mismatch Diff % (%),-3.33,-89.27,0.00,-319.25,-73.78,-7.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.90
Output Sequence Length (tokens),187.05,1.00,929.00,17957.00,2.90,3.00,3.00,20.00,52.00,355.00,502.50,584.75,754.20,212.77
Output Token Count (tokens),187.05,1.00,929.00,17957.00,2.90,3.00,3.00,20.00,52.00,355.00,502.50,584.75,754.20,212.77
Output Token Throughput Per User (tokens/sec/user),49.29,0.74,110.74,4682.97,3.43,5.27,16.63,33.13,41.49,70.57,93.19,98.81,109.39,27.58
Prefill Throughput Per User (tokens/sec/user),20666.30,431.38,66108.31,1983964.73,457.28,1438.36,2932.90,6897.14,20415.77,27622.19,40263.52,42808.25,65036.05,14866.66
Request Latency (ms),6346.84,112.87,35071.63,609296.31,114.77,183.96,270.56,634.33,5402.08,9441.03,16851.11,18660.39,24180.15,6857.63
Time to First Output Token (ms),1042.19,84.39,7384.94,100050.72,88.07,95.61,114.81,165.10,357.36,1009.46,2868.58,4596.12,7269.30,1598.02
Time to First Token (ms),1042.19,84.39,7384.94,100050.72,88.07,95.61,114.81,165.10,357.36,1009.46,2868.58,4596.12,7269.30,1598.02
Time to Second Token (ms),196.88,0.52,1497.01,18703.20,0.90,3.00,4.57,7.85,10.06,65.66,1031.61,1141.46,1496.96,394.42

Metric,Value
Benchmark Duration (sec),40.35
OSL Mismatch Count,5.00
Output Token Throughput (tokens/sec),445.02
Request Count,96.00
Request Throughput (requests/sec),2.38
Total Input Sequence Length (tokens),904940.00
Total Output Sequence Length (tokens),17957.00
Total Output Tokens (tokens),17957.00
Total Token Throughput (tokens/sec),22871.77


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
