Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),81.14,1.49,167.85,7789.68,2.10,6.80,16.23,52.05,84.14,110.61,142.01,153.15,167.53,44.76
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,201.66,1.00,929.00,19359.00,1.95,3.00,3.00,20.00,51.50,370.25,528.50,583.75,848.25,225.91
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.13,0.44,4.08,108.34,0.45,0.55,0.60,0.74,0.81,0.92,2.84,3.05,3.25,0.82
HTTP Connection Overhead (ms),1.45,0.44,6.14,138.85,0.45,0.55,0.60,0.74,0.81,0.92,4.65,5.07,5.36,1.53
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),48.62,0.60,222.20,4667.62,0.83,1.08,1.08,5.17,12.72,88.91,126.72,140.17,203.11,54.02
HTTP Data Sent (KB),40.41,4.05,374.20,3879.65,4.08,4.74,8.93,14.43,27.88,41.90,85.05,111.63,205.27,47.74
HTTP DNS Lookup (ms),0.32,0.00,2.12,30.51,0.00,0.00,0.00,0.00,0.00,0.00,1.85,2.01,2.11,0.71
HTTP Duration (excl. conn) (ms),2128.04,101.33,8621.51,204291.40,104.22,163.66,179.85,263.93,1364.06,3563.93,4928.35,6367.37,7830.94,2144.42
HTTP Receiving (ms),1548.44,0.00,7712.99,148650.50,0.99,6.42,9.56,123.63,384.67,3037.61,4123.44,4534.65,7119.62,1816.49
HTTP Sending (ms),1.40,0.68,4.54,133.96,0.69,0.73,0.80,0.93,1.04,1.16,3.28,3.48,3.77,0.92
HTTP Total Time (ms),2129.48,102.13,8625.57,204430.25,105.16,164.47,180.51,265.48,1364.89,3564.53,4930.43,6367.95,7835.71,2144.77
HTTP Waiting (TTFB) (ms),578.20,78.59,4506.94,55506.94,84.21,87.38,90.94,145.58,209.19,677.41,1292.45,2022.79,4083.53,799.30
Input Sequence Length (tokens),9426.46,898.00,87169.00,904940.00,898.00,1062.75,2025.00,3372.00,6522.50,9800.00,19835.00,26205.25,47984.35,11143.80
Inter Chunk Latency (ms),7.71,0.00,831.96,148624.84,3.94,5.16,5.32,5.62,6.34,7.13,8.10,8.36,13.67,18.23
Inter Token Latency (ms),6.95,0.52,18.09,660.49,0.52,3.56,4.83,5.50,6.17,8.23,10.30,11.18,15.80,2.74
OSL Mismatch Diff % (%),-1.10,-45.06,0.00,-105.17,-37.25,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.09
Output Sequence Length (tokens),201.94,1.00,929.00,19386.00,2.90,3.00,3.00,20.00,52.00,370.50,529.00,584.50,852.05,226.10
Output Token Count (tokens),201.94,1.00,929.00,19386.00,2.90,3.00,3.00,20.00,52.00,370.50,529.00,584.50,852.05,226.10
Output Token Throughput Per User (tokens/sec/user),196.38,55.27,1929.83,18655.88,63.37,89.49,97.07,121.47,162.17,181.75,206.86,281.39,1925.90,261.42
Prefill Throughput Per User (tokens/sec/user),26341.09,730.78,67074.73,2528745.04,1246.25,2532.83,7034.11,13847.85,26573.89,34699.04,42379.07,60358.92,66088.66,15334.74
Request Latency (ms),2127.88,101.42,8621.70,204276.31,104.30,163.74,179.93,264.04,1364.14,3564.01,4928.43,6367.44,7831.11,2144.27
Time to First Output Token (ms),579.70,82.58,4510.30,55651.46,85.21,89.09,92.15,147.03,210.18,678.62,1293.46,2024.61,4087.01,799.74
Time to First Token (ms),579.70,82.58,4510.30,55651.46,85.21,89.09,92.15,147.03,210.18,678.62,1293.46,2024.61,4087.01,799.74
Time to Second Token (ms),26.85,0.00,509.64,2550.70,0.00,0.00,0.46,2.32,3.72,5.40,41.66,230.24,323.66,79.38

Metric,Value
Benchmark Duration (sec),118.24
OSL Mismatch Count,4.00
Output Token Throughput (tokens/sec),163.95
Request Count,96.00
Request Throughput (requests/sec),0.81
Total Input Sequence Length (tokens),904940.00
Total Output Sequence Length (tokens),19386.00
Total Output Tokens (tokens),19386.00
Total Token Throughput (tokens/sec),7817.23


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
