Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),4.48,0.04,18.78,1434.73,0.06,0.06,0.10,0.40,2.04,7.97,12.74,14.97,17.33,4.95
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,191.82,1.00,928.00,61384.00,3.00,3.00,3.00,17.00,33.00,377.75,541.60,602.10,783.69,227.98
HTTP Chunks Sent,1.00,1.00,1.00,320.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.61,0.00,3.52,193.95,0.00,0.00,0.00,0.00,0.57,0.84,1.86,2.43,2.63,0.72
HTTP Connection Overhead (ms),0.78,0.00,6.50,248.91,0.00,0.00,0.00,0.00,0.57,0.84,2.00,4.15,4.45,1.19
HTTP Connection Reused (ratio),0.41,0.00,1.00,131.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.49
HTTP Data Received (KB),46.57,0.60,223.75,14901.72,1.08,1.08,1.08,4.45,8.32,91.10,130.53,145.54,189.00,54.91
HTTP Data Sent (KB),39.78,3.87,517.25,12731.03,4.00,4.71,9.11,13.71,27.79,36.56,78.38,115.74,282.33,52.22
HTTP DNS Lookup (ms),0.17,0.00,2.97,54.96,0.00,0.00,0.00,0.00,0.00,0.00,0.14,1.68,1.86,0.52
HTTP Duration (excl. conn) (ms),38287.90,3267.07,73263.30,12252127.56,7511.73,9785.80,11441.67,20555.19,40014.18,52979.70,63759.57,66851.81,71021.94,18893.88
HTTP Receiving (ms),10245.77,0.00,52228.93,3278645.40,21.85,31.49,36.63,534.44,2743.21,19259.24,31097.40,36238.81,44885.39,12903.00
HTTP Sending (ms),0.82,0.06,3.92,263.18,0.07,0.13,0.14,0.18,0.74,1.04,2.17,2.88,3.11,0.79
HTTP Total Time (ms),38288.68,3271.42,73264.16,12252376.48,7512.99,9786.47,11442.49,20555.94,40016.34,52979.83,63759.57,66852.62,71022.09,18893.53
HTTP Waiting (TTFB) (ms),28041.31,1626.02,53400.81,8973218.98,2805.35,4783.27,7914.34,12796.64,23903.91,45676.52,50810.38,51851.52,53151.23,16828.90
Input Sequence Length (tokens),9283.32,893.00,120633.00,2970662.00,898.00,1082.15,2123.50,3215.25,6513.00,8505.75,18154.80,26901.20,65902.57,12188.21
Inter Chunk Latency (ms),53.66,0.00,1807.15,3278642.78,4.04,6.70,11.11,15.53,17.55,24.23,81.51,214.85,686.96,132.07
Inter Token Latency (ms),77.18,1.24,1241.79,24544.45,11.33,15.26,16.89,28.43,47.14,68.81,108.31,203.34,871.33,144.42
OSL Mismatch Diff % (%),-0.00,-0.28,0.29,-0.01,-0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.04
Output Sequence Length (tokens),192.03,1.00,929.00,61449.00,3.00,3.00,3.00,17.00,33.00,378.00,542.70,603.05,784.50,228.20
Output Token Count (tokens),96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,96.00,0.00
Output Token Throughput Per User (tokens/sec/user),29.79,0.81,807.94,9474.35,1.15,4.92,9.24,14.53,21.21,35.18,59.21,65.54,88.27,47.69
Prefill Throughput Per User (tokens/sec/user),613.10,16.87,8904.49,196192.57,19.51,41.11,64.47,129.52,270.31,630.27,1442.74,2176.15,6545.17,1068.94
Reasoning Token Count (tokens),191.73,1.00,929.00,61353.00,3.00,3.00,3.00,17.00,33.00,378.00,542.70,603.05,784.50,227.32
Request Latency (ms),38287.99,3267.23,73263.37,12252155.29,7511.83,9785.91,11441.75,20555.29,40014.30,52979.77,63759.65,66851.89,71022.03,18893.87
Time to First Output Token (ms),65972.62,65972.62,65972.62,65972.62,65972.62,65972.62,65972.62,65972.62,65972.62,65972.62,65972.62,65972.62,65972.62,0.00
Time to First Token (ms),28042.23,1629.15,53401.51,8973512.51,2808.05,4786.18,7915.49,12797.13,23904.63,45676.78,50810.77,51852.69,53152.32,16828.54
Time to Second Token (ms),141.79,1.48,1440.68,45089.34,1.80,3.72,9.93,14.10,17.29,68.30,478.99,991.43,1416.30,310.90

Metric,Value
Benchmark Duration (sec),117.48
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),523.04
Request Count,320.00
Request Throughput (requests/sec),2.72
Total Input Sequence Length (tokens),2970662.00
Total Output Sequence Length (tokens),61449.00
Total Output Tokens (tokens),96.00
Total Reasoning Tokens (tokens),61353.00
Total Token Throughput (tokens/sec),25808.73


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
