Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),50.86,25.53,104.70,4882.18,27.01,28.79,36.84,40.97,51.18,56.81,67.32,73.99,86.28,13.58
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,360.97,63.00,1300.00,34653.00,66.80,85.00,102.50,160.50,267.50,396.25,778.50,1090.00,1234.45,292.67
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.50,0.00,3.61,47.57,0.00,0.00,0.00,0.00,0.00,0.00,2.77,3.10,3.54,1.12
HTTP Connection Overhead (ms),0.85,0.00,6.07,81.81,0.00,0.00,0.00,0.00,0.00,0.00,4.79,5.43,5.98,1.92
HTTP Connection Reused (ratio),0.83,0.00,1.00,80.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.37
HTTP Data Received (KB),86.99,15.55,311.51,8351.05,16.68,21.08,25.27,39.15,64.82,95.43,186.79,261.03,296.13,69.92
HTTP Data Sent (KB),11.58,1.63,38.43,1111.94,1.64,2.83,3.29,4.98,8.80,15.14,26.42,31.76,36.77,8.96
HTTP DNS Lookup (ms),0.36,0.00,2.65,34.24,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.26,2.54,0.81
HTTP Duration (excl. conn) (ms),6812.78,1322.53,22052.48,654026.64,2011.35,2426.50,2818.44,3370.45,5046.06,9050.87,13883.42,17092.91,21184.84,4666.04
HTTP Receiving (ms),6186.98,869.18,20516.70,593950.53,1157.04,1566.04,2033.66,2971.80,4738.87,7611.05,13134.13,16565.88,19430.46,4558.54
HTTP Sending (ms),0.72,0.12,4.03,68.85,0.12,0.12,0.13,0.13,0.18,0.25,3.28,3.55,3.99,1.22
HTTP Total Time (ms),6813.63,1322.53,22052.48,654108.46,2011.35,2426.50,2818.44,3371.75,5046.06,9050.87,13883.42,17092.91,21184.84,4665.91
HTTP Waiting (TTFB) (ms),625.08,79.32,1804.13,60007.26,80.01,81.77,82.43,149.13,170.28,1532.96,1765.72,1776.60,1803.80,691.68
Input Sequence Length (tokens),2977.44,405.00,10106.00,285834.00,405.95,666.75,802.00,1241.25,2281.00,4025.75,6453.00,7833.00,8958.40,2249.49
Inter Chunk Latency (ms),17.23,2.57,522.06,593078.77,3.34,5.95,9.93,12.46,13.72,14.14,15.39,67.49,71.03,17.25
Inter Token Latency (ms),18.03,9.38,24.23,1730.69,11.43,12.92,14.25,16.59,18.23,19.60,21.58,22.52,24.21,2.81
OSL Mismatch Diff % (%),-8.58,-64.09,0.00,-824.10,-55.20,-44.94,-30.95,-11.55,0.00,0.00,0.00,0.00,0.00,15.07
Output Sequence Length (tokens),360.97,63.00,1300.00,34653.00,66.80,85.00,102.50,160.50,267.50,396.25,778.50,1090.00,1234.45,292.67
Output Token Count (tokens),360.97,63.00,1300.00,34653.00,66.80,85.00,102.50,160.50,267.50,396.25,778.50,1090.00,1234.45,292.67
Output Token Throughput Per User (tokens/sec/user),57.04,41.27,106.60,5475.98,41.30,44.40,46.34,51.03,54.84,60.27,70.18,77.43,87.65,10.48
Prefill Throughput Per User (tokens/sec/user),13353.40,447.87,62943.11,1281926.71,493.29,804.77,1209.10,2657.00,8175.34,18629.09,33119.09,46103.06,61167.55,14227.84
Request Latency (ms),6804.08,1308.33,22044.49,653191.94,2010.70,2426.59,2818.51,3355.92,5046.13,9019.00,13883.51,17093.00,21174.60,4666.79
Time to First Output Token (ms),626.18,79.60,1808.27,60113.16,80.28,82.01,82.64,149.38,176.31,1535.89,1768.61,1779.05,1807.91,692.45
Time to First Token (ms),626.18,79.60,1808.27,60113.16,80.28,82.01,82.64,149.38,176.31,1535.89,1768.61,1779.05,1807.91,692.45
Time to Second Token (ms),70.07,2.58,522.06,6727.03,2.70,5.77,7.04,12.33,13.13,39.38,232.30,521.69,522.01,131.89
Usage Completion Tokens (tokens),360.97,63.00,1300.00,34653.00,66.80,85.00,102.50,160.50,267.50,396.25,778.50,1090.00,1234.45,292.67
Usage Prompt Tokens (tokens),2977.44,405.00,10106.00,285834.00,405.95,666.75,802.00,1241.25,2281.00,4025.75,6453.00,7833.00,8958.40,2249.49
Usage Total Tokens (tokens),3338.41,526.00,10493.00,320487.00,606.75,770.25,979.00,1533.00,2611.50,4526.25,6792.00,8302.50,9754.85,2376.74

Metric,Value
Benchmark Duration (sec),25.69
OSL Mismatch Count,31.00
Output Token Throughput (tokens/sec),1348.77
Request Count,96.00
Request Throughput (requests/sec),3.74
Total Input Sequence Length (tokens),285834.00
Total Output Sequence Length (tokens),34653.00
Total Output Tokens (tokens),34653.00
Total Token Throughput (tokens/sec),12474.01
Total Usage Completion Tokens (tokens),34653.00
Total Usage Prompt Tokens (tokens),285834.00
Total Usage Total Tokens (tokens),320487.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
