Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),55.34,21.59,98.06,5312.60,30.47,44.90,46.92,48.18,52.71,55.48,69.19,91.35,96.80,13.22
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,233.62,10.00,740.00,22428.00,17.60,51.00,65.50,118.00,206.50,323.50,440.50,491.00,655.45,153.15
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.47,0.00,3.39,44.99,0.00,0.00,0.00,0.00,0.00,0.00,2.64,2.99,3.35,1.06
HTTP Connection Overhead (ms),0.80,0.00,5.60,76.66,0.00,0.00,0.00,0.00,0.00,0.00,4.57,5.17,5.46,1.80
HTTP Connection Reused (ratio),0.83,0.00,1.00,80.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.37
HTTP Data Received (KB),56.55,2.97,177.34,5428.52,4.81,12.85,16.30,28.93,50.09,78.16,106.40,118.20,157.52,36.65
HTTP Data Sent (KB),3.05,0.22,8.87,292.66,0.23,0.24,0.28,0.91,2.57,4.78,6.68,7.38,8.78,2.44
HTTP DNS Lookup (ms),0.33,0.00,2.26,31.67,0.00,0.00,0.00,0.00,0.00,0.00,1.89,2.08,2.25,0.74
HTTP Duration (excl. conn) (ms),4153.86,323.11,11987.77,398770.33,440.36,1071.13,1282.29,2302.65,3920.32,5396.31,8133.77,8955.05,9648.32,2524.30
HTTP Receiving (ms),3896.32,165.41,11359.53,374046.58,354.93,854.77,1068.90,2100.35,3534.28,4941.34,7757.34,8785.94,9335.30,2495.05
HTTP Sending (ms),0.69,0.09,3.86,65.90,0.10,0.12,0.12,0.14,0.19,0.25,3.04,3.43,3.75,1.15
HTTP Total Time (ms),4154.66,323.11,11991.80,398846.99,440.36,1071.13,1282.29,2302.65,3923.12,5397.54,8133.77,8955.05,9653.70,2524.69
HTTP Waiting (TTFB) (ms),256.85,40.06,663.65,24657.85,40.84,72.11,83.18,86.17,143.28,406.40,628.04,663.00,663.46,226.96
Input Sequence Length (tokens),654.05,20.00,1947.00,62789.00,20.00,21.75,29.50,174.25,544.00,1034.00,1514.50,1661.25,1890.00,552.52
Inter Chunk Latency (ms),16.76,1.68,221.56,374029.83,2.82,3.88,7.94,12.17,13.14,13.56,14.50,70.85,75.51,17.00
Inter Token Latency (ms),17.24,10.02,35.17,1655.33,10.09,10.82,13.74,16.58,17.91,18.55,19.39,20.03,21.47,3.10
OSL Mismatch Diff % (%),-0.15,-13.52,0.00,-14.82,-1.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.38
Output Sequence Length (tokens),233.62,10.00,740.00,22428.00,17.60,51.00,65.50,118.00,206.50,323.50,440.50,491.00,655.45,153.15
Output Token Count (tokens),233.62,10.00,740.00,22428.00,17.60,51.00,65.50,118.00,206.50,323.50,440.50,491.00,655.45,153.15
Output Token Throughput Per User (tokens/sec/user),60.00,28.43,99.79,5760.23,47.21,49.93,51.58,53.91,55.83,60.32,72.79,92.52,99.11,12.17
Prefill Throughput Per User (tokens/sec/user),3922.33,31.83,22864.66,376543.64,34.85,160.53,295.61,672.15,2491.39,5586.35,9293.01,11113.29,18686.68,4214.51
Request Latency (ms),4153.79,323.19,11987.97,398763.85,440.45,1071.20,1282.35,2302.73,3920.43,5396.47,8133.85,8955.11,9648.53,2524.29
Time to First Output Token (ms),257.65,40.33,666.72,24734.02,41.09,72.42,83.45,86.42,143.59,406.68,628.76,666.29,666.67,227.90
Time to First Token (ms),257.65,40.33,666.72,24734.02,41.09,72.42,83.45,86.42,143.59,406.68,628.76,666.29,666.67,227.90
Time to Second Token (ms),37.50,2.01,221.56,3599.72,2.63,3.13,8.43,12.42,12.84,37.93,75.35,221.42,221.46,59.68
Usage Completion Tokens (tokens),233.62,10.00,740.00,22428.00,17.60,51.00,65.50,118.00,206.50,323.50,440.50,491.00,655.45,153.15
Usage Prompt Tokens (tokens),654.05,20.00,1947.00,62789.00,20.00,21.75,29.50,174.25,544.00,1034.00,1514.50,1661.25,1890.00,552.52
Usage Total Tokens (tokens),887.68,64.00,2278.00,85217.00,88.70,149.00,195.50,494.75,781.00,1241.50,1705.50,1930.75,2168.75,557.29

Metric,Value
Benchmark Duration (sec),15.25
OSL Mismatch Count,1.00
Output Token Throughput (tokens/sec),1470.43
Request Count,96.00
Request Throughput (requests/sec),6.29
Total Input Sequence Length (tokens),62789.00
Total Output Sequence Length (tokens),22428.00
Total Output Tokens (tokens),22428.00
Total Token Throughput (tokens/sec),5587.00
Total Usage Completion Tokens (tokens),22428.00
Total Usage Prompt Tokens (tokens),62789.00
Total Usage Total Tokens (tokens),85217.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
