Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),7.71,2.91,10.20,77.06,3.25,4.62,6.33,7.38,7.96,8.82,9.12,9.66,10.09,1.85
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,234.10,116.00,432.00,2341.00,116.18,116.90,117.80,135.00,154.00,377.25,417.60,424.80,430.56,128.63
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),75.68,37.17,140.74,756.79,37.27,37.67,38.18,43.91,50.03,120.79,136.28,138.51,140.30,41.74
HTTP Data Sent (KB),7.50,2.13,13.47,75.04,2.30,2.97,3.82,5.49,7.75,8.97,11.00,12.23,13.22,3.12
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),31471.29,12674.04,54702.94,314712.88,12987.60,14241.88,15809.72,17210.05,25653.10,48064.28,52982.49,53842.72,54530.90,15953.96
HTTP Receiving (ms),13697.36,6500.02,27019.59,136973.56,6554.70,6773.45,7046.88,7609.91,8064.58,22514.70,26464.86,26742.22,26964.11,8471.65
HTTP Sending (ms),0.13,0.08,0.15,1.27,0.09,0.10,0.12,0.12,0.13,0.14,0.14,0.15,0.15,0.02
HTTP Total Time (ms),31471.29,12674.04,54702.94,314712.88,12987.60,14241.88,15809.72,17210.05,25653.10,48064.28,52982.49,53842.72,54530.90,15953.96
HTTP Waiting (TTFB) (ms),17773.80,6173.88,46329.07,177738.04,6432.77,7468.30,8762.71,9581.61,15408.96,21817.88,27827.36,37078.21,44478.90,11270.58
Input Sequence Length (tokens),1686.40,462.00,2978.00,16864.00,495.48,629.40,796.80,1281.25,1781.50,2001.75,2471.30,2724.65,2927.33,699.79
Inter Chunk Latency (ms),61.77,0.00,331.84,136949.87,32.47,46.77,50.94,55.72,59.90,64.45,71.18,91.77,121.14,16.73
Inter Token Latency (ms),57.42,48.60,64.14,574.23,48.97,50.47,52.34,53.96,57.20,60.76,63.95,64.05,64.13,4.75
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),234.40,114.00,436.00,2344.00,114.27,115.35,116.70,134.75,153.50,376.25,423.40,429.70,434.74,130.35
Output Token Count (tokens),234.40,114.00,436.00,2344.00,114.27,115.35,116.70,134.75,153.50,376.25,423.40,429.70,434.74,130.35
Output Token Throughput Per User (tokens/sec/user),17.54,15.59,20.58,175.38,15.59,15.61,15.64,16.46,17.48,18.55,19.12,19.85,20.43,1.50
Prefill Throughput Per User (tokens/sec/user),130.88,26.40,329.92,1308.79,26.54,27.09,27.79,69.55,113.12,169.74,221.53,275.73,319.09,87.42
Request Latency (ms),31468.99,12672.27,54701.31,314689.85,12985.97,14240.77,15809.26,17209.90,25653.05,48062.79,52969.29,53835.30,54528.11,15951.76
Time to First Output Token (ms),17774.00,6174.13,46329.26,177739.99,6433.01,7468.52,8762.91,9581.75,15409.15,21818.07,27827.55,37078.41,44479.09,11270.58
Time to First Token (ms),17774.00,6174.13,46329.26,177739.99,6433.01,7468.52,8762.91,9581.75,15409.15,21818.07,27827.55,37078.41,44479.09,11270.58
Time to Second Token (ms),43.34,9.29,82.00,433.42,9.48,10.23,11.17,31.22,44.35,57.56,62.43,72.21,80.05,21.46
Usage Completion Tokens (tokens),234.40,114.00,436.00,2344.00,114.27,115.35,116.70,134.75,153.50,376.25,423.40,429.70,434.74,130.35
Usage Prompt Cache Read Tokens (tokens),1252.70,16.00,2415.00,12527.00,16.00,16.00,16.00,653.00,1466.00,1831.00,1949.70,2182.35,2368.47,782.40
Usage Prompt Tokens (tokens),1686.40,462.00,2978.00,16864.00,495.48,629.40,796.80,1281.25,1781.50,2001.75,2471.30,2724.65,2927.33,699.79
Usage Total Tokens (tokens),1920.80,725.00,3400.00,19208.00,748.13,840.65,956.30,1434.00,1916.50,2274.75,2886.10,3143.05,3348.61,771.47

Metric,Value
Benchmark Duration (sec),314.73
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),7.45
Overall Usage Prompt Cache Read % (%),74.28
Request Count,10.00
Request Throughput (requests/sec),0.03
Total Input Sequence Length (tokens),16864.00
Total Output Sequence Length (tokens),2344.00
Total Output Tokens (tokens),2344.00
Total Token Throughput (tokens/sec),61.03
Total Usage Completion Tokens (tokens),2344.00
Total Usage Prompt Cache Read Tokens (tokens),12527.00
Total Usage Prompt Tokens (tokens),16864.00
Total Usage Total Tokens (tokens),19208.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
