Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),13.22,8.88,20.89,132.24,8.90,8.95,9.03,10.01,10.45,17.22,19.31,20.10,20.74,4.37
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,279.50,73.00,457.00,2795.00,83.08,123.40,173.80,209.00,288.50,312.25,427.30,442.15,454.03,106.96
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),90.15,24.17,146.68,901.47,27.39,40.25,56.32,67.33,93.20,100.70,137.72,142.20,145.79,34.24
HTTP Data Sent (KB),3.19,0.32,8.81,31.87,0.32,0.33,0.33,0.65,2.25,4.98,7.25,8.03,8.65,2.88
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),23347.90,4093.72,34789.74,233478.95,4522.15,6235.85,8377.99,19838.42,27806.43,29575.93,30418.47,32604.10,34352.61,9434.32
HTTP Receiving (ms),14277.29,3190.69,22430.67,142772.88,3622.89,5351.67,7512.65,10462.36,15511.35,17464.37,19950.33,21190.50,22182.63,5547.41
HTTP Sending (ms),0.14,0.11,0.21,1.36,0.11,0.12,0.12,0.12,0.13,0.14,0.15,0.18,0.20,0.03
HTTP Total Time (ms),23347.90,4093.72,34789.74,233478.95,4522.15,6235.85,8377.99,19838.42,27806.43,29575.93,30418.47,32604.10,34352.61,9434.32
HTTP Waiting (TTFB) (ms),9070.47,861.03,17752.03,90704.71,864.80,879.88,898.72,3673.03,11187.04,12758.18,14101.80,15926.91,17387.00,5617.02
Input Sequence Length (tokens),593.70,24.00,1639.00,5937.00,24.09,24.45,24.90,108.25,479.00,921.25,1342.00,1490.50,1609.30,542.59
Inter Chunk Latency (ms),51.58,5.35,382.50,142763.31,36.16,40.54,42.70,45.96,50.30,55.16,59.59,63.75,104.57,12.23
Inter Token Latency (ms),50.76,43.44,59.12,507.63,43.52,43.83,44.23,46.87,50.80,54.72,56.70,57.91,58.88,5.03
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),279.00,73.00,456.00,2790.00,83.08,123.40,173.80,208.00,288.00,312.00,427.20,441.60,453.12,106.85
Output Token Count (tokens),279.00,73.00,456.00,2790.00,83.08,123.40,173.80,208.00,288.00,312.00,427.20,441.60,453.12,106.85
Output Token Throughput Per User (tokens/sec/user),19.89,16.92,23.02,198.95,16.99,17.28,17.64,18.28,19.70,21.34,22.61,22.82,22.98,1.98
Prefill Throughput Per User (tokens/sec/user),53.94,27.67,119.67,539.37,27.67,27.67,27.68,27.94,34.87,72.76,107.54,113.60,118.45,33.44
Request Latency (ms),23347.00,4093.78,34789.52,233470.04,4522.21,6235.91,8378.04,19838.06,27802.76,29575.56,30418.50,32604.01,34352.41,9433.87
Time to First Output Token (ms),9070.67,861.21,17752.21,90706.73,864.98,880.05,898.90,3673.23,11187.22,12758.39,14102.10,15927.16,17387.20,5617.04
Time to First Token (ms),9070.67,861.21,17752.21,90706.73,864.98,880.05,898.90,3673.23,11187.22,12758.39,14102.10,15927.16,17387.20,5617.04
Time to Second Token (ms),82.60,36.89,382.50,826.03,37.21,38.49,40.10,41.92,46.24,58.89,106.53,244.51,354.90,100.57
Usage Completion Tokens (tokens),279.00,73.00,456.00,2790.00,83.08,123.40,173.80,208.00,288.00,312.00,427.20,441.60,453.12,106.85
Usage Prompt Cache Read Tokens (tokens),360.00,3.00,1313.00,3600.00,3.00,3.00,3.00,3.00,124.00,595.75,1034.90,1173.95,1285.19,454.58
Usage Prompt Tokens (tokens),593.70,24.00,1639.00,5937.00,24.09,24.45,24.90,108.25,479.00,921.25,1342.00,1490.50,1609.30,542.59
Usage Total Tokens (tokens),872.70,98.00,1904.00,8727.00,107.99,147.95,197.90,473.75,821.50,1217.50,1650.20,1777.10,1878.62,566.56

Metric,Value
Benchmark Duration (sec),233.50
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),11.95
Overall Usage Prompt Cache Read % (%),60.64
Request Count,10.00
Request Throughput (requests/sec),0.04
Total Input Sequence Length (tokens),5937.00
Total Output Sequence Length (tokens),2790.00
Total Output Tokens (tokens),2790.00
Total Token Throughput (tokens/sec),37.37
Total Usage Completion Tokens (tokens),2790.00
Total Usage Prompt Cache Read Tokens (tokens),3600.00
Total Usage Prompt Tokens (tokens),5937.00
Total Usage Total Tokens (tokens),8727.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
