Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),13.27,9.12,20.48,132.66,9.13,9.16,9.20,9.99,10.47,17.47,19.16,19.82,20.35,4.28
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,275.50,74.00,451.00,2755.00,84.08,124.40,174.80,208.75,282.00,305.00,427.60,439.30,448.66,105.20
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),90.15,24.17,146.68,901.47,27.39,40.25,56.32,67.33,93.20,100.70,137.72,142.20,145.79,34.24
HTTP Data Sent (KB),3.19,0.32,8.81,31.87,0.32,0.33,0.33,0.65,2.25,4.98,7.25,8.03,8.65,2.88
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),23164.14,4036.36,33574.96,231641.42,4486.10,6285.05,8533.75,19922.43,27800.16,29154.65,30111.62,31843.29,33228.62,9208.87
HTTP Receiving (ms),14077.30,3135.66,21873.64,140773.04,3588.58,5400.26,7664.86,10406.63,15444.56,17020.99,19995.60,20934.62,21685.84,5405.49
HTTP Sending (ms),0.12,0.08,0.15,1.24,0.08,0.08,0.09,0.10,0.14,0.14,0.15,0.15,0.15,0.03
HTTP Total Time (ms),23164.14,4036.36,33574.96,231641.42,4486.10,6285.05,8533.75,19922.43,27800.16,29154.65,30111.62,31843.29,33228.62,9208.87
HTTP Waiting (TTFB) (ms),9086.71,865.22,17686.63,90867.14,868.40,881.12,897.03,3717.90,11229.65,12845.81,14008.34,15847.49,17318.80,5602.26
Input Sequence Length (tokens),593.70,24.00,1639.00,5937.00,24.09,24.45,24.90,108.25,479.00,921.25,1342.00,1490.50,1609.30,542.59
Inter Chunk Latency (ms),50.86,0.00,456.72,140766.94,0.00,38.74,41.96,45.69,49.95,54.63,59.44,62.98,89.31,20.43
Inter Token Latency (ms),50.13,43.54,58.50,501.26,43.62,43.92,44.30,47.05,49.83,52.73,56.04,57.27,58.25,4.61
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),279.00,73.00,456.00,2790.00,83.08,123.40,173.80,208.00,288.00,312.00,427.20,441.60,453.12,106.85
Output Token Count (tokens),279.00,73.00,456.00,2790.00,83.08,123.40,173.80,208.00,288.00,312.00,427.20,441.60,453.12,106.85
Output Token Throughput Per User (tokens/sec/user),20.12,17.09,22.97,201.17,17.17,17.47,17.85,18.97,20.09,21.26,22.57,22.77,22.93,1.82
Prefill Throughput Per User (tokens/sec/user),53.88,27.44,120.52,538.82,27.47,27.57,27.70,27.77,34.77,72.60,107.61,114.06,119.23,33.67
Request Latency (ms),23163.59,4035.73,33574.20,231635.87,4485.45,6284.36,8532.99,19921.83,27800.20,29153.25,30111.60,31842.90,33227.94,9208.91
Time to First Output Token (ms),9086.89,865.42,17686.77,90868.94,868.60,881.32,897.23,3718.04,11229.85,12845.96,14008.54,15847.66,17318.95,5602.26
Time to First Token (ms),9086.89,865.42,17686.77,90868.94,868.60,881.32,897.23,3718.04,11229.85,12845.96,14008.54,15847.66,17318.95,5602.26
Time to Second Token (ms),43.35,0.00,71.56,433.51,3.25,16.24,32.47,39.22,44.79,51.85,57.10,64.33,70.11,17.40
Usage Completion Tokens (tokens),279.00,73.00,456.00,2790.00,83.08,123.40,173.80,208.00,288.00,312.00,427.20,441.60,453.12,106.85
Usage Prompt Cache Read Tokens (tokens),360.00,3.00,1313.00,3600.00,3.00,3.00,3.00,3.00,124.00,595.75,1034.90,1173.95,1285.19,454.58
Usage Prompt Tokens (tokens),593.70,24.00,1639.00,5937.00,24.09,24.45,24.90,108.25,479.00,921.25,1342.00,1490.50,1609.30,542.59
Usage Total Tokens (tokens),872.70,98.00,1904.00,8727.00,107.99,147.95,197.90,473.75,821.50,1217.50,1650.20,1777.10,1878.62,566.56

Metric,Value
Benchmark Duration (sec),231.66
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),12.04
Overall Usage Prompt Cache Read % (%),60.64
Request Count,10.00
Request Throughput (requests/sec),0.04
Total Input Sequence Length (tokens),5937.00
Total Output Sequence Length (tokens),2790.00
Total Output Tokens (tokens),2790.00
Total Token Throughput (tokens/sec),37.67
Total Usage Completion Tokens (tokens),2790.00
Total Usage Prompt Cache Read Tokens (tokens),3600.00
Total Usage Prompt Tokens (tokens),5937.00
Total Usage Total Tokens (tokens),8727.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
