Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),2.14,0.21,7.27,185.87,0.58,0.76,0.89,1.38,2.12,2.76,3.41,3.56,4.97,1.05
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,214.23,7.00,674.00,19281.00,8.78,74.45,92.30,117.25,174.00,294.50,418.10,446.20,554.74,128.59
HTTP Chunks Sent,1.00,1.00,1.00,90.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.14,0.00,12.71,12.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,1.33
HTTP Connection Overhead (ms),0.16,0.00,14.26,14.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.57,1.49
HTTP Connection Reused (ratio),0.99,0.00,1.00,89.00,0.89,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.10
HTTP Data Received (KB),67.08,2.22,212.59,6036.76,2.77,23.64,28.14,36.81,55.28,91.40,132.08,138.94,170.08,40.05
HTTP Data Sent (KB),6.57,1.70,13.46,591.47,1.70,2.51,3.04,4.42,6.10,8.52,10.72,11.56,12.86,2.79
HTTP DNS Lookup (ms),0.02,0.00,1.55,1.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.16
HTTP Duration (excl. conn) (ms),108237.95,11034.14,248798.31,9741415.34,16711.47,31275.26,48239.45,68078.01,102835.00,145919.31,173009.06,208601.99,243766.26,54212.47
HTTP Receiving (ms),62566.36,680.78,180065.96,5630972.29,899.25,8660.77,10604.11,30535.66,56298.35,90033.06,115653.55,135515.35,166140.08,42357.38
HTTP Sending (ms),0.26,0.08,12.95,23.20,0.08,0.08,0.09,0.09,0.12,0.13,0.14,0.15,1.59,1.35
HTTP Total Time (ms),108238.11,11034.14,248798.31,9741429.60,16711.47,31275.26,48239.45,68078.01,102835.00,145919.31,173009.06,208608.41,243766.26,54212.74
HTTP Waiting (TTFB) (ms),45671.33,3143.07,124727.61,4110419.84,5498.82,9290.06,12190.74,22483.76,36831.12,62249.74,94558.34,113409.96,120419.01,31155.88
Input Sequence Length (tokens),1562.07,406.00,3309.00,135900.00,410.30,552.20,686.40,1018.50,1444.00,2052.00,2600.80,2852.80,3089.70,711.39
Inter Chunk Latency (ms),301.62,1.84,119767.10,5608321.04,13.59,104.25,106.50,109.87,113.22,116.23,119.67,127.14,225.61,3389.80
Inter Token Latency (ms),333.43,109.12,2606.46,29008.08,110.21,111.21,113.23,175.35,261.24,381.79,510.17,736.99,1449.74,315.64
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),215.62,33.00,669.00,18759.00,46.76,80.60,90.60,119.50,179.00,288.50,414.40,436.00,540.00,124.00
Output Token Count (tokens),215.62,33.00,669.00,18759.00,46.76,80.60,90.60,119.50,179.00,288.50,414.40,436.00,540.00,124.00
Output Token Throughput Per User (tokens/sec/user),4.49,0.38,9.16,390.85,0.74,1.36,1.96,2.62,3.83,5.70,8.83,8.99,9.07,2.57
Prefill Throughput Per User (tokens/sec/user),54.07,8.13,323.56,4703.77,8.46,12.75,19.63,20.50,34.10,65.54,120.68,144.05,228.12,52.27
Request Latency (ms),107986.32,11034.19,248798.37,9718768.56,16711.52,30749.50,43362.46,68078.09,102804.32,145866.08,173008.25,208571.18,243722.11,54486.78
Time to First Output Token (ms),45671.64,3143.20,124727.75,4110447.52,5499.01,9290.20,12190.94,22483.95,36831.28,62249.88,94558.53,113410.14,120419.13,31156.01
Time to First Token (ms),45671.64,3143.20,124727.75,4110447.52,5499.01,9290.20,12190.94,22483.95,36831.28,62249.88,94558.53,113410.14,120419.13,31156.01
Time to Second Token (ms),2682.05,10.33,96461.82,241384.51,12.48,110.57,114.60,120.72,166.72,176.79,218.99,4099.51,85339.66,13579.25
Usage Completion Tokens (tokens),215.62,33.00,669.00,18759.00,46.76,80.60,90.60,119.50,179.00,288.50,414.40,436.00,540.00,124.00
Usage Prompt Cache Read Tokens (tokens),746.99,30.00,3035.00,64988.00,41.18,43.00,43.00,43.00,676.00,1309.50,1732.00,2187.40,2629.08,748.70
Usage Prompt Tokens (tokens),1562.07,406.00,3309.00,135900.00,410.30,552.20,686.40,1018.50,1444.00,2052.00,2600.80,2852.80,3089.70,711.39
Usage Total Tokens (tokens),1777.69,590.00,3431.00,154659.00,600.32,765.10,886.00,1221.50,1658.00,2301.50,2830.40,2969.30,3410.36,726.00

Metric,Value
Benchmark Duration (sec),5683.69
Error Request Count,10.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),3.30
Overall Usage Prompt Cache Read % (%),47.82
Request Count,90.00
Request Throughput (requests/sec),0.02
Total Input Sequence Length (tokens),135900.00
Total Output Sequence Length (tokens),18759.00
Total Output Tokens (tokens),18759.00
Total Token Throughput (tokens/sec),27.21
Total Usage Completion Tokens (tokens),18759.00
Total Usage Prompt Cache Read Tokens (tokens),64988.00
Total Usage Prompt Tokens (tokens),135900.00
Total Usage Total Tokens (tokens),154659.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
