Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),4.33,0.69,8.91,432.60,0.74,1.77,2.11,2.97,3.93,5.77,6.71,7.73,8.67,1.89
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,252.77,12.00,758.00,25277.00,19.92,54.90,76.80,136.75,242.50,331.25,449.60,503.75,671.87,150.74
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.25,0.00,13.29,24.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.48,1.74
HTTP Connection Overhead (ms),0.27,0.00,14.64,27.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.57,1.91
HTTP Connection Reused (ratio),0.98,0.00,1.00,98.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.14
HTTP Data Received (KB),79.04,3.84,234.85,7903.62,6.35,16.86,24.91,42.97,76.25,104.12,142.49,155.72,207.54,46.88
HTTP Data Sent (KB),3.14,0.28,8.93,313.61,0.29,0.30,0.33,0.97,2.77,4.99,6.88,7.39,8.84,2.47
HTTP DNS Lookup (ms),0.02,0.00,1.35,2.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.09,0.17
HTTP Duration (excl. conn) (ms),62558.90,5192.07,164632.21,6255889.73,7091.49,12332.17,15411.95,35054.58,62245.81,90520.13,108882.32,114980.05,120183.69,33859.07
HTTP Receiving (ms),44737.20,1097.24,115559.92,4473720.33,1928.51,5679.28,8596.52,19591.78,41427.50,64851.69,92095.29,105435.12,112412.19,30464.08
HTTP Sending (ms),0.37,0.08,13.55,36.80,0.08,0.09,0.09,0.09,0.13,0.13,0.14,0.15,11.73,1.76
HTTP Total Time (ms),62559.17,5192.07,164632.21,6255916.92,7091.49,12332.17,15411.95,35054.58,62245.81,90520.13,108882.32,114980.05,120183.69,33859.10
HTTP Waiting (TTFB) (ms),17821.33,555.94,73673.54,1782132.60,704.19,898.07,1184.11,3743.40,13532.96,28879.80,35059.17,43280.13,62304.04,15373.16
Input Sequence Length (tokens),655.46,40.00,1951.00,65546.00,42.97,46.90,51.90,194.25,552.00,1044.75,1471.80,1583.30,1832.20,534.42
Inter Chunk Latency (ms),181.99,0.00,73677.25,4470846.36,13.37,100.56,102.59,106.89,109.49,112.08,116.54,135.20,209.05,1486.66
Inter Token Latency (ms),181.71,86.78,1054.03,18171.17,108.38,109.58,110.20,111.78,156.42,214.41,278.60,295.55,566.31,115.35
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),247.23,10.00,740.00,24723.00,17.92,51.00,76.60,133.75,238.50,325.75,446.10,487.80,651.89,147.88
Output Token Count (tokens),247.23,10.00,740.00,24723.00,17.92,51.00,76.60,133.75,238.50,325.75,446.10,487.80,651.89,147.88
Output Token Throughput Per User (tokens/sec/user),6.62,0.95,11.52,661.68,1.77,3.38,3.59,4.66,6.39,8.95,9.07,9.13,9.23,2.31
Prefill Throughput Per User (tokens/sec/user),48.52,18.28,347.15,4852.20,19.95,20.60,20.95,22.97,34.37,52.84,85.28,128.75,199.20,45.70
Request Latency (ms),62530.21,5192.12,164584.04,6253021.05,7027.62,12329.82,15364.05,35054.64,62220.89,90519.20,108834.38,114921.58,120162.59,33860.38
Time to First Output Token (ms),17821.75,556.12,73673.68,1782174.69,704.38,898.20,1184.23,3743.59,13533.17,28879.99,35059.38,43280.31,62304.22,15373.04
Time to First Token (ms),17821.75,556.12,73673.68,1782174.69,704.38,898.20,1184.23,3743.59,13533.17,28879.99,35059.38,43280.31,62304.22,15373.04
Time to Second Token (ms),807.44,109.48,47439.22,80744.20,110.00,115.49,116.67,141.11,164.42,174.69,191.63,207.09,18017.91,5001.86
Usage Completion Tokens (tokens),247.23,10.00,740.00,24723.00,17.92,51.00,76.60,133.75,238.50,325.75,446.10,487.80,651.89,147.88
Usage Prompt Cache Read Tokens (tokens),309.63,30.00,1579.00,30653.00,30.00,30.00,30.00,30.00,51.00,524.00,1026.80,1198.20,1373.20,406.62
Usage Prompt Tokens (tokens),655.46,40.00,1951.00,65546.00,42.97,46.90,51.90,194.25,552.00,1044.75,1471.80,1583.30,1832.20,534.42
Usage Total Tokens (tokens),902.69,87.00,2222.00,90269.00,124.62,172.80,233.40,493.50,792.50,1276.25,1658.40,1930.20,2102.21,540.77

Metric,Value
Benchmark Duration (sec),3132.16
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),7.89
Overall Usage Prompt Cache Read % (%),46.77
Request Count,100.00
Request Throughput (requests/sec),0.03
Total Input Sequence Length (tokens),65546.00
Total Output Sequence Length (tokens),24723.00
Total Output Tokens (tokens),24723.00
Total Token Throughput (tokens/sec),28.82
Total Usage Completion Tokens (tokens),24723.00
Total Usage Prompt Cache Read Tokens (tokens),30653.00
Total Usage Prompt Tokens (tokens),65546.00
Total Usage Total Tokens (tokens),90269.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
