Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),11.46,6.52,18.34,1099.76,7.01,9.40,9.94,10.60,10.94,11.97,13.61,15.73,18.22,2.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,411.61,33.00,1500.00,39515.00,40.60,86.00,109.50,165.50,309.00,521.75,887.50,1074.50,1489.55,322.06
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.25,0.00,1.58,23.70,0.00,0.00,0.00,0.00,0.00,0.36,0.86,1.27,1.54,0.41
HTTP Connection Overhead (ms),0.25,0.00,1.58,23.70,0.00,0.00,0.00,0.00,0.00,0.36,0.86,1.27,1.54,0.41
HTTP Connection Reused (ratio),0.65,0.00,1.00,62.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.48
HTTP Data Received (KB),98.95,8.25,359.36,9499.09,10.06,20.96,26.55,39.94,74.43,125.43,212.64,257.65,356.44,77.05
HTTP Data Sent (KB),10.55,1.60,33.23,1012.66,1.60,2.31,2.94,3.95,6.34,20.42,24.21,25.73,33.20,8.53
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),35314.46,3100.30,117861.57,3390188.16,3946.95,7884.11,10767.63,14468.00,28044.70,43246.91,78147.12,98168.60,117656.18,26884.57
HTTP Receiving (ms),33010.83,2764.51,110700.96,3169040.04,3566.14,7049.37,9450.27,13468.54,27067.85,41299.37,72464.06,91362.62,110269.23,25360.66
HTTP Sending (ms),0.52,0.12,1.75,50.11,0.15,0.22,0.27,0.32,0.38,0.52,1.03,1.50,1.74,0.37
HTTP Total Time (ms),35314.71,3100.30,117861.95,3390211.86,3946.95,7884.11,10767.63,14468.99,28045.47,43246.91,78147.94,98169.21,117656.63,26884.71
HTTP Waiting (TTFB) (ms),2303.10,319.24,7398.25,221098.01,322.44,338.26,346.90,391.46,581.41,5681.23,7159.71,7160.29,7331.16,2741.95
Input Sequence Length (tokens),2633.75,394.00,9540.00,252840.00,394.95,624.50,775.00,1077.50,1626.00,5186.75,5801.00,6158.75,9529.55,2125.28
Inter Chunk Latency (ms),80.52,11.02,2806.55,3161499.10,31.02,45.56,59.19,68.93,71.65,74.14,110.01,183.01,231.75,58.38
Inter Token Latency (ms),82.88,53.59,107.45,7956.20,54.10,62.49,71.81,78.22,85.04,89.21,91.79,92.98,104.21,9.84
OSL Mismatch Diff % (%),-79.95,-98.44,-26.86,-7675.29,-98.07,-95.85,-94.70,-91.97,-84.96,-74.57,-56.71,-47.58,-27.32,15.72
Output Sequence Length (tokens),410.60,32.00,1498.00,39418.00,39.60,85.00,108.50,164.50,308.00,520.75,886.50,1073.50,1488.50,322.03
Output Token Count (tokens),410.60,32.00,1498.00,39418.00,39.60,85.00,108.50,164.50,308.00,520.75,886.50,1073.50,1488.50,322.03
Output Token Throughput Per User (tokens/sec/user),12.27,9.31,18.66,1177.70,9.60,10.76,10.89,11.21,11.76,12.78,13.93,16.00,18.48,1.73
Prefill Throughput Per User (tokens/sec/user),3576.08,67.18,16969.66,343303.29,69.22,134.70,175.44,869.65,2270.16,4778.83,9295.34,10090.45,15499.47,3648.99
Request Latency (ms),35236.82,3026.12,117837.85,3382735.16,3870.68,7808.52,10693.16,14396.86,27972.17,43172.76,78076.40,98098.16,117623.07,26890.36
Time to First Output Token (ms),2304.54,319.80,7398.92,221236.07,322.84,338.80,347.46,392.90,581.84,5682.02,7160.39,7161.12,7332.03,2741.49
Time to First Token (ms),2304.54,319.80,7398.92,221236.07,322.84,338.80,347.46,392.90,581.84,5682.02,7160.39,7161.12,7332.03,2741.49
Time to Second Token (ms),405.59,55.49,2806.55,38936.57,65.21,67.82,68.72,70.43,73.67,185.92,1478.41,2404.54,2806.55,722.95

Metric,Value
Benchmark Duration (sec),120.34
OSL Mismatch Count,96.00
Output Token Throughput (tokens/sec),327.55
Request Count,96.00
Request Throughput (requests/sec),0.80
Total Input Sequence Length (tokens),252840.00
Total Output Sequence Length (tokens),39418.00
Total Output Tokens (tokens),39418.00
Total Token Throughput (tokens/sec),2428.59


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
