Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),14.75,9.89,24.93,1415.69,10.65,11.47,11.98,12.31,13.16,16.56,21.02,22.85,23.94,3.57
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,439.51,62.00,1637.00,42193.00,76.25,97.25,110.00,183.50,333.50,591.00,943.00,1197.50,1626.55,347.41
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.47,0.00,1.68,45.47,0.00,0.00,0.00,0.00,0.00,1.07,1.22,1.49,1.68,0.59
HTTP Connection Overhead (ms),0.47,0.00,1.68,45.47,0.00,0.00,0.00,0.00,0.00,1.07,1.22,1.49,1.68,0.59
HTTP Connection Reused (ratio),0.58,0.00,1.00,56.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.49
HTTP Data Received (KB),105.62,15.28,391.83,10139.74,18.73,23.73,26.81,44.24,80.36,141.32,225.97,286.90,389.10,83.08
HTTP Data Sent (KB),11.41,1.60,33.23,1095.71,1.60,2.31,2.92,3.97,7.98,21.57,24.59,26.27,33.20,8.86
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),30192.11,3666.24,111086.57,2898442.89,5308.25,6586.10,8005.48,12884.80,24030.22,41450.80,62507.43,78427.81,99370.66,23231.36
HTTP Receiving (ms),29710.99,3311.94,110143.13,2852254.97,4877.24,6315.75,7780.83,12484.63,23482.39,40982.26,62016.94,77747.83,98870.19,23097.71
HTTP Sending (ms),0.83,0.22,2.21,80.04,0.23,0.25,0.28,0.32,0.42,1.46,1.69,1.88,2.15,0.62
HTTP Total Time (ms),30192.59,3666.24,111087.76,2898488.36,5309.24,6586.10,8005.48,12885.10,24030.54,41450.80,62508.18,78428.83,99372.28,23231.45
HTTP Waiting (TTFB) (ms),480.29,142.33,1977.26,46107.88,182.30,222.54,238.86,317.08,404.01,550.79,775.74,906.63,1634.94,274.96
Input Sequence Length (tokens),2831.36,394.00,9540.00,271811.00,394.95,634.25,722.50,1072.75,1902.50,5244.25,5954.50,6317.25,9529.55,2205.62
Inter Chunk Latency (ms),67.82,12.69,827.88,2845889.74,21.56,31.26,42.71,47.91,61.12,71.90,75.77,143.31,218.51,44.70
Inter Token Latency (ms),69.65,39.56,95.97,6686.36,40.48,43.03,46.63,59.88,74.54,78.90,81.97,85.89,91.74,13.46
OSL Mismatch Diff % (%),-78.59,-97.02,-20.12,-7544.53,-96.33,-95.30,-94.68,-91.09,-83.76,-71.19,-54.00,-41.61,-20.63,16.96
Output Sequence Length (tokens),438.50,61.00,1636.00,42096.00,75.25,96.25,109.00,182.50,332.50,590.00,942.00,1195.75,1625.55,347.39
Output Token Count (tokens),438.50,61.00,1636.00,42096.00,75.25,96.25,109.00,182.50,332.50,590.00,942.00,1195.75,1625.55,347.39
Output Token Throughput Per User (tokens/sec/user),15.05,10.42,25.28,1444.40,10.90,11.64,12.20,12.67,13.42,16.71,21.45,23.24,24.71,3.63
Prefill Throughput Per User (tokens/sec/user),6241.34,683.55,19491.44,599168.87,1115.63,1661.59,1883.70,2855.91,4588.14,8501.87,13675.06,16402.50,19082.46,4610.38
Request Latency (ms),30125.97,3619.89,111055.99,2892093.08,5264.57,6527.61,7951.13,12813.56,23971.25,41383.39,62491.03,78352.98,99306.35,23235.47
Time to First Output Token (ms),481.28,144.08,1978.97,46203.33,184.08,224.09,239.89,318.31,405.05,551.78,776.87,907.96,1636.60,275.01
Time to First Token (ms),481.28,144.08,1978.97,46203.33,184.08,224.09,239.89,318.31,405.05,551.78,776.87,907.96,1636.60,275.01
Time to Second Token (ms),84.81,16.25,827.04,8141.61,21.11,29.73,41.07,45.09,61.98,72.98,173.31,213.16,272.52,91.69

Metric,Value
Benchmark Duration (sec),158.29
OSL Mismatch Count,96.00
Output Token Throughput (tokens/sec),265.94
Request Count,96.00
Request Throughput (requests/sec),0.61
Total Input Sequence Length (tokens),271811.00
Total Output Sequence Length (tokens),42096.00
Total Output Tokens (tokens),42096.00
Total Token Throughput (tokens/sec),1983.13


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
