Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),38.56,11.88,43.25,3701.30,28.44,32.71,34.04,37.52,39.60,40.84,41.94,42.51,42.98,4.01
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,410.26,6.00,1565.00,39385.00,74.40,90.75,102.50,176.00,317.50,528.25,947.00,1142.50,1488.05,328.22
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,0.38,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.05
HTTP Connection Overhead (ms),0.01,0.00,0.38,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.05
HTTP Connection Reused (ratio),0.98,0.00,1.00,94.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.14
HTTP Data Received (KB),98.45,1.78,374.57,9451.50,18.25,22.08,24.92,42.41,76.32,126.71,226.34,273.44,355.75,78.42
HTTP Data Sent (KB),13.17,1.75,46.57,1264.05,1.93,2.92,3.34,5.51,9.95,18.09,28.43,35.40,41.98,10.21
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),10359.67,443.70,39841.75,994527.85,2136.63,2543.28,3044.42,4574.49,7843.86,13235.24,22561.28,28257.66,36954.52,8056.86
HTTP Receiving (ms),9961.22,111.71,39265.43,956276.98,1716.37,2078.30,2695.54,4176.66,7522.21,12948.27,21940.51,27583.73,36108.88,7960.17
HTTP Sending (ms),0.26,0.09,0.50,24.99,0.17,0.19,0.20,0.23,0.26,0.28,0.31,0.32,0.45,0.05
HTTP Total Time (ms),10359.67,443.70,39841.75,994528.55,2136.63,2543.28,3044.42,4574.49,7843.86,13235.24,22561.28,28257.66,36954.52,8056.86
HTTP Waiting (TTFB) (ms),398.19,136.68,1086.08,38225.88,139.46,175.16,183.66,228.63,355.18,468.35,704.60,865.75,1009.63,211.40
Input Sequence Length (tokens),3041.42,393.00,10855.00,291976.00,393.95,664.25,708.50,1284.75,2355.00,4149.50,6616.50,8175.50,9749.20,2376.05
Inter Chunk Latency (ms),24.35,12.86,502.29,956034.83,19.39,20.95,21.30,21.83,22.43,23.05,23.65,24.12,106.19,17.01
Inter Token Latency (ms),24.50,21.77,31.29,2352.36,21.93,22.30,22.62,23.42,24.14,25.34,27.01,28.45,29.42,1.81
OSL Mismatch Diff % (%),-5.69,-98.74,0.24,-546.03,-93.68,-48.47,-3.45,0.00,0.00,0.00,0.00,0.00,0.19,19.48
Output Sequence Length (tokens),410.14,5.00,1564.00,39373.00,74.35,90.75,102.50,176.00,317.50,529.00,947.00,1142.25,1486.10,328.10
Output Token Count (tokens),410.14,5.00,1564.00,39373.00,74.35,90.75,102.50,176.00,317.50,529.00,947.00,1142.25,1486.10,328.10
Output Token Throughput Per User (tokens/sec/user),41.02,31.95,45.94,3937.57,34.00,35.15,37.03,39.47,41.42,42.70,44.21,44.84,45.60,2.81
Prefill Throughput Per User (tokens/sec/user),7581.73,769.03,27073.81,727846.25,1426.17,2999.17,3829.67,4306.76,5335.20,9562.22,14028.04,17832.82,22527.00,4826.81
Request Latency (ms),10357.27,420.96,39841.87,994297.78,2135.62,2537.81,3044.54,4574.60,7843.95,13235.34,22561.40,28257.79,36931.61,8055.53
Time to First Output Token (ms),398.57,137.06,1086.42,38262.95,139.86,175.51,184.01,229.01,355.57,468.75,705.00,866.15,1010.20,211.40
Time to First Token (ms),398.57,137.06,1086.42,38262.95,139.86,175.51,184.01,229.01,355.57,468.75,705.00,866.15,1010.20,211.40
Time to Second Token (ms),24.19,15.11,126.95,2321.89,15.51,16.87,17.41,19.18,20.50,21.72,22.67,23.35,126.91,19.45

Metric,Value
Benchmark Duration (sec),254.63
OSL Mismatch Count,10.00
Output Token Throughput (tokens/sec),154.63
Request Count,96.00
Request Throughput (requests/sec),0.38
Total Input Sequence Length (tokens),291976.00
Total Output Sequence Length (tokens),39373.00
Total Output Tokens (tokens),39373.00
Total Token Throughput (tokens/sec),1301.30


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
