Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),13.54,6.47,25.23,1300.26,6.49,8.04,8.99,10.83,11.54,15.65,20.98,21.94,25.15,4.66
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,422.73,33.00,1854.00,40582.00,75.75,91.75,113.50,176.00,328.50,536.25,799.50,1178.00,1579.45,348.50
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.74,0.00,1.98,71.52,0.00,0.00,0.00,0.00,0.98,1.22,1.44,1.60,1.72,0.62
HTTP Connection Overhead (ms),0.74,0.00,1.98,71.52,0.00,0.00,0.00,0.00,0.98,1.22,1.44,1.60,1.72,0.62
HTTP Connection Reused (ratio),0.38,0.00,1.00,36.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.48
HTTP Data Received (KB),101.45,8.24,443.64,9739.36,18.54,22.34,27.52,42.48,78.91,128.62,191.54,282.07,377.85,83.30
HTTP Data Sent (KB),13.17,1.75,46.57,1264.05,1.93,2.92,3.34,5.51,9.95,18.09,28.43,35.40,41.98,10.21
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),33469.21,3367.45,118820.79,3213043.85,3866.64,4901.24,6769.26,14974.77,25829.51,46672.71,66167.20,85746.51,111135.59,25505.16
HTTP Receiving (ms),30542.36,2518.12,117373.65,2932066.72,3436.35,4568.67,6523.60,14532.67,21917.41,37614.93,65041.83,85187.06,110002.21,25098.33
HTTP Sending (ms),1.10,0.11,2.31,105.96,0.20,0.28,0.30,0.36,1.33,1.64,1.85,2.01,2.19,0.65
HTTP Total Time (ms),33469.95,3368.78,118821.66,3213115.36,3866.70,4901.56,6770.68,14975.94,25830.09,46673.84,66167.68,85746.51,111135.63,25505.11
HTTP Waiting (TTFB) (ms),2925.74,178.57,19809.63,280871.16,214.93,250.25,295.01,399.22,691.78,1415.90,11651.86,15592.39,18796.94,4986.93
Input Sequence Length (tokens),3041.42,393.00,10855.00,291976.00,393.95,664.25,708.50,1284.75,2355.00,4149.50,6616.50,8175.50,9749.20,2376.05
Inter Chunk Latency (ms),72.43,9.92,571.72,2931484.99,21.65,29.52,33.21,45.74,68.30,71.59,105.39,192.59,306.41,53.66
Inter Token Latency (ms),72.93,36.24,99.32,7001.32,37.32,40.50,45.43,58.20,80.89,86.73,90.92,92.69,96.31,18.07
OSL Mismatch Diff % (%),-4.91,-96.39,0.09,-471.73,-70.11,-42.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.46
Output Sequence Length (tokens),422.65,32.00,1854.00,40574.00,75.70,91.75,113.00,176.00,328.50,536.25,799.50,1178.75,1579.45,348.51
Output Token Count (tokens),422.65,32.00,1854.00,40574.00,75.70,91.75,113.00,176.00,328.50,536.25,799.50,1178.75,1579.45,348.51
Output Token Throughput Per User (tokens/sec/user),14.85,10.07,27.60,1425.73,10.38,10.79,11.00,11.53,12.36,17.26,22.01,24.70,26.80,4.70
Prefill Throughput Per User (tokens/sec/user),4184.80,28.05,15346.06,401740.68,43.98,134.96,234.37,1214.38,3571.34,5834.23,8984.72,12053.13,15332.42,3697.49
Request Latency (ms),33463.31,3306.57,118820.93,3212477.47,3863.77,4901.40,6769.44,14974.90,25829.61,46672.90,66134.35,85746.57,111135.73,25503.68
Time to First Output Token (ms),2927.00,180.22,19812.12,280992.48,216.31,252.38,295.56,401.03,693.86,1416.54,11653.28,15593.98,18798.88,4986.92
Time to First Token (ms),2927.00,180.22,19812.12,280992.48,216.31,252.38,295.56,401.03,693.86,1416.54,11653.28,15593.98,18798.88,4986.92
Time to Second Token (ms),101.86,11.80,464.22,9778.62,14.03,25.73,28.17,45.51,67.13,74.39,244.63,305.32,448.37,100.34

Metric,Value
Benchmark Duration (sec),153.20
OSL Mismatch Count,9.00
Output Token Throughput (tokens/sec),264.84
Request Count,96.00
Request Throughput (requests/sec),0.63
Total Input Sequence Length (tokens),291976.00
Total Output Sequence Length (tokens),40574.00
Total Output Tokens (tokens),40574.00
Total Token Throughput (tokens/sec),2170.69


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
