Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),53.72,27.97,61.32,5156.98,31.36,45.68,50.11,52.56,55.20,56.28,57.07,57.39,57.65,4.73
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,217.41,10.00,740.00,20871.00,17.60,31.00,56.50,104.50,186.50,314.50,427.50,481.00,655.45,149.33
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,0.53,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.05
HTTP Connection Overhead (ms),0.01,0.00,0.53,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.05
HTTP Connection Reused (ratio),0.99,0.00,1.00,95.00,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.10
HTTP Data Received (KB),52.43,2.74,177.30,5032.86,4.58,7.80,13.91,25.47,45.10,75.81,102.69,115.27,157.33,35.74
HTTP Data Sent (KB),2.71,0.19,8.38,260.56,0.19,0.20,0.24,0.74,2.11,4.08,6.26,7.03,7.83,2.30
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),3945.14,317.01,12885.32,378733.44,396.52,748.34,1170.21,1954.34,3471.34,5524.42,7632.07,8593.73,11674.32,2620.90
HTTP Receiving (ms),3798.66,160.31,12817.88,364671.18,287.84,644.48,939.11,1827.24,3275.00,5448.87,7508.29,8501.63,11593.35,2623.94
HTTP Sending (ms),0.25,0.09,0.66,24.24,0.17,0.19,0.21,0.23,0.25,0.27,0.30,0.30,0.39,0.06
HTTP Total Time (ms),3945.15,317.01,12885.32,378733.97,396.52,748.34,1170.21,1954.34,3471.34,5524.42,7632.07,8593.73,11674.32,2620.90
HTTP Waiting (TTFB) (ms),146.23,63.55,321.20,14038.02,64.13,67.06,71.05,100.75,144.48,181.18,211.81,292.47,310.86,63.11
Input Sequence Length (tokens),580.98,8.00,1875.00,55774.00,8.00,9.75,17.50,112.00,465.00,884.25,1452.50,1576.75,1808.50,533.83
Inter Chunk Latency (ms),17.58,5.38,147.77,364652.32,13.87,16.39,16.61,16.89,17.15,17.40,17.73,18.02,20.42,5.36
Inter Token Latency (ms),17.65,15.76,27.95,1694.54,16.78,17.00,17.06,17.17,17.38,17.72,18.33,18.71,21.61,1.25
OSL Mismatch Diff % (%),-0.26,-24.87,0.00,-25.29,-1.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.52
Output Sequence Length (tokens),217.39,10.00,740.00,20869.00,17.60,31.00,56.50,104.50,186.50,314.50,427.50,481.00,655.45,149.34
Output Token Count (tokens),217.39,10.00,740.00,20869.00,17.60,31.00,56.50,104.50,186.50,314.50,427.50,481.00,655.45,149.34
Output Token Throughput Per User (tokens/sec/user),56.86,35.78,63.45,5458.16,46.44,53.44,54.54,56.42,57.53,58.23,58.62,58.81,59.61,2.94
Prefill Throughput Per User (tokens/sec/user),3309.23,98.95,9846.27,317686.05,109.06,135.17,259.64,1145.26,3105.83,4120.46,9199.15,9373.17,9783.28,2798.44
Request Latency (ms),3945.06,317.09,12885.41,378725.64,396.65,748.45,1170.30,1954.43,3471.44,5524.52,7632.17,8593.84,11674.45,2620.99
Time to First Output Token (ms),146.60,63.88,321.54,14073.32,64.50,67.45,71.37,101.05,144.86,181.60,212.18,292.82,311.22,63.11
Time to First Token (ms),146.60,63.88,321.54,14073.32,64.50,67.45,71.37,101.05,144.86,181.60,212.18,292.82,311.22,63.11
Time to Second Token (ms),16.95,15.33,19.08,1627.32,15.42,15.55,15.94,16.45,16.98,17.52,17.88,18.15,18.53,0.76

Metric,Value
Benchmark Duration (sec),189.95
OSL Mismatch Count,1.00
Output Token Throughput (tokens/sec),109.86
Request Count,96.00
Request Throughput (requests/sec),0.51
Total Input Sequence Length (tokens),55774.00
Total Output Sequence Length (tokens),20869.00
Total Output Tokens (tokens),20869.00
Total Token Throughput (tokens/sec),403.48


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
