Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),31.91,18.46,72.16,3063.31,18.89,20.43,20.71,23.37,30.02,37.45,45.41,50.49,57.54,10.04
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,214.73,10.00,740.00,20614.00,17.60,25.75,47.50,90.50,171.00,314.50,440.50,523.00,662.10,163.62
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.58,0.00,4.47,56.13,0.00,0.00,0.00,0.00,0.00,1.03,1.38,2.07,3.64,0.86
HTTP Connection Overhead (ms),0.71,0.00,7.56,67.72,0.00,0.00,0.00,0.00,0.00,1.03,1.38,2.47,6.23,1.31
HTTP Connection Reused (ratio),0.57,0.00,1.00,55.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.49
HTTP Data Received (KB),51.81,2.74,177.13,4973.40,4.58,6.54,11.73,22.03,41.36,75.90,106.17,125.72,158.64,39.17
HTTP Data Sent (KB),2.19,0.17,8.13,210.01,0.19,0.20,0.23,0.37,1.51,3.28,5.33,6.39,7.85,2.05
HTTP DNS Lookup (ms),0.12,0.00,3.09,11.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,2.59,0.53
HTTP Duration (excl. conn) (ms),7348.85,357.65,31716.16,705490.01,486.81,929.65,1308.86,3223.69,5483.35,10257.77,15537.94,19212.13,28492.61,6237.57
HTTP Receiving (ms),7174.66,202.10,31484.70,688767.02,364.56,842.48,1153.93,2983.43,5288.18,10094.32,15294.66,19088.35,28384.93,6231.88
HTTP Sending (ms),0.94,0.10,5.36,90.25,0.14,0.24,0.26,0.31,0.39,1.40,1.86,2.52,4.34,0.94
HTTP Total Time (ms),7349.56,357.65,31717.06,705557.72,486.81,934.27,1309.40,3223.69,5483.96,10258.51,15538.75,19213.39,28493.64,6237.62
HTTP Waiting (TTFB) (ms),173.26,49.25,336.88,16632.73,72.49,91.69,100.13,123.02,169.34,202.49,265.33,290.79,323.80,63.32
Input Sequence Length (tokens),442.28,4.00,1875.00,42459.00,7.80,10.50,14.50,46.00,295.50,716.75,1110.50,1420.50,1708.75,448.55
Inter Chunk Latency (ms),33.61,10.05,155.62,688628.55,12.75,16.21,19.24,22.58,30.98,44.51,46.93,48.30,93.87,14.53
Inter Token Latency (ms),32.73,13.20,50.71,3141.94,16.97,18.81,21.18,24.65,31.24,41.93,46.99,48.07,49.62,9.67
OSL Mismatch Diff % (%),-1.05,-46.81,0.00,-100.86,-29.08,-1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.73
Output Sequence Length (tokens),214.65,10.00,740.00,20606.00,17.60,25.00,47.50,90.00,171.00,314.50,440.50,523.00,662.10,163.67
Output Token Count (tokens),214.65,10.00,740.00,20606.00,17.60,25.00,47.50,90.00,171.00,314.50,440.50,523.00,662.10,163.67
Output Token Throughput Per User (tokens/sec/user),33.62,19.72,75.77,3227.25,20.15,20.80,21.28,23.85,32.02,40.57,47.21,53.21,59.13,10.98
Prefill Throughput Per User (tokens/sec/user),2215.52,25.53,9364.02,212689.76,46.96,95.43,132.48,428.18,2038.72,3539.22,4195.92,6187.66,9130.81,2019.01
Request Latency (ms),7347.57,357.77,31716.38,705367.16,486.97,929.92,1309.02,3223.85,5472.31,10257.90,15538.08,19212.30,28492.81,6238.66
Time to First Output Token (ms),174.36,52.16,337.23,16738.61,77.07,93.10,102.97,124.57,170.17,203.10,265.91,291.23,324.36,62.94
Time to First Token (ms),174.36,52.16,337.23,16738.61,77.07,93.10,102.97,124.57,170.17,203.10,265.91,291.23,324.36,62.94
Time to Second Token (ms),34.65,12.47,139.43,3326.85,12.70,16.02,17.28,21.87,30.11,45.48,48.88,59.73,117.71,19.36

Metric,Value
Benchmark Duration (sec),127.41
OSL Mismatch Count,4.00
Output Token Throughput (tokens/sec),161.73
Request Count,96.00
Request Throughput (requests/sec),0.75
Total Input Sequence Length (tokens),42459.00
Total Output Sequence Length (tokens),20606.00
Total Output Tokens (tokens),20606.00
Total Token Throughput (tokens/sec),494.97


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
