Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),40.95,6.93,49.38,3931.46,18.01,36.44,37.71,39.88,41.88,43.43,44.21,44.93,47.49,5.01
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,214.94,2.00,641.00,20634.00,9.60,48.25,59.50,100.00,198.50,306.25,432.00,480.50,509.90,137.90
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),51.80,0.83,153.77,4972.80,2.67,11.91,14.58,24.31,47.86,73.62,103.78,115.23,122.33,32.99
HTTP Data Sent (KB),2.80,0.19,8.29,268.43,0.19,0.21,0.23,0.80,2.34,4.30,6.31,6.87,8.06,2.27
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),5114.24,167.83,14761.68,490967.23,474.34,1161.98,1595.02,2464.73,4704.80,6802.85,9830.70,11215.63,12111.44,3202.19
HTTP Receiving (ms),4922.05,23.59,14206.09,472516.65,181.27,1068.48,1387.48,2315.45,4507.54,6677.16,9716.39,11051.94,11963.38,3183.48
HTTP Sending (ms),0.25,0.09,0.33,23.96,0.09,0.17,0.20,0.23,0.26,0.28,0.30,0.31,0.32,0.04
HTTP Total Time (ms),5114.24,167.83,14761.68,490967.23,474.34,1161.98,1595.02,2464.73,4704.80,6802.85,9830.70,11215.63,12111.44,3202.19
HTTP Waiting (TTFB) (ms),191.94,78.11,593.88,18426.62,79.61,85.14,88.58,114.24,155.09,231.85,335.62,372.24,557.79,113.56
Input Sequence Length (tokens),620.07,8.00,1875.00,59527.00,8.00,9.75,17.50,152.25,512.00,987.00,1452.50,1576.75,1808.50,534.16
Inter Chunk Latency (ms),23.02,3.10,169.72,472334.20,17.57,20.30,20.65,21.11,21.60,22.09,22.62,23.14,82.58,10.46
Inter Token Latency (ms),22.98,19.81,27.12,2182.91,20.74,21.31,21.55,22.19,22.94,23.76,24.43,24.79,25.52,1.14
OSL Mismatch Diff % (%),-4.35,-99.74,0.00,-417.79,-85.74,-34.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.78
Output Sequence Length (tokens),214.84,1.00,641.00,20625.00,9.55,48.25,59.50,99.00,198.50,306.25,431.50,480.25,509.90,137.91
Output Token Count (tokens),214.84,1.00,641.00,20625.00,9.55,48.25,59.50,99.00,198.50,306.25,431.50,480.25,509.90,137.91
Output Token Throughput Per User (tokens/sec/user),43.63,36.87,50.48,4144.54,39.20,40.34,40.94,42.08,43.60,45.07,46.41,46.92,48.21,2.16
Prefill Throughput Per User (tokens/sec/user),2764.55,89.98,9873.30,265397.15,92.46,108.46,181.67,1329.29,3263.07,4153.73,4567.51,4707.54,5210.96,1796.68
Request Latency (ms),5112.46,144.36,14761.80,490796.43,473.28,1147.12,1595.14,2442.52,4704.91,6802.95,9830.81,11215.74,12111.55,3202.55
Time to First Output Token (ms),192.31,78.51,594.04,18462.23,79.94,85.50,89.02,114.59,155.42,232.25,336.03,372.62,557.93,113.54
Time to First Token (ms),192.31,78.51,594.04,18462.23,79.94,85.50,89.02,114.59,155.42,232.25,336.03,372.62,557.93,113.54
Time to Second Token (ms),22.65,18.84,106.32,2151.94,19.21,19.56,20.20,20.75,21.27,21.88,22.68,23.47,42.28,9.16

Metric,Value
Benchmark Duration (sec),124.08
OSL Mismatch Count,8.00
Output Token Throughput (tokens/sec),166.22
Request Count,96.00
Request Throughput (requests/sec),0.77
Total Input Sequence Length (tokens),59527.00
Total Output Sequence Length (tokens),20625.00
Total Output Tokens (tokens),20625.00
Total Token Throughput (tokens/sec),645.96


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
