Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),31.05,15.60,64.78,2981.19,18.55,21.03,22.51,25.11,29.86,35.33,42.70,45.07,53.94,8.22
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,217.38,10.00,631.00,20868.00,17.60,51.00,65.50,106.25,198.50,306.25,411.00,481.00,566.40,136.93
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.77,0.00,1.44,74.03,0.00,0.00,0.00,0.72,0.89,1.03,1.14,1.22,1.31,0.40
HTTP Connection Overhead (ms),0.77,0.00,1.44,74.03,0.00,0.00,0.00,0.72,0.89,1.03,1.14,1.22,1.31,0.40
HTTP Connection Reused (ratio),0.19,0.00,1.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.39
HTTP Data Received (KB),52.37,2.75,151.19,5027.85,4.57,12.58,16.04,25.78,47.86,73.63,98.73,115.33,135.83,32.75
HTTP Data Sent (KB),2.80,0.19,8.29,268.43,0.19,0.21,0.23,0.80,2.34,4.30,6.31,6.87,8.06,2.27
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),7316.79,640.87,20787.05,702412.11,723.04,1637.41,2152.41,3203.90,6275.02,9509.81,15188.12,17559.56,20461.13,5001.51
HTTP Receiving (ms),7103.25,303.62,20683.09,681911.87,577.79,1524.63,1917.44,3012.06,6122.88,9280.06,14914.41,17443.32,20115.79,5000.09
HTTP Sending (ms),1.10,0.15,1.92,105.75,0.16,0.30,0.35,0.94,1.23,1.36,1.54,1.66,1.78,0.43
HTTP Total Time (ms),7317.56,641.76,20787.93,702486.14,723.92,1638.34,2153.51,3204.76,6275.02,9510.50,15189.13,17560.44,20461.18,5001.54
HTTP Waiting (TTFB) (ms),212.44,72.46,713.29,20394.48,79.32,93.86,102.10,126.39,176.08,280.32,358.28,422.10,673.11,121.97
Input Sequence Length (tokens),620.07,8.00,1875.00,59527.00,8.00,9.75,17.50,152.25,512.00,987.00,1452.50,1576.75,1808.50,534.16
Inter Chunk Latency (ms),32.85,9.86,239.63,681625.15,13.34,17.10,20.71,27.86,29.83,40.67,42.93,44.80,114.02,16.07
Inter Token Latency (ms),32.60,14.60,47.22,3129.76,16.84,21.51,22.36,27.48,32.86,37.48,42.42,44.29,45.52,7.23
OSL Mismatch Diff % (%),-3.54,-87.57,0.00,-340.19,-80.46,-24.63,-1.25,0.00,0.00,0.00,0.00,0.00,0.00,13.74
Output Sequence Length (tokens),217.23,10.00,630.00,20854.00,17.60,51.00,65.50,106.00,198.50,306.25,410.50,481.00,565.40,136.85
Output Token Count (tokens),217.23,10.00,630.00,20854.00,17.60,51.00,65.50,106.00,198.50,306.25,410.50,481.00,565.40,136.85
Output Token Throughput Per User (tokens/sec/user),32.48,21.18,68.47,3118.28,21.97,22.58,23.58,26.68,30.44,36.40,44.72,46.48,59.43,8.60
Prefill Throughput Per User (tokens/sec/user),2508.63,24.46,9581.16,240828.47,57.98,101.80,162.83,1165.33,2598.70,3870.16,4336.41,4447.28,5464.77,1700.88
Request Latency (ms),7313.95,641.03,20756.04,702139.48,723.20,1637.53,2140.68,3203.99,6275.14,9509.96,15188.26,17527.09,20459.72,4999.26
Time to First Output Token (ms),213.69,73.73,714.78,20514.33,80.78,95.46,102.93,127.37,177.23,281.62,358.76,423.58,674.79,122.00
Time to First Token (ms),213.69,73.73,714.78,20514.33,80.78,95.46,102.93,127.37,177.23,281.62,358.76,423.58,674.79,122.00
Time to Second Token (ms),36.51,11.46,202.35,3504.64,11.97,16.91,20.19,22.81,29.83,41.82,50.76,77.82,132.70,25.86

Metric,Value
Benchmark Duration (sec),121.60
OSL Mismatch Count,9.00
Output Token Throughput (tokens/sec),171.49
Request Count,96.00
Request Throughput (requests/sec),0.79
Total Input Sequence Length (tokens),59527.00
Total Output Sequence Length (tokens),20854.00
Total Output Tokens (tokens),20854.00
Total Token Throughput (tokens/sec),661.01


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
