Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),31.57,3.59,50.22,3030.88,8.36,16.52,19.29,24.47,33.22,39.87,42.08,44.43,46.56,9.63
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,610.70,18.00,2048.00,58627.00,36.05,49.75,60.50,86.00,173.50,1243.00,2048.00,2048.00,2048.00,766.92
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,0.88,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.09
HTTP Connection Overhead (ms),0.01,0.00,0.88,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.09
HTTP Connection Reused (ratio),0.99,0.00,1.00,95.00,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.10
HTTP Data Received (KB),146.62,4.89,493.20,14075.11,9.01,12.28,14.83,20.97,41.82,298.02,489.99,490.40,492.68,183.67
HTTP Data Sent (KB),114.62,47.65,271.32,11003.59,47.69,48.21,48.81,70.22,105.67,141.26,200.85,217.11,256.40,54.95
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),16574.76,1832.63,83326.11,1591176.54,1954.82,2130.46,2677.18,3906.90,5270.92,31000.78,50640.13,54604.68,59153.99,19753.16
HTTP Receiving (ms),14935.24,443.79,82277.72,1433783.07,790.54,1057.39,1276.49,2083.35,3950.19,29976.93,49458.97,53022.82,57213.40,19751.93
HTTP Sending (ms),0.24,0.10,1.16,22.99,0.15,0.18,0.19,0.20,0.22,0.25,0.28,0.31,0.45,0.11
HTTP Total Time (ms),16574.76,1832.63,83326.11,1591177.43,1954.82,2130.46,2677.18,3906.90,5270.92,31000.78,50640.13,54604.68,59153.99,19753.18
HTTP Waiting (TTFB) (ms),1639.28,292.82,7320.02,157370.48,359.74,460.77,585.50,935.95,1398.23,1985.14,2529.70,3639.18,5778.34,1122.96
Input Sequence Length (tokens),29495.76,12621.00,75068.00,2831593.00,12640.00,12781.00,12884.50,18607.00,27590.50,35589.75,52518.50,55924.75,71021.95,14350.10
Inter Chunk Latency (ms),24.50,0.00,3515.43,1431926.05,15.41,19.57,20.14,20.91,22.22,23.50,24.72,25.23,26.58,49.79
Inter Token Latency (ms),23.48,18.97,54.97,2254.48,19.36,19.81,19.94,20.96,22.43,24.31,26.46,31.20,40.93,4.68
OSL Mismatch Diff % (%),-70.22,-99.12,0.00,-6741.21,-98.29,-97.62,-97.09,-95.85,-91.58,-39.36,0.00,0.00,0.00,37.46
Output Sequence Length (tokens),609.88,18.00,2048.00,58548.00,35.10,48.75,59.50,85.00,172.50,1242.00,2048.00,2048.00,2048.00,767.23
Output Token Count (tokens),609.88,18.00,2048.00,58548.00,35.10,48.75,59.50,85.00,172.50,1242.00,2048.00,2048.00,2048.00,767.23
Output Token Throughput Per User (tokens/sec/user),43.68,18.19,52.70,4193.50,24.54,32.05,37.80,41.14,44.58,47.71,50.15,50.47,51.65,5.87
Prefill Throughput Per User (tokens/sec/user),25309.46,3530.26,106316.70,2429708.45,3652.98,6568.51,6625.44,12311.22,20875.37,33620.01,52130.71,60922.01,69896.45,18368.01
Request Latency (ms),16555.52,1809.95,83326.17,1589330.30,1931.92,2108.38,2654.77,3881.77,5249.43,30978.27,50640.21,54604.79,59154.09,19759.69
Time to First Output Token (ms),1639.63,293.12,7320.34,157404.26,360.08,461.11,585.84,936.28,1398.58,1985.51,2530.04,3640.24,5778.64,1122.98
Time to First Token (ms),1639.63,293.12,7320.34,157404.26,360.08,461.11,585.84,936.28,1398.58,1985.51,2530.04,3640.24,5778.64,1122.98
Time to Second Token (ms),8.93,0.00,121.50,857.38,0.00,0.09,0.13,4.59,7.88,12.12,14.33,15.71,22.48,12.56

Metric,Value
Benchmark Duration (sec),798.82
OSL Mismatch Count,81.00
Output Token Throughput (tokens/sec),73.29
Request Count,96.00
Request Throughput (requests/sec),0.12
Total Input Sequence Length (tokens),2831593.00
Total Output Sequence Length (tokens),58548.00
Total Output Tokens (tokens),58548.00
Total Token Throughput (tokens/sec),3618.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
