Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),2.42,0.07,6.28,232.23,0.27,0.37,0.48,0.80,1.56,4.46,5.78,5.87,6.21,2.05
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,644.21,9.00,2048.00,61844.00,37.50,48.75,60.00,87.50,147.50,1377.75,2048.00,2048.00,2048.00,822.52
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.08,0.00,3.90,103.69,0.00,0.00,0.00,0.69,0.96,1.48,1.78,2.54,3.20,0.74
HTTP Connection Overhead (ms),1.20,0.00,6.66,115.12,0.00,0.00,0.00,0.69,0.96,1.48,1.78,3.49,5.44,1.11
HTTP Connection Reused (ratio),0.12,0.00,1.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.33
HTTP Data Received (KB),154.69,2.51,492.27,14850.53,9.36,12.06,14.70,21.28,35.65,329.94,491.27,491.69,491.98,197.09
HTTP Data Sent (KB),52.56,46.71,100.86,5045.91,46.74,47.18,47.54,48.30,49.27,50.96,57.58,72.91,97.18,10.32
HTTP DNS Lookup (ms),0.12,0.00,2.76,11.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.41,2.24,0.48
HTTP Duration (excl. conn) (ms),185066.85,35216.65,390584.43,17766417.72,39970.04,55748.59,73931.83,96985.71,150479.98,300248.97,357315.19,361865.14,387532.06,108717.11
HTTP Receiving (ms),109723.24,3105.63,376281.26,10533430.92,6010.37,10887.89,13972.79,21558.93,51532.71,176943.12,317656.41,331726.47,371933.73,115531.86
HTTP Sending (ms),1.44,0.13,4.45,138.47,0.13,0.31,0.43,0.90,1.29,1.99,2.38,3.01,3.78,0.84
HTTP Total Time (ms),185068.05,35217.44,390589.81,17766532.84,39970.97,55749.71,73934.70,96986.73,150480.88,300250.11,357316.55,361866.28,387533.92,108717.11
HTTP Waiting (TTFB) (ms),75342.17,5896.10,179026.47,7232848.32,9929.88,16889.06,20105.02,27996.05,62966.69,118646.46,147941.14,162277.50,175573.24,50218.08
Input Sequence Length (tokens),13859.51,12409.00,26818.00,1330513.00,12425.15,12512.00,12615.00,12787.00,13002.50,13430.25,15022.50,19426.75,24467.70,2641.58
Inter Chunk Latency (ms),170.46,12.68,4844.00,10511835.35,27.57,57.44,83.26,93.13,95.89,100.56,106.03,945.15,1351.95,349.34
Inter Token Latency (ms),262.33,71.86,670.96,25183.21,77.63,112.24,135.33,162.05,245.17,320.78,417.04,526.47,645.09,129.37
OSL Mismatch Diff % (%),-68.58,-99.61,0.00,-6584.13,-98.22,-97.67,-97.12,-95.78,-92.85,-32.78,0.00,0.00,0.00,40.18
Output Sequence Length (tokens),643.39,8.00,2048.00,61765.00,36.50,47.75,59.00,86.50,146.50,1376.75,2048.00,2048.00,2048.00,822.85
Output Token Count (tokens),643.39,8.00,2048.00,61765.00,36.50,47.75,59.00,86.50,146.50,1376.75,2048.00,2048.00,2048.00,822.85
Output Token Throughput Per User (tokens/sec/user),4.79,1.49,13.92,459.87,1.55,1.91,2.40,3.12,4.08,6.17,7.39,8.99,12.89,2.42
Prefill Throughput Per User (tokens/sec/user),329.21,73.21,2275.86,31604.37,74.66,87.14,98.34,124.84,203.88,461.40,645.45,761.46,1310.78,310.21
Request Latency (ms),184842.05,35119.98,390584.77,17744836.58,38804.14,53934.48,73836.12,96886.63,148863.96,300181.78,357315.39,361865.20,387532.35,108867.91
Time to First Output Token (ms),75343.76,5898.86,179026.88,7233001.22,9933.79,16892.39,20106.13,27997.44,62968.83,118647.35,147942.87,162278.48,175574.71,50217.74
Time to First Token (ms),75343.76,5898.86,179026.88,7233001.22,9933.79,16892.39,20106.13,27997.44,62968.83,118647.35,147942.87,162278.48,175574.71,50217.74
Time to Second Token (ms),1411.86,79.56,4843.82,135538.30,81.08,85.91,87.13,90.97,96.20,3253.29,4719.12,4787.30,4843.77,1968.16

Metric,Value
Benchmark Duration (sec),420.58
OSL Mismatch Count,74.00
Output Token Throughput (tokens/sec),146.86
Request Count,96.00
Request Throughput (requests/sec),0.23
Total Input Sequence Length (tokens),1330513.00
Total Output Sequence Length (tokens),61765.00
Total Output Tokens (tokens),61765.00
Total Token Throughput (tokens/sec),3310.35


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
