Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),0.44,0.11,2.09,42.40,0.11,0.14,0.15,0.20,0.33,0.60,0.97,1.05,1.29,0.34
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,4.91,2.00,62.00,471.00,2.00,2.00,2.00,2.00,2.00,3.25,6.00,19.50,46.80,8.68
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,1.14,2.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.13,0.16
HTTP Connection Overhead (ms),0.02,0.00,1.14,2.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.13,0.16
HTTP Connection Reused (ratio),0.98,0.00,1.00,94.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.14
HTTP Data Received (KB),1.53,0.83,15.30,146.81,0.83,0.83,0.83,0.83,0.83,1.14,1.79,5.06,11.62,2.09
HTTP Data Sent (KB),30.03,11.74,103.02,2883.00,11.84,13.66,15.61,19.62,24.59,34.31,51.57,67.43,88.85,17.48
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),7230.45,1501.41,56713.65,694123.45,2028.10,2641.29,3224.78,4023.77,5457.99,7834.73,10760.16,19093.66,25291.75,6708.27
HTTP Receiving (ms),2879.20,25.19,50185.01,276403.58,25.24,85.05,229.88,451.72,840.90,2297.03,4524.35,15532.25,21479.16,6411.69
HTTP Sending (ms),0.29,0.10,1.57,27.85,0.11,0.15,0.16,0.19,0.25,0.32,0.42,0.48,1.51,0.21
HTTP Total Time (ms),7230.48,1501.41,56713.65,694125.71,2028.10,2641.29,3224.78,4023.77,5457.99,7834.73,10760.16,19093.66,25291.75,6708.27
HTTP Waiting (TTFB) (ms),4350.96,1031.92,8991.80,417692.02,1477.41,2123.14,2469.24,2794.57,4005.05,5507.31,7353.96,7637.79,8991.73,1839.32
Input Sequence Length (tokens),6752.54,2378.00,23682.00,648244.00,2691.50,3043.75,3280.00,4306.75,5680.50,7661.25,11863.50,15738.75,22920.10,4114.20
Inter Chunk Latency (ms),714.55,13.57,3893.17,199359.57,13.93,14.54,52.88,386.20,632.01,889.03,1389.82,1718.13,2317.92,545.44
Inter Token Latency (ms),707.19,25.15,1558.12,21922.92,43.09,175.10,385.19,525.31,683.57,842.37,1251.58,1473.50,1532.74,353.74
OSL Mismatch Diff % (%),-99.81,-99.95,-97.02,-9581.69,-99.95,-99.95,-99.95,-99.95,-99.95,-99.89,-99.76,-99.10,-97.76,0.42
Output Sequence Length (tokens),3.91,1.00,61.00,375.00,1.00,1.00,1.00,1.00,1.00,2.25,5.00,18.50,45.80,8.68
Output Token Count (tokens),3.91,1.00,61.00,375.00,1.00,1.00,1.00,1.00,1.00,2.25,5.00,18.50,45.80,8.68
Output Token Throughput Per User (tokens/sec/user),3.13,0.64,39.76,96.96,0.65,0.68,0.80,1.19,1.46,1.90,2.60,7.77,31.37,6.96
Prefill Throughput Per User (tokens/sec/user),1770.30,366.86,11078.86,169949.01,439.99,572.07,703.84,960.46,1545.70,2192.78,3062.03,3465.45,4340.27,1291.68
Request Latency (ms),6428.04,1032.24,56158.74,617091.55,1477.78,2123.49,2469.69,3184.46,4920.05,7223.14,9430.38,18206.02,24776.52,6667.73
Time to First Output Token (ms),4351.37,1032.24,8992.36,417731.98,1477.78,2123.49,2469.69,2795.03,4005.31,5508.02,7354.40,7638.19,8992.32,1839.36
Time to First Token (ms),4351.37,1032.24,8992.36,417731.98,1477.78,2123.49,2469.69,2795.03,4005.31,5508.02,7354.40,7638.19,8992.32,1839.36
Time to Second Token (ms),656.95,25.15,1558.12,20365.58,43.09,92.27,186.63,399.13,548.94,864.86,1132.53,1272.71,1504.60,371.01

Metric,Value
Benchmark Duration (sec),87.88
OSL Mismatch Count,96.00
Output Token Throughput (tokens/sec),4.27
Request Count,96.00
Request Throughput (requests/sec),1.09
Total Input Sequence Length (tokens),648244.00
Total Output Sequence Length (tokens),375.00
Total Output Tokens (tokens),375.00
Total Token Throughput (tokens/sec),7380.50


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
