Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),0.69,0.10,8.18,66.44,0.10,0.11,0.12,0.15,0.28,0.62,1.45,2.01,6.46,1.20
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,3.96,2.00,40.00,380.00,2.00,2.00,2.00,2.00,2.00,4.00,6.00,12.25,34.30,5.51
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.62,0.00,1.89,59.94,0.00,0.00,0.00,0.00,0.66,0.99,1.44,1.61,1.74,0.54
HTTP Connection Overhead (ms),0.62,0.00,1.89,59.94,0.00,0.00,0.00,0.00,0.66,0.99,1.44,1.61,1.74,0.54
HTTP Connection Reused (ratio),0.34,0.00,1.00,33.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),1.30,0.83,9.95,124.78,0.83,0.83,0.83,0.83,0.83,1.31,1.79,3.29,8.55,1.32
HTTP Data Sent (KB),30.03,11.74,103.02,2883.00,11.84,13.66,15.61,19.62,24.59,34.31,51.57,67.43,88.85,17.48
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),7743.52,168.96,38601.30,743378.31,222.47,883.61,1487.86,3773.36,7618.09,10746.99,14027.17,16884.85,21124.70,5758.00
HTTP Receiving (ms),2551.68,6.99,32262.10,244961.68,9.30,12.04,31.51,321.03,1480.24,2673.71,6501.65,9457.97,16744.20,4209.24
HTTP Sending (ms),0.93,0.12,2.41,88.97,0.13,0.17,0.19,0.39,0.87,1.30,1.89,2.04,2.30,0.59
HTTP Total Time (ms),7744.15,169.65,38602.01,743438.26,223.44,884.38,1488.56,3775.01,7618.46,10747.66,14027.17,16884.85,21126.16,5757.89
HTTP Waiting (TTFB) (ms),5190.91,156.06,11918.46,498327.66,200.82,793.65,1283.45,2508.63,5113.19,7735.36,8688.83,9719.37,10557.58,2945.72
Input Sequence Length (tokens),6752.54,2378.00,23682.00,648244.00,2691.50,3043.75,3280.00,4306.75,5680.50,7661.25,11863.50,15738.75,22920.10,4114.20
Inter Chunk Latency (ms),731.82,9.62,3465.76,137583.00,12.73,13.94,14.32,22.11,74.48,1505.15,2382.34,2674.04,3465.61,978.49
Inter Token Latency (ms),1015.69,11.79,3068.28,34533.40,13.69,18.32,36.45,156.32,682.28,1998.70,2515.09,2672.25,2938.29,966.44
OSL Mismatch Diff % (%),-99.86,-99.95,-98.10,-9586.13,-99.95,-99.95,-99.95,-99.95,-99.95,-99.85,-99.76,-99.45,-98.37,0.27
Output Sequence Length (tokens),2.96,1.00,39.00,284.00,1.00,1.00,1.00,1.00,1.00,3.00,5.00,11.25,33.30,5.51
Output Token Count (tokens),2.96,1.00,39.00,284.00,1.00,1.00,1.00,1.00,1.00,3.00,5.00,11.25,33.30,5.51
Output Token Throughput Per User (tokens/sec/user),9.57,0.33,84.85,325.42,0.34,0.37,0.40,0.50,1.47,6.91,33.56,54.64,75.64,19.28
Prefill Throughput Per User (tokens/sec/user),2356.61,341.73,23943.04,226234.48,343.24,421.54,559.06,720.79,1359.32,2712.41,4543.56,6147.13,22795.49,3440.95
Request Latency (ms),6625.14,157.00,38586.28,636013.13,202.24,812.31,1405.12,3312.46,5894.51,8564.26,12218.77,16529.57,20392.16,5366.19
Time to First Output Token (ms),5191.98,157.00,11919.40,498430.13,202.24,794.63,1285.06,2510.46,5114.79,7736.96,8689.58,9720.27,10558.97,2945.60
Time to First Token (ms),5191.98,157.00,11919.40,498430.13,202.24,794.63,1285.06,2510.46,5114.79,7736.96,8689.58,9720.27,10558.97,2945.60
Time to Second Token (ms),1185.08,9.62,2674.37,40292.73,12.24,18.32,74.11,299.20,887.99,2142.28,2671.06,2674.04,2674.27,961.24

Metric,Value
Benchmark Duration (sec),98.95
OSL Mismatch Count,96.00
Output Token Throughput (tokens/sec),2.87
Request Count,96.00
Request Throughput (requests/sec),0.97
Total Input Sequence Length (tokens),648244.00
Total Output Sequence Length (tokens),284.00
Total Output Tokens (tokens),284.00
Total Token Throughput (tokens/sec),6554.40


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
