Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),18.87,0.73,35.76,1811.96,1.10,5.57,6.69,12.13,20.33,24.57,28.68,31.13,31.84,7.97
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,195.06,1.00,929.00,18726.00,2.90,3.00,3.00,20.00,43.00,361.25,529.00,587.00,852.05,223.88
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),47.01,0.60,222.40,4513.41,1.05,1.08,1.08,5.18,10.70,86.72,126.87,140.72,204.10,53.51
HTTP Data Sent (KB),40.41,4.05,374.20,3879.65,4.08,4.74,8.93,14.43,27.88,41.90,85.05,111.63,205.27,47.74
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),9867.42,283.23,49462.89,947272.18,287.17,314.69,454.34,916.28,3264.04,17285.45,23705.84,34920.98,44701.31,11556.68
HTTP Receiving (ms),8366.90,0.00,46232.94,803222.18,38.18,43.09,47.27,551.33,1830.33,16132.22,22251.55,27178.87,40746.62,10438.04
HTTP Sending (ms),0.26,0.11,0.34,24.61,0.13,0.15,0.21,0.24,0.26,0.28,0.30,0.32,0.34,0.04
HTTP Total Time (ms),9867.42,283.23,49462.89,947272.18,287.17,314.69,454.34,916.28,3264.04,17285.45,23705.84,34920.98,44701.31,11556.68
HTTP Waiting (TTFB) (ms),1500.26,208.67,21031.30,144025.40,217.68,249.93,257.78,344.48,499.98,1881.67,3854.55,4277.31,9073.68,2505.59
Input Sequence Length (tokens),9426.46,898.00,87169.00,904940.00,898.00,1062.75,2025.00,3372.00,6522.50,9800.00,19835.00,26205.25,47984.35,11143.80
Inter Chunk Latency (ms),43.12,0.12,6613.70,803113.55,14.82,21.61,22.40,23.46,24.95,27.66,29.78,30.99,507.03,188.85
Inter Token Latency (ms),42.84,20.09,762.13,4069.64,21.07,21.86,23.05,25.30,31.87,43.67,50.47,59.99,126.83,75.26
OSL Mismatch Diff % (%),-2.71,-98.57,0.00,-260.25,-63.75,-0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.68
Output Sequence Length (tokens),195.00,1.00,929.00,18720.00,2.90,3.00,3.00,20.00,43.00,361.25,529.00,586.25,852.05,223.85
Output Token Count (tokens),195.00,1.00,929.00,18720.00,2.90,3.00,3.00,20.00,43.00,361.25,529.00,586.25,852.05,223.85
Output Token Throughput Per User (tokens/sec/user),31.23,1.31,49.78,2967.24,10.97,16.86,19.82,22.90,31.37,39.53,43.39,45.75,47.46,9.77
Prefill Throughput Per User (tokens/sec/user),9898.15,503.88,25755.14,950222.21,1492.24,3160.75,4124.85,6034.71,6546.99,13285.83,18224.14,23498.74,25312.69,6234.43
Request Latency (ms),9866.42,283.38,49463.03,947176.02,287.28,314.79,454.47,916.39,3264.13,17285.58,23705.96,34921.07,44701.38,11556.71
Time to First Output Token (ms),1500.65,209.08,21031.52,144062.48,218.05,250.25,258.16,344.91,500.34,1882.04,3854.93,4277.72,9074.06,2505.57
Time to First Token (ms),1500.65,209.08,21031.52,144062.48,218.05,250.25,258.16,344.91,500.34,1882.04,3854.93,4277.72,9074.06,2505.57
Time to Second Token (ms),237.03,0.12,6534.66,22517.51,0.71,10.81,14.58,18.07,20.78,23.80,36.86,179.46,6534.56,1138.63

Metric,Value
Benchmark Duration (sec),240.30
OSL Mismatch Count,4.00
Output Token Throughput (tokens/sec),77.90
Request Count,96.00
Request Throughput (requests/sec),0.40
Total Input Sequence Length (tokens),904940.00
Total Output Sequence Length (tokens),18720.00
Total Output Tokens (tokens),18720.00
Total Token Throughput (tokens/sec),3843.77


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
