Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),1.92,0.04,5.37,184.13,0.04,0.08,0.12,0.43,1.09,3.18,4.48,4.92,5.32,1.68
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,198.39,1.00,929.00,19045.00,2.90,3.00,3.00,20.00,43.00,361.25,529.00,587.50,852.05,226.65
HTTP Chunks Sent,1.00,1.00,1.00,96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.82,0.00,2.47,78.32,0.00,0.00,0.00,0.27,0.81,1.28,1.60,1.83,2.40,0.62
HTTP Connection Overhead (ms),0.82,0.00,2.47,78.32,0.00,0.00,0.00,0.27,0.81,1.28,1.60,1.83,2.40,0.62
HTTP Connection Reused (ratio),0.25,0.00,1.00,24.00,0.00,0.00,0.00,0.00,0.00,0.25,1.00,1.00,1.00,0.43
HTTP Data Received (KB),47.82,0.60,222.69,4590.41,1.05,1.08,1.08,5.17,10.68,86.73,126.85,141.09,204.14,54.20
HTTP Data Sent (KB),40.41,4.05,374.20,3879.65,4.08,4.74,8.93,14.43,27.88,41.90,85.05,111.63,205.27,47.74
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),73105.75,17565.50,173008.63,7018151.74,19779.14,22690.11,25545.86,31671.88,68128.58,101681.56,140901.86,151988.79,172722.72,42969.19
HTTP Receiving (ms),43264.84,0.00,151747.50,4153424.26,104.10,174.94,416.59,6848.06,25757.76,72969.09,118806.92,128233.73,150755.74,43955.54
HTTP Sending (ms),1.14,0.11,3.26,109.91,0.16,0.24,0.31,0.55,1.06,1.69,2.00,2.28,3.04,0.71
HTTP Total Time (ms),73106.56,17566.06,173009.24,7018230.06,19779.52,22690.94,25546.99,31673.34,68129.56,101681.56,140904.07,151990.41,172725.03,42969.29
HTTP Waiting (TTFB) (ms),29839.77,16064.81,69667.87,2864617.57,16596.42,17376.62,18280.55,19330.80,22593.00,28367.39,61279.66,65897.04,69228.10,16067.49
Input Sequence Length (tokens),9426.46,898.00,87169.00,904940.00,898.00,1062.75,2025.00,3372.00,6522.50,9800.00,19835.00,26205.25,47984.35,11143.80
Inter Chunk Latency (ms),219.27,14.25,5431.39,4152792.34,25.76,52.48,55.78,76.18,88.71,93.82,382.33,1022.75,2621.05,480.80
Inter Token Latency (ms),416.02,54.79,4805.17,39522.29,54.84,84.87,89.49,164.01,240.07,454.80,791.78,1312.82,1644.49,564.89
OSL Mismatch Diff % (%),-2.56,-72.45,0.17,-245.65,-68.36,-5.15,0.00,0.00,0.00,0.00,0.00,0.00,0.01,11.95
Output Sequence Length (tokens),198.31,1.00,929.00,19038.00,2.90,3.00,3.00,20.00,43.00,361.25,529.00,587.50,852.05,226.65
Output Token Count (tokens),198.31,1.00,929.00,19038.00,2.90,3.00,3.00,20.00,43.00,361.25,529.00,587.50,852.05,226.65
Output Token Throughput Per User (tokens/sec/user),5.08,0.21,18.25,482.68,0.66,0.76,1.26,2.20,4.17,6.10,11.18,11.78,18.24,3.92
Prefill Throughput Per User (tokens/sec/user),352.99,13.66,3163.00,33887.49,15.19,49.11,67.01,150.83,262.55,364.84,755.55,977.25,1846.57,402.87
Request Latency (ms),73099.31,17565.58,173008.75,7017533.34,19779.21,22690.21,25545.99,31672.04,68128.71,101681.69,140873.47,151988.98,172722.99,42966.46
Time to First Output Token (ms),29841.05,16065.74,69668.28,2864741.00,16596.96,17377.39,18281.69,19333.09,22593.81,28369.22,61280.12,65898.46,69230.00,16067.39
Time to First Token (ms),29841.05,16065.74,69668.28,2864741.00,16596.96,17377.39,18281.69,19333.09,22593.81,28369.22,61280.12,65898.46,69230.00,16067.39
Time to Second Token (ms),1289.19,31.25,5431.22,122473.43,31.28,31.44,73.30,81.57,446.92,1519.18,4782.38,4818.57,5431.09,1803.24

Metric,Value
Benchmark Duration (sec),188.84
OSL Mismatch Count,5.00
Output Token Throughput (tokens/sec),100.81
Request Count,96.00
Request Throughput (requests/sec),0.51
Total Input Sequence Length (tokens),904940.00
Total Output Sequence Length (tokens),19038.00
Total Output Tokens (tokens),19038.00
Total Token Throughput (tokens/sec),4892.81


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
