Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),0.54,0.00,2.62,173.93,0.00,0.01,0.01,0.04,0.21,0.91,1.50,2.19,2.50,0.67
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,192.03,1.00,928.00,61449.00,3.00,3.00,3.00,17.00,33.00,378.00,542.60,603.05,784.69,228.20
HTTP Chunks Sent,1.00,1.00,1.00,320.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.64,0.00,2.20,206.30,0.04,0.27,0.33,0.41,0.54,0.82,1.05,1.27,1.94,0.34
HTTP Connection Overhead (ms),0.69,0.00,3.65,222.01,0.04,0.27,0.33,0.41,0.54,0.82,1.05,1.29,3.20,0.52
HTTP Connection Reused (ratio),0.01,0.00,1.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81,0.11
HTTP Data Received (KB),46.59,0.60,224.15,14908.61,1.08,1.08,1.08,4.46,8.31,91.39,131.00,145.30,189.32,54.94
HTTP Data Sent (KB),39.78,3.87,517.25,12731.03,4.00,4.71,9.11,13.71,27.79,36.56,78.38,115.74,282.33,52.22
HTTP DNS Lookup (ms),0.05,0.00,1.47,15.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.33,0.23
HTTP Duration (excl. conn) (ms),377309.07,46767.61,655012.01,120738902.38,57174.80,90434.04,108262.33,209011.77,401291.01,564334.86,628938.61,639735.61,648532.57,190833.79
HTTP Receiving (ms),62530.40,0.00,374607.79,20009726.71,166.60,184.44,224.91,3011.84,15779.42,117485.13,187830.61,222434.71,271824.77,79028.10
HTTP Sending (ms),0.86,0.11,2.66,276.10,0.31,0.37,0.43,0.55,0.73,1.12,1.41,1.55,2.39,0.42
HTTP Total Time (ms),377309.76,46770.12,655012.56,120739124.40,57175.66,90434.42,108262.59,209012.29,401291.60,564335.60,628939.39,639736.19,648533.30,190833.73
HTTP Waiting (TTFB) (ms),314777.81,23378.70,618889.42,100728899.57,27709.24,41879.40,56429.83,143293.91,281089.98,507301.11,585739.21,602070.55,611821.80,191601.53
Input Sequence Length (tokens),9283.32,893.00,120633.00,2970662.00,898.00,1082.15,2123.50,3215.25,6513.00,8505.75,18154.80,26901.20,65902.57,12188.21
Inter Chunk Latency (ms),327.34,12.53,9753.26,20009725.38,21.83,67.32,79.74,91.84,110.57,309.33,615.69,1228.45,3483.52,701.92
Inter Token Latency (ms),432.51,51.73,6419.76,137536.79,70.28,89.84,98.89,174.97,303.57,415.04,618.16,1263.07,4628.78,677.49
OSL Mismatch Diff % (%),-0.00,-0.58,0.27,-0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
Output Sequence Length (tokens),192.03,1.00,928.00,61450.00,3.00,3.00,3.00,17.00,33.00,378.00,542.60,603.05,784.69,228.21
Output Token Count (tokens),14.00,14.00,14.00,14.00,14.00,14.00,14.00,14.00,14.00,14.00,14.00,14.00,14.00,0.00
Output Token Throughput Per User (tokens/sec/user),4.53,0.16,19.33,1439.13,0.22,0.79,1.62,2.41,3.29,5.72,10.11,11.13,14.31,3.29
Prefill Throughput Per User (tokens/sec/user),60.35,1.46,1175.02,19311.25,1.73,3.66,5.53,11.48,22.55,62.50,144.67,241.17,545.28,116.91
Reasoning Token Count (tokens),191.99,1.00,914.00,61436.00,3.00,3.00,3.00,17.00,33.00,378.00,542.60,603.05,784.69,228.07
Request Latency (ms),377309.16,46767.78,655012.13,120738930.95,57174.89,90434.11,108262.39,209011.83,401291.16,564335.03,628938.73,639735.68,648532.72,190833.80
Time to First Output Token (ms),420840.73,420840.73,420840.73,420840.73,420840.73,420840.73,420840.73,420840.73,420840.73,420840.73,420840.73,420840.73,420840.73,0.00
Time to First Token (ms),314778.77,23380.49,618890.85,100729205.57,27711.02,41881.95,56430.31,143294.60,281091.39,507301.78,585740.26,602071.87,611823.10,191601.58
Time to Second Token (ms),859.11,36.74,9169.17,273197.28,69.22,80.78,83.90,91.14,111.62,459.63,3744.28,4671.34,6747.06,1621.44

Metric,Value
Benchmark Duration (sec),706.01
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),87.04
Request Count,320.00
Request Throughput (requests/sec),0.45
Total Input Sequence Length (tokens),2970662.00
Total Output Sequence Length (tokens),61450.00
Total Output Tokens (tokens),14.00
Total Reasoning Tokens (tokens),61436.00
Total Token Throughput (tokens/sec),4294.69


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
