Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),11.87,8.88,13.20,3798.70,10.04,11.28,11.46,11.67,11.87,12.07,12.48,12.58,13.06,0.47
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,244.80,9.00,870.00,78337.00,12.38,37.95,63.80,128.75,225.50,329.00,436.20,572.20,738.10,159.27
HTTP Chunks Sent,1.00,1.00,1.00,320.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.24,0.00,1.48,76.08,0.00,0.00,0.00,0.00,0.00,0.62,0.88,0.94,1.43,0.40
HTTP Connection Overhead (ms),0.24,0.00,1.48,76.08,0.00,0.00,0.00,0.00,0.00,0.62,0.88,0.94,1.43,0.40
HTTP Connection Reused (ratio),0.72,0.00,1.00,229.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.45
HTTP Data Received (KB),63.64,2.94,223.86,20364.36,3.79,10.40,17.00,33.78,58.48,85.32,113.25,148.33,190.27,41.02
HTTP Data Sent (KB),3.20,0.27,9.82,1022.49,0.28,0.30,0.33,0.91,2.71,5.02,6.86,7.73,8.99,2.49
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),20488.02,1006.89,69621.79,6556166.33,1276.63,3282.20,5481.74,10624.06,19068.69,27314.76,36536.55,48019.78,61765.54,13251.38
HTTP Receiving (ms),20212.98,718.41,69341.01,6468152.34,962.28,3041.82,5184.04,10334.71,18760.97,27009.43,36275.79,47753.84,61491.85,13246.69
HTTP Sending (ms),0.49,0.13,1.75,155.90,0.16,0.19,0.21,0.24,0.27,0.77,1.19,1.24,1.66,0.40
HTTP Total Time (ms),20488.26,1006.89,69622.64,6556242.41,1277.28,3282.24,5482.42,10624.28,19068.69,27314.76,36536.64,48019.78,61766.06,13251.40
HTTP Waiting (TTFB) (ms),274.56,105.66,380.26,87858.09,237.13,244.00,247.26,252.84,271.34,295.70,308.39,320.18,367.33,30.47
Input Sequence Length (tokens),665.01,39.00,2062.00,212802.00,41.19,44.95,51.90,174.25,569.50,1059.00,1469.20,1669.60,1948.53,535.02
Inter Chunk Latency (ms),83.14,55.94,317.18,6467827.03,72.53,75.94,77.04,78.53,80.05,82.01,90.81,106.29,140.34,13.00
Inter Token Latency (ms),82.78,74.62,91.14,26489.31,75.74,77.96,79.18,81.82,83.00,84.40,85.89,86.31,87.07,2.47
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),244.80,9.00,870.00,78337.00,12.38,37.95,63.80,128.75,225.50,329.00,436.20,572.20,738.10,159.27
Output Token Count (tokens),244.80,9.00,870.00,78337.00,12.38,37.95,63.80,128.75,225.50,329.00,436.20,572.20,738.10,159.27
Output Token Throughput Per User (tokens/sec/user),12.09,10.97,13.40,3869.22,11.48,11.59,11.64,11.85,12.05,12.22,12.63,12.83,13.20,0.37
Prefill Throughput Per User (tokens/sec/user),2380.82,110.35,7988.38,761862.23,146.60,169.42,198.45,694.34,1981.67,3767.40,5102.71,5995.27,7146.33,1905.24
Request Latency (ms),20487.12,1007.00,69621.92,6555876.91,1276.76,3282.31,5481.86,10624.19,19068.78,27314.88,36452.65,48019.90,61765.66,13251.34
Time to First Output Token (ms),275.16,106.49,380.61,88049.88,238.31,244.38,247.72,253.31,271.83,296.07,308.77,320.54,367.69,30.49
Time to First Token (ms),275.16,106.49,380.61,88049.88,238.31,244.38,247.72,253.31,271.83,296.07,308.77,320.54,367.69,30.49
Time to Second Token (ms),80.77,55.94,154.80,25847.79,56.02,56.15,75.99,78.46,80.10,81.95,85.57,103.88,136.24,13.11
Usage Completion Tokens (tokens),244.80,9.00,870.00,78337.00,12.38,37.95,63.80,128.75,225.50,329.00,436.20,572.20,738.10,159.27
Usage Prompt Tokens (tokens),665.01,39.00,2062.00,212802.00,41.19,44.95,51.90,174.25,569.50,1059.00,1469.20,1669.60,1948.53,535.02
Usage Total Tokens (tokens),909.81,72.00,2404.00,291139.00,90.04,169.00,239.40,438.25,794.00,1301.50,1720.20,1957.55,2185.06,561.54

Metric,Value
Benchmark Duration (sec),226.35
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),346.08
Request Count,320.00
Request Throughput (requests/sec),1.41
Total Input Sequence Length (tokens),212802.00
Total Output Sequence Length (tokens),78337.00
Total Output Tokens (tokens),78337.00
Total Token Throughput (tokens/sec),1286.21
Total Usage Completion Tokens (tokens),78337.00
Total Usage Prompt Tokens (tokens),212802.00
Total Usage Total Tokens (tokens),291139.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
