Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),14.20,13.67,14.48,1420.43,13.69,13.91,13.99,14.07,14.24,14.34,14.41,14.42,14.46,0.17
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,223.48,33.00,913.00,22348.00,48.84,80.00,89.70,114.00,176.50,303.75,415.70,452.35,671.44,147.36
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.04,0.00,2.04,3.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.25
HTTP Connection Overhead (ms),0.06,0.00,3.38,5.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.56,0.42
HTTP Connection Reused (ratio),0.98,0.00,1.00,98.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.14
HTTP Data Received (KB),58.15,9.08,236.00,5814.90,13.20,21.23,23.74,30.05,45.98,78.65,107.77,116.84,173.40,37.93
HTTP Data Sent (KB),6.74,1.69,14.33,673.54,1.70,2.20,3.04,4.36,6.17,8.82,10.96,11.63,13.47,2.98
HTTP DNS Lookup (ms),0.02,0.00,1.33,2.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.06,0.17
HTTP Duration (excl. conn) (ms),15678.89,2414.82,64495.47,1567888.63,3568.62,5763.47,6300.69,8072.02,12367.78,21330.47,29107.51,31614.06,46939.44,10294.94
HTTP Receiving (ms),15465.22,2202.57,64276.98,1546521.81,3349.86,5543.20,6087.26,7852.67,12152.84,21114.53,28891.25,31398.26,46716.82,10295.92
HTTP Sending (ms),0.27,0.09,2.49,27.27,0.14,0.16,0.18,0.21,0.24,0.26,0.28,0.29,1.74,0.27
HTTP Total Time (ms),15678.95,2414.82,64495.47,1567894.55,3568.62,5763.47,6300.69,8072.02,12367.78,21330.47,29107.51,31614.06,46939.44,10294.97
HTTP Waiting (TTFB) (ms),213.40,81.56,226.98,21339.55,82.34,210.58,211.78,213.58,216.40,218.81,220.99,223.88,225.68,20.18
Input Sequence Length (tokens),1634.41,406.00,3832.00,163441.00,408.97,502.70,684.60,1021.50,1481.00,2199.00,2779.00,2987.50,3314.23,777.15
Inter Chunk Latency (ms),70.09,64.17,224.16,1546380.93,66.95,67.70,68.01,68.55,69.23,70.14,71.56,72.70,75.15,8.28
Inter Token Latency (ms),69.46,68.44,70.92,6946.37,68.48,68.64,68.74,69.01,69.42,69.98,70.29,70.47,70.69,0.59
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),223.48,33.00,913.00,22348.00,48.84,80.00,89.70,114.00,176.50,303.75,415.70,452.35,671.44,147.36
Output Token Count (tokens),223.48,33.00,913.00,22348.00,48.84,80.00,89.70,114.00,176.50,303.75,415.70,452.35,671.44,147.36
Output Token Throughput Per User (tokens/sec/user),14.40,14.10,14.61,1439.70,14.15,14.19,14.23,14.29,14.41,14.49,14.55,14.57,14.60,0.12
Prefill Throughput Per User (tokens/sec/user),7665.62,1897.70,17488.19,766562.03,1912.78,2338.90,3187.82,4733.91,7413.39,10183.81,12604.24,13259.12,15081.87,3523.95
Request Latency (ms),15677.59,2414.91,64495.59,1567759.32,3568.74,5763.59,6300.80,8072.11,12367.89,21330.59,29107.60,31614.17,46939.53,10294.76
Time to First Output Token (ms),213.78,81.72,227.27,21378.39,84.21,210.92,212.11,213.94,216.74,219.16,221.33,224.12,226.05,20.02
Time to First Token (ms),213.78,81.72,227.27,21378.39,84.21,210.92,212.11,213.94,216.74,219.16,221.33,224.12,226.05,20.02
Time to Second Token (ms),67.76,65.08,75.94,6775.82,65.51,65.87,66.33,66.67,67.34,68.47,69.83,71.34,72.39,1.71
Usage Completion Tokens (tokens),223.48,33.00,913.00,22348.00,48.84,80.00,89.70,114.00,176.50,303.75,415.70,452.35,671.44,147.36
Usage Prompt Tokens (tokens),1634.41,406.00,3832.00,163441.00,408.97,502.70,684.60,1021.50,1481.00,2199.00,2779.00,2987.50,3314.23,777.15
Usage Total Tokens (tokens),1857.89,579.00,4012.00,185789.00,589.89,752.45,853.10,1221.75,1748.50,2417.00,2918.60,3359.50,3527.89,802.12

Metric,Value
Benchmark Duration (sec),784.42
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),28.49
Request Count,100.00
Request Throughput (requests/sec),0.13
Total Input Sequence Length (tokens),163441.00
Total Output Sequence Length (tokens),22348.00
Total Output Tokens (tokens),22348.00
Total Token Throughput (tokens/sec),236.85
Total Usage Completion Tokens (tokens),22348.00
Total Usage Prompt Tokens (tokens),163441.00
Total Usage Total Tokens (tokens),185789.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
