Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),14.35,12.01,14.64,1434.91,13.17,13.97,14.10,14.33,14.43,14.50,14.55,14.58,14.60,0.33
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,247.23,10.00,740.00,24723.00,17.92,51.00,76.60,133.75,238.50,325.75,446.10,487.80,651.89,147.88
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.04,0.00,2.33,3.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.52,0.27
HTTP Connection Overhead (ms),0.06,0.00,3.80,6.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.61,0.46
HTTP Connection Reused (ratio),0.98,0.00,1.00,98.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.14
HTTP Data Received (KB),64.25,3.19,190.47,6425.07,5.22,13.75,20.28,35.01,61.97,84.67,115.89,126.29,168.60,38.05
HTTP Data Sent (KB),3.14,0.28,8.93,313.61,0.29,0.30,0.33,0.97,2.77,4.99,6.88,7.39,8.84,2.47
HTTP DNS Lookup (ms),0.03,0.00,1.47,2.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.09,0.18
HTTP Duration (excl. conn) (ms),17111.92,832.29,50735.50,1711191.65,1359.88,3645.83,5369.98,9348.77,16477.11,22444.75,30926.40,33788.18,44711.42,10151.19
HTTP Receiving (ms),16901.00,619.68,50518.15,1690100.44,1150.10,3431.10,5157.10,9131.29,16265.99,22264.02,30714.97,33574.28,44500.64,10151.74
HTTP Sending (ms),0.28,0.16,2.74,28.09,0.17,0.18,0.19,0.21,0.24,0.27,0.30,0.31,1.76,0.29
HTTP Total Time (ms),17111.98,832.29,50735.50,1711198.04,1359.88,3645.83,5369.98,9348.77,16477.11,22445.40,30926.40,33788.18,44711.42,10151.21
HTTP Waiting (TTFB) (ms),210.63,78.31,219.95,21063.12,145.72,208.62,209.36,210.53,212.25,214.20,215.66,217.30,219.27,15.06
Input Sequence Length (tokens),655.46,40.00,1951.00,65546.00,42.97,46.90,51.90,194.25,552.00,1044.75,1471.80,1583.30,1832.20,534.42
Inter Chunk Latency (ms),68.79,63.61,212.70,1690099.64,66.52,67.08,67.35,67.78,68.32,69.10,70.51,71.62,73.26,4.36
Inter Token Latency (ms),68.62,67.97,71.35,6862.30,68.02,68.14,68.17,68.27,68.62,68.87,69.06,69.18,69.26,0.43
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),247.23,10.00,740.00,24723.00,17.92,51.00,76.60,133.75,238.50,325.75,446.10,487.80,651.89,147.88
Output Token Count (tokens),247.23,10.00,740.00,24723.00,17.92,51.00,76.60,133.75,238.50,325.75,446.10,487.80,651.89,147.88
Output Token Throughput Per User (tokens/sec/user),14.57,14.01,14.71,1457.29,14.44,14.45,14.48,14.52,14.57,14.65,14.67,14.68,14.70,0.09
Prefill Throughput Per User (tokens/sec/user),3095.85,186.86,9076.30,309584.56,195.77,220.28,244.41,913.40,2695.06,4917.28,6894.48,7317.78,8515.87,2485.12
Request Latency (ms),17112.03,832.39,50735.62,1711202.94,1360.01,3645.92,5370.08,9348.89,16477.23,22444.87,30926.52,33788.25,44711.55,10151.19
Time to First Output Token (ms),211.03,80.24,220.35,21103.30,148.72,208.91,209.70,210.83,212.64,214.58,215.99,217.66,219.55,14.81
Time to First Token (ms),211.03,80.24,220.35,21103.30,148.72,208.91,209.70,210.83,212.64,214.58,215.99,217.66,219.55,14.81
Time to Second Token (ms),67.71,65.84,72.52,6771.35,65.99,66.21,66.39,66.93,67.53,68.30,69.11,69.86,70.97,1.16
Usage Completion Tokens (tokens),247.23,10.00,740.00,24723.00,17.92,51.00,76.60,133.75,238.50,325.75,446.10,487.80,651.89,147.88
Usage Prompt Tokens (tokens),655.46,40.00,1951.00,65546.00,42.97,46.90,51.90,194.25,552.00,1044.75,1471.80,1583.30,1832.20,534.42
Usage Total Tokens (tokens),902.69,87.00,2222.00,90269.00,124.62,172.80,233.40,493.50,792.50,1276.25,1658.40,1930.20,2102.21,540.77

Metric,Value
Benchmark Duration (sec),859.84
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),28.75
Request Count,100.00
Request Throughput (requests/sec),0.12
Total Input Sequence Length (tokens),65546.00
Total Output Sequence Length (tokens),24723.00
Total Output Tokens (tokens),24723.00
Total Token Throughput (tokens/sec),104.98
Total Usage Completion Tokens (tokens),24723.00
Total Usage Prompt Tokens (tokens),65546.00
Total Usage Total Tokens (tokens),90269.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
