Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),13.63,13.40,13.80,272.50,13.41,13.47,13.50,13.57,13.64,13.69,13.73,13.76,13.79,0.10
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,238.30,80.00,452.00,4766.00,85.70,108.50,113.60,134.75,153.50,352.50,436.00,436.80,448.96,130.39
HTTP Chunks Sent,1.00,1.00,1.00,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.11,0.00,2.19,2.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,1.78,0.48
HTTP Connection Overhead (ms),0.18,0.00,3.61,3.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,2.92,0.79
HTTP Connection Reused (ratio),0.95,0.00,1.00,19.00,0.19,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.22
HTTP Data Received (KB),61.95,21.24,116.61,1238.93,22.69,28.49,29.80,35.32,40.19,91.48,112.45,113.29,115.94,33.56
HTTP Data Sent (KB),7.00,2.12,13.46,139.98,2.27,2.87,3.66,4.88,6.38,8.62,10.85,11.70,13.11,2.99
HTTP DNS Lookup (ms),0.07,0.00,1.42,1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,1.15,0.31
HTTP Duration (excl. conn) (ms),17513.17,5846.32,33466.96,350263.37,6272.79,7978.69,8340.82,9871.48,11208.60,25768.91,32003.38,32305.74,33234.72,9635.18
HTTP Receiving (ms),17401.18,5749.53,33106.17,348023.70,6165.00,7826.85,8248.39,9771.59,11096.94,25685.63,31913.61,32148.95,32914.72,9615.30
HTTP Sending (ms),0.25,0.09,2.62,4.90,0.09,0.09,0.09,0.09,0.13,0.14,0.15,0.30,2.16,0.55
HTTP Total Time (ms),17513.35,5846.32,33466.96,350266.98,6272.79,7978.69,8340.82,9871.48,11208.60,25771.62,32003.38,32305.74,33234.72,9635.30
HTTP Waiting (TTFB) (ms),111.74,79.19,360.65,2234.77,79.21,79.31,80.06,82.08,85.72,106.92,155.80,175.93,323.71,62.63
Input Sequence Length (tokens),1661.30,491.00,3054.00,33226.00,527.10,671.50,825.90,1080.50,1587.00,2073.75,2850.90,2988.45,3040.89,738.56
Inter Chunk Latency (ms),74.27,68.53,227.51,348023.44,71.20,71.75,71.99,72.42,73.01,73.79,75.33,77.11,79.49,10.79
Inter Token Latency (ms),73.21,72.44,74.12,1464.29,72.48,72.64,72.77,72.87,73.09,73.46,73.91,74.01,74.10,0.46
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),238.30,80.00,452.00,4766.00,85.70,108.50,113.60,134.75,153.50,352.50,436.00,436.80,448.96,130.39
Output Token Count (tokens),238.30,80.00,452.00,4766.00,85.70,108.50,113.60,134.75,153.50,352.50,436.00,436.80,448.96,130.39
Output Token Throughput Per User (tokens/sec/user),13.66,13.49,13.80,273.18,13.50,13.51,13.53,13.61,13.68,13.72,13.74,13.77,13.80,0.08
Prefill Throughput Per User (tokens/sec/user),16659.70,4399.09,34474.87,333193.91,4450.30,4655.11,5928.99,10857.31,16294.80,22103.53,27634.54,28898.12,33359.52,8002.12
Request Latency (ms),17513.23,5846.36,33467.07,350264.64,6272.83,7978.73,8340.87,9871.53,11208.64,25769.07,32003.42,32305.81,33234.82,9635.19
Time to First Output Token (ms),112.06,79.33,360.92,2241.20,79.36,79.46,80.76,82.84,85.93,107.08,155.96,176.08,323.96,62.58
Time to First Token (ms),112.06,79.33,360.92,2241.20,79.36,79.46,80.76,82.84,85.93,107.08,155.96,176.08,323.96,62.58
Time to Second Token (ms),72.75,70.22,76.38,1454.95,70.30,70.60,70.97,71.19,72.61,73.79,74.82,75.17,76.14,1.61
Usage Completion Tokens (tokens),238.30,80.00,452.00,4766.00,85.70,108.50,113.60,134.75,153.50,352.50,436.00,436.80,448.96,130.39
Usage Prompt Tokens (tokens),1661.30,491.00,3054.00,33226.00,527.10,671.50,825.90,1080.50,1587.00,2073.75,2850.90,2988.45,3040.89,738.56
Usage Total Tokens (tokens),1899.60,754.00,3407.00,37992.00,761.03,789.15,908.90,1352.50,1798.50,2413.00,3018.60,3359.50,3397.50,803.13

Metric,Value
Benchmark Duration (sec),350.30
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),13.61
Request Count,20.00
Request Throughput (requests/sec),0.06
Total Input Sequence Length (tokens),33226.00
Total Output Sequence Length (tokens),4766.00
Total Output Tokens (tokens),4766.00
Total Token Throughput (tokens/sec),108.46
Total Usage Completion Tokens (tokens),4766.00
Total Usage Prompt Tokens (tokens),33226.00
Total Usage Total Tokens (tokens),37992.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
