Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),13.79,13.67,13.87,275.71,13.67,13.70,13.70,13.74,13.80,13.83,13.85,13.87,13.87,0.06
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,298.50,73.00,641.00,5970.00,94.28,179.40,188.60,244.75,288.00,329.50,427.20,465.25,605.85,113.87
HTTP Chunks Sent,1.00,1.00,1.00,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.11,0.00,2.14,2.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,1.73,0.47
HTTP Connection Overhead (ms),0.18,0.00,3.64,3.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,2.95,0.79
HTTP Connection Reused (ratio),0.95,0.00,1.00,19.00,0.19,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.22
HTTP Data Received (KB),77.45,19.46,165.56,1549.04,24.91,46.71,49.17,63.75,74.83,85.47,110.76,119.91,156.43,29.28
HTTP Data Sent (KB),3.14,0.28,8.80,62.82,0.28,0.32,0.32,0.48,2.50,4.82,7.13,7.70,8.58,2.68
HTTP DNS Lookup (ms),0.07,0.00,1.50,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,1.21,0.33
HTTP Duration (excl. conn) (ms),21653.93,5264.98,46347.11,433078.57,6798.72,12933.69,13646.57,17748.29,20896.10,23882.38,30873.51,33678.30,43813.35,8235.83
HTTP Receiving (ms),21574.65,5190.51,46271.28,431493.03,6724.19,12858.92,13566.43,17667.66,20817.22,23804.38,30796.17,33599.95,43737.02,8236.01
HTTP Sending (ms),0.23,0.09,2.52,4.60,0.09,0.09,0.09,0.09,0.10,0.13,0.15,0.30,2.07,0.53
HTTP Total Time (ms),21654.11,5264.98,46347.11,433082.21,6798.72,12933.69,13646.57,17748.29,20896.10,23882.38,30873.51,33678.30,43813.35,8235.75
HTTP Waiting (TTFB) (ms),79.05,74.38,86.68,1580.95,74.44,74.67,75.62,76.94,78.69,80.81,82.54,84.59,86.26,3.11
Input Sequence Length (tokens),608.80,40.00,1665.00,12176.00,42.09,50.45,51.90,94.00,462.00,1026.75,1346.00,1456.00,1623.20,514.59
Inter Chunk Latency (ms),72.52,68.61,80.16,431492.80,70.53,71.07,71.31,71.72,72.23,72.88,74.04,75.76,77.20,1.33
Inter Token Latency (ms),72.52,72.08,73.11,1450.30,72.08,72.09,72.16,72.28,72.45,72.77,72.94,72.97,73.08,0.30
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),298.50,73.00,641.00,5970.00,94.28,179.40,188.60,244.75,288.00,329.50,427.20,465.25,605.85,113.87
Output Token Count (tokens),298.50,73.00,641.00,5970.00,94.28,179.40,188.60,244.75,288.00,329.50,427.20,465.25,605.85,113.87
Output Token Throughput Per User (tokens/sec/user),13.79,13.68,13.87,275.81,13.68,13.70,13.71,13.74,13.80,13.83,13.86,13.87,13.87,0.06
Prefill Throughput Per User (tokens/sec/user),7475.84,527.18,19176.90,149516.72,556.49,673.73,696.14,1221.67,5837.77,12467.75,16457.40,17166.20,18774.76,6132.47
Request Latency (ms),21653.99,5265.02,46347.15,433079.70,6798.76,12933.73,13646.61,17748.34,20896.15,23882.46,30873.56,33678.35,43813.39,8235.83
Time to First Output Token (ms),79.35,74.52,86.82,1586.90,74.58,74.83,75.77,77.64,79.09,80.95,82.71,84.81,86.42,3.05
Time to First Token (ms),79.35,74.52,86.82,1586.90,74.58,74.83,75.77,77.64,79.09,80.95,82.71,84.81,86.42,3.05
Time to Second Token (ms),71.41,70.27,73.39,1428.22,70.32,70.56,70.61,70.94,71.29,71.81,72.29,72.97,73.31,0.77
Usage Completion Tokens (tokens),298.50,73.00,641.00,5970.00,94.28,179.40,188.60,244.75,288.00,329.50,427.20,465.25,605.85,113.87
Usage Prompt Tokens (tokens),608.80,40.00,1665.00,12176.00,42.09,50.45,51.90,94.00,462.00,1026.75,1346.00,1456.00,1623.20,514.59
Usage Total Tokens (tokens),907.30,125.00,1930.00,18146.00,146.09,230.45,292.70,514.25,791.50,1339.00,1651.20,1692.50,1882.50,516.48

Metric,Value
Benchmark Duration (sec),433.11
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),13.78
Request Count,20.00
Request Throughput (requests/sec),0.05
Total Input Sequence Length (tokens),12176.00
Total Output Sequence Length (tokens),5970.00
Total Output Tokens (tokens),5970.00
Total Token Throughput (tokens/sec),41.90
Total Usage Completion Tokens (tokens),5970.00
Total Usage Prompt Tokens (tokens),12176.00
Total Usage Total Tokens (tokens),18146.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
