Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),13.78,13.67,13.86,137.83,13.67,13.68,13.69,13.74,13.79,13.83,13.85,13.86,13.86,0.06
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,279.00,73.00,456.00,2790.00,83.08,123.40,173.80,208.00,288.00,312.00,427.20,441.60,453.12,106.85
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),72.43,19.46,117.50,724.32,22.04,32.36,45.27,54.19,74.83,80.95,110.76,114.13,116.83,27.46
HTTP Data Sent (KB),3.18,0.32,8.80,31.83,0.32,0.32,0.32,0.65,2.24,4.97,7.24,8.02,8.65,2.88
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),20250.20,5269.51,33023.45,202502.01,5996.50,8904.49,12539.47,15102.04,20937.00,22746.99,30879.15,31951.30,32809.02,7745.19
HTTP Receiving (ms),20170.26,5194.68,32946.93,201702.63,5921.54,8829.00,12463.33,15020.55,20857.30,22664.99,30799.65,31873.29,32732.20,7744.32
HTTP Sending (ms),0.13,0.09,0.16,1.30,0.09,0.09,0.09,0.10,0.14,0.15,0.15,0.15,0.16,0.03
HTTP Total Time (ms),20250.20,5269.51,33023.45,202502.01,5996.50,8904.49,12539.47,15102.04,20937.00,22746.99,30879.15,31951.30,32809.02,7745.19
HTTP Waiting (TTFB) (ms),79.81,74.74,92.10,798.08,74.87,75.37,75.99,76.56,78.62,81.44,83.60,87.85,91.25,4.76
Input Sequence Length (tokens),619.90,51.00,1665.00,6199.00,51.09,51.45,51.90,135.25,505.50,946.50,1368.00,1516.50,1635.30,542.10
Inter Chunk Latency (ms),72.55,67.92,79.95,201702.52,70.62,71.08,71.34,71.74,72.26,72.95,74.09,75.63,77.24,1.31
Inter Token Latency (ms),72.52,72.12,73.08,725.24,72.13,72.14,72.15,72.27,72.49,72.73,72.98,73.03,73.07,0.32
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),279.00,73.00,456.00,2790.00,83.08,123.40,173.80,208.00,288.00,312.00,427.20,441.60,453.12,106.85
Output Token Count (tokens),279.00,73.00,456.00,2790.00,83.08,123.40,173.80,208.00,288.00,312.00,427.20,441.60,453.12,106.85
Output Token Throughput Per User (tokens/sec/user),13.79,13.68,13.86,137.89,13.69,13.69,13.70,13.75,13.80,13.84,13.86,13.86,13.86,0.06
Prefill Throughput Per User (tokens/sec/user),7444.69,667.80,18033.16,74446.88,670.20,679.77,691.74,1726.60,6439.83,11626.66,16299.58,17166.37,17859.80,6145.92
Request Latency (ms),20250.26,5269.55,33023.51,202502.60,5996.55,8904.55,12539.54,15102.10,20937.06,22747.05,30879.21,31951.36,32809.08,7745.19
Time to First Output Token (ms),80.01,74.88,92.33,800.08,75.02,75.55,76.22,76.78,78.79,81.61,83.83,88.08,91.48,4.77
Time to First Token (ms),80.01,74.88,92.33,800.08,75.02,75.55,76.22,76.78,78.79,81.61,83.83,88.08,91.48,4.77
Time to Second Token (ms),72.77,70.58,77.46,727.70,70.58,70.58,70.59,71.46,72.17,73.13,75.56,76.51,77.27,2.05
Usage Completion Tokens (tokens),279.00,73.00,456.00,2790.00,83.08,123.40,173.80,208.00,288.00,312.00,427.20,441.60,453.12,106.85
Usage Prompt Tokens (tokens),619.90,51.00,1665.00,6199.00,51.09,51.45,51.90,135.25,505.50,946.50,1368.00,1516.50,1635.30,542.10
Usage Total Tokens (tokens),898.90,125.00,1930.00,8989.00,134.99,174.95,224.90,500.75,848.00,1242.75,1676.20,1803.10,1904.62,566.07

Metric,Value
Benchmark Duration (sec),202.52
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),13.78
Request Count,10.00
Request Throughput (requests/sec),0.05
Total Input Sequence Length (tokens),6199.00
Total Output Sequence Length (tokens),2790.00
Total Output Tokens (tokens),2790.00
Total Token Throughput (tokens/sec),44.39
Total Usage Completion Tokens (tokens),2790.00
Total Usage Prompt Tokens (tokens),6199.00
Total Usage Total Tokens (tokens),8989.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
