Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),5.04,3.82,7.12,1611.92,4.14,4.56,4.68,4.84,5.00,5.18,5.40,5.48,6.42,0.35
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,244.80,9.00,870.00,78337.00,12.38,37.95,63.80,128.75,225.50,329.00,436.20,572.20,738.10,159.27
HTTP Chunks Sent,1.00,1.00,1.00,320.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.31,0.00,1.93,98.43,0.00,0.00,0.00,0.00,0.00,0.69,0.96,1.08,1.46,0.43
HTTP Connection Overhead (ms),0.33,0.00,2.60,105.89,0.00,0.00,0.00,0.00,0.00,0.69,0.96,1.22,2.06,0.50
HTTP Connection Reused (ratio),0.62,0.00,1.00,197.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.49
HTTP Data Received (KB),64.52,2.98,227.36,20646.98,3.86,10.52,17.28,34.22,59.35,86.48,114.71,150.07,193.07,41.60
HTTP Data Sent (KB),3.20,0.28,9.82,1023.74,0.29,0.30,0.34,0.91,2.71,5.02,6.86,7.74,9.00,2.49
HTTP DNS Lookup (ms),0.02,0.00,0.79,7.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.12
HTTP Duration (excl. conn) (ms),48181.34,2355.23,160534.02,15418028.76,2866.57,7984.08,13198.90,25112.15,44839.41,62922.32,87574.69,114247.30,144295.00,30849.64
HTTP Receiving (ms),47531.01,1660.34,159822.40,15209923.08,2211.69,7346.51,12503.37,24498.36,44156.76,62282.85,86795.65,113518.28,143666.28,30843.74
HTTP Sending (ms),0.57,0.11,2.19,181.04,0.14,0.21,0.23,0.25,0.29,0.96,1.28,1.38,1.77,0.46
HTTP Total Time (ms),48181.67,2356.19,160534.02,15418134.65,2866.63,7984.08,13199.40,25112.37,44840.37,62922.47,87575.34,114247.30,144295.00,30849.66
HTTP Waiting (TTFB) (ms),649.76,127.55,897.06,207924.64,520.87,522.44,532.78,621.13,653.25,692.01,730.69,748.61,807.75,77.73
Input Sequence Length (tokens),646.61,12.00,2054.00,206916.00,14.19,17.95,24.90,148.00,547.00,1052.50,1447.90,1667.25,1941.01,542.51
Inter Chunk Latency (ms),197.43,31.13,903.69,15206925.71,115.01,163.83,169.65,178.84,190.46,202.04,230.79,278.77,339.76,44.06
Inter Token Latency (ms),195.61,139.44,220.02,62595.23,151.55,178.76,182.20,189.76,197.01,201.52,208.72,212.20,216.87,11.44
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),244.80,9.00,870.00,78337.00,12.38,37.95,63.80,128.75,225.50,329.00,436.20,572.20,738.10,159.27
Output Token Count (tokens),244.80,9.00,870.00,78337.00,12.38,37.95,63.80,128.75,225.50,329.00,436.20,572.20,738.10,159.27
Output Token Throughput Per User (tokens/sec/user),5.13,4.54,7.17,1642.05,4.61,4.71,4.79,4.96,5.08,5.27,5.49,5.59,6.60,0.33
Prefill Throughput Per User (tokens/sec/user),1012.78,17.53,6066.23,324088.01,20.44,29.39,37.79,237.19,844.03,1597.86,2311.77,2674.95,3236.47,915.31
Request Latency (ms),48172.09,2355.36,160534.15,15415067.91,2866.67,7984.17,13179.95,25112.25,44839.55,62922.44,87574.81,113976.37,144295.09,30849.85
Time to First Output Token (ms),650.44,127.76,897.26,208142.20,521.65,523.12,534.08,621.60,653.70,693.35,731.03,749.73,808.84,77.74
Time to First Token (ms),650.44,127.76,897.26,208142.20,521.65,523.12,534.08,621.60,653.70,693.35,731.03,749.73,808.84,77.74
Time to Second Token (ms),188.21,93.98,381.44,60226.17,94.08,94.14,164.01,177.14,188.36,202.20,218.83,252.84,312.42,41.86
Usage Completion Tokens (tokens),244.80,9.00,870.00,78337.00,12.38,37.95,63.80,128.75,225.50,329.00,436.20,572.20,738.10,159.27
Usage Prompt Tokens (tokens),646.61,12.00,2054.00,206916.00,14.19,17.95,24.90,148.00,547.00,1052.50,1447.90,1667.25,1941.01,542.51
Usage Total Tokens (tokens),891.42,45.00,2390.00,285253.00,63.04,142.00,213.00,412.75,776.50,1279.00,1724.10,1945.35,2192.16,568.35

Metric,Value
Benchmark Duration (sec),513.46
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),152.57
Request Count,320.00
Request Throughput (requests/sec),0.62
Total Input Sequence Length (tokens),206916.00
Total Output Sequence Length (tokens),78337.00
Total Output Tokens (tokens),78337.00
Total Token Throughput (tokens/sec),555.55
Total Usage Completion Tokens (tokens),78337.00
Total Usage Prompt Tokens (tokens),206916.00
Total Usage Total Tokens (tokens),285253.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
